feature;importance;normalized_importance;cumulative_importance
SLogP;150.2;0.07609686898368628;0.07609686898368628
EEig03u;86.30000000000001;0.04372276826426183;0.11981963724794811
ATS0Z;72.39999999999999;0.036680514743135065;0.1565001519910832
ESpm02u;65.9;0.03338737460735637;0.18988752659843955
GATS3s;22.5;0.011399331239233965;0.20128685783767353
SMR_VSA7;21.700000000000003;0.010994021684061201;0.21228087952173472
AATS5i;19.2;0.009727429324146315;0.22200830884588102
AATS6i;18.900000000000002;0.009575438240956531;0.23158374708683754
Wap;18.5;0.009372783463370149;0.2409565305502077
ESpm03d;18.2;0.009220792380180361;0.250177322930388
PEOE_VSA6;18.1;0.009170128685783768;0.2593474516161718
PEOE_VSA7;18.1;0.009170128685783768;0.26851758030195555
AATS1i;14.5;0.007346235687506333;0.27586381598946186
SMR_VSA10;13.600000000000001;0.006890262437936974;0.28275407842739886
JGI9;13.1;0.006636943965953997;0.28939102239335285
GATS4Z;13.099999999999998;0.006636943965953996;0.29602796635930684
ATS0dv;12.999999999999998;0.006586280271557401;0.3026142466308642
IC2;12.700000000000001;0.006434289188367616;0.30904853581923186
SIC3;12.399999999999999;0.006282298105177829;0.3153308339244097
MATS1se;12.0;0.006079643327591447;0.3214104772520011
ATSC5s;12.0;0.006079643327591447;0.32749012057959254
GATS4c;11.900000000000002;0.006028979633194853;0.3335191002127874
EEig02u;11.5;0.00582632485560847;0.3393454250683959
CIC0;10.5;0.005319687911642517;0.3446651129800384
MATS3s;10.0;0.00506636943965954;0.3497314824196979
EEig03d;10.0;0.00506636943965954;0.35479785185935747
ATSC5d;9.899999999999999;0.005015705745262943;0.3598135576046204
SM1_Z;9.8;0.004965042050866349;0.36477859965548676
EState_VSA3;9.8;0.004965042050866349;0.3697436417063531
nMultiple;9.6;0.0048637146620731575;0.37460735636842624
AATS7i;9.5;0.004813050967676562;0.37942040733610277
AATS5d;9.4;0.004762387273279967;0.38418279460938276
EState_VSA7;9.4;0.004762387273279967;0.38894518188266275
ATSC1d;9.3;0.004711723578883372;0.39365690546154614
ATSC4dv;8.9;0.00450906880129699;0.3981659742628431
ATSC7v;8.8;0.004458405106900395;0.4026243793697435
ATSC6p;8.5;0.004306414023710609;0.4069307933934541
ATSC7d;8.4;0.0042557503293140135;0.41118654372276814
