SMILES	VSA_EState5	SdssC	SMR_VSA6	nDouble	EState_VSA5	AATS7se	ATSC4s	AATS5dv	GATS7se	AATS1s	AATS6se	GATS3c	GATS5i	GATS8se	GATS4dv	EState_VSA4	ATSC2c	JGI7	SaasC	SLogP_VSA1	observed	predicted
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O	-0.52	-1.31	-0.27	1.46	0.49	1.33	-1.93	1.33	0.14	0.51	0.83	-0.09	-0.74	-0.15	1.45	-0.35	0.37	0.19	-0.79	-0.15	1	1
Cc1ccc(O)c([C@@H](CCN(C(C)C)C(C)C)c2ccccc2)c1	0.27	0.08	-0.65	-1.08	-0.15	-0.7	0.08	-0.6	-0.11	-0.76	-0.98	0.64	0.7	0.36	-0.46	-0.19	0.06	0.45	0.98	-1.05	0	0
CC(C)(C)NC[C@H](O)COc1ccccc1C#N	0.22	0.08	-0.22	-1.08	-1.02	-0.08	0.87	-0.38	1.17	0.2	0.29	1.02	0.45	-0.79	-1.53	-1.19	-0.79	0.38	-0.5	0.64	0	0
Oc1ccccc1	0.12	0.08	-1.07	-1.08	-1.02	1.43	0.05	-1.32	2.17	1.22	-2.13	-0.62	-3.27	-0.84	0.23	-1.19	0.07	-2.22	-0.84	-1.05	1	1
CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21	0.53	0.08	2.27	-1.08	-0.09	-0.31	0.04	-0.32	0.76	-0.87	-0.5	1.09	-0.87	0.16	0.32	1.91	-0.09	-0.25	-0.45	-0.22	1	0
CN[C@@H](C)Cc1ccccc1	-0.06	0.08	-0.62	-1.08	-0.59	-1.3	0.2	-0.96	-0.81	-0.81	-1.15	0.84	-0.42	-1.63	-0.94	-0.84	-0.25	2.19	-0.29	-0.15	0	0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC	2.9	3.08	-1.07	0.19	1.92	-1.15	-0.34	-0.91	-0.38	-1.25	-1.27	-1.09	0.47	0.09	0.84	0.52	-0.1	0.94	-1.0	-1.05	1	1
CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1	0.2	0.15	0.66	-0.44	0.7	-0.39	-0.11	-0.55	0.61	-0.81	-0.73	0.48	-0.48	0.42	0.55	0.56	0.77	0.52	0.46	-0.15	0	0
N=C(N)N/N=C\c1c(Cl)cccc1Cl	-0.19	-0.15	-1.07	0.19	-0.53	1.4	0.32	0.5	-1.29	1.36	0.87	0.51	1.29	1.75	-0.33	-1.19	1.17	-1.06	-0.2	0.83	1	1
COc1ccc(CCN(C)CCC[C@@](C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC	1.69	0.08	2.55	-1.08	-0.59	-0.24	0.35	-0.54	0.03	-0.12	-0.31	-1.42	0.5	-0.16	-0.08	1.48	-3.68	-0.6	1.66	2.93	1	0
CCCO	-0.06	0.08	-0.64	-1.08	-1.02	0.2	-0.05	-1.32	0.12	-0.19	0.68	-1.45	-4.81	-1.51	1.32	-0.84	-0.18	-2.22	-1.0	-1.05	1	1
C[C@@H](O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	-0.06	0.08	-1.07	0.19	0.19	-0.05	0.83	-0.48	0.05	0.24	0.12	0.35	-0.08	-0.61	0.73	-0.84	0.81	0.86	-1.0	0.84	1	1
