SMILES;y;C-001;F04[C-N];F05[N-O];B05[N-S];F05[N-S];B05[N-F];F05[N-F];B05[N-Cl];B05[N-Br];B05[O-O]
Cc1c(C2CCN(C(=O)NC3CC3c3ccccc3)CC2)o[nH]c1=O;0.0;-0.47;0.13;0.28;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1;1.0;0.95;-0.16;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
COC1CC(Oc2cc(F)c(F)c(-c3ccc4c(c3)CC[C@H](CCC(=O)O)O4)n2)C1;0.0;-0.95;-0.6;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;2.86
Cc1ccc(C2NC(=S)Nc3nc4c(c(N)c32)CCCC4)cc1;1.0;-0.47;0.42;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1;0.0;-0.95;-0.89;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
O=C(Nc1ccccc1F)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1;1.0;-0.95;1.0;-0.32;-0.22;-0.16;3.32;0.88;-0.22;-0.14;-0.35
Cc1cc(CC(=O)Nc2ccn(Cc3ccc(C#N)cn3)n2)ccc1OCC(F)(F)F;1.0;-0.47;0.27;0.28;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CC1CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1;1.0;-0.47;0.42;-0.32;-0.22;-0.16;3.32;0.88;-0.22;-0.14;-0.35
Cc1cccc(C)c1OCC(C)N;0.0;0.48;-1.04;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC;1.0;0.0;-0.02;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=C)C1c1ccc(C(=O)OC)cc1;1.0;0.0;-1.04;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1;0.0;0.48;1.15;0.88;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(-c2ccccc2)cc1)CCCC3;1.0;0.0;0.42;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCOC(=O)C1=C(C)NC(SC)=NC1c1cccc([N+](=O)[O-])c1;1.0;0.0;-0.31;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
COc1ccccc1-n1nc(O[C@H]2CC[C@@H](N)CC2)cc1-c1ccc(Cl)cc1;1.0;-0.95;0.56;0.28;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OC)C1c1cccc([N+](=O)[O-])c1;1.0;0.0;-0.16;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1;0.0;-0.47;-1.18;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
c1ccc(Cn2cc(CN3CCCCC3)c3ccccc32)cc1;0.0;-0.95;-0.46;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1ccccc1C(F)(F)F;1.0;0.48;-0.31;-0.32;-0.22;-0.16;3.32;3.08;-0.22;-0.14;-0.35
O=C(O)c1ccc(N2CC3(CCN(Cc4cc(C(F)(F)F)ccc4C4CC4)CC3)OC2=O)cc1;1.0;-0.95;-0.16;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
Cc1ccc(C(C)C)c(O)c1;0.0;0.48;-1.18;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4ncn5c6cccc(F)c6cc5c4n3)cc12;0.0;-0.95;1.29;-0.32;4.53;2.34;-0.3;-0.22;-0.22;-0.14;-0.35
O=C1CC2(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC2)Oc2cccnc21;0.0;-0.95;-0.02;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCC1=C[C@@H]2[C@H](C1)C[C@]2(CN)Cc1nn[nH]n1;1.0;-0.47;0.42;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
O=C1Cc2cc(S(=O)(=O)NNc3ccc(Br)cc3)ccc2N1;1.0;-0.95;-0.02;-0.32;4.53;2.34;-0.3;-0.22;-0.22;7.15;-0.35
CN(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(F)c(F)c3)n2)cc1;1.0;-0.95;0.27;0.28;-0.22;-0.16;3.32;0.88;-0.22;-0.14;-0.35
CCC1=CC2C(C1)C[C@@]2(CN)Cc1nn[nH]n1;1.0;-0.47;0.42;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCn1cc([C@@]2(c3nn(C)c(=O)o3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1;0.0;-0.47;2.75;1.49;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21;0.0;-0.95;0.85;0.28;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;2.86
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)cc1)CCCC3;0.0;0.0;0.42;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccccc3C(F)(F)F)no2)CC1;1.0;-0.95;1.29;0.28;-0.22;-0.16;3.32;6.38;-0.22;-0.14;-0.35
CCO/C(O)=C1\C(C)=NC(=S)N(C(=O)OC)C1c1cccc([N+](=O)[O-])c1;1.0;0.0;-0.31;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
O=C(NC1CC1c1ccccc1)N1CCC(n2cccn2)CC1;0.0;-0.95;-0.02;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4ccn5c6cccc(F)c6cc5c4n3)cc12;0.0;-0.95;0.71;-0.32;4.53;2.34;-0.3;-0.22;-0.22;-0.14;-0.35
O=C(Cn1ccccc1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1;0.0;-0.95;-0.02;0.28;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;2.86
CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1cccc([N+](=O)[O-])c1Cl;1.0;0.48;-0.16;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
Cc1noc([C@H]2C[C@@H]2C(=O)NCc2ccc(-c3cccc(OC(F)(F)F)c3)c3c2CN(C(=O)NC(C)(C)C)CC3)n1;1.0;0.95;1.0;0.88;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;2.86
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C;0.0;0.95;0.27;0.88;-0.22;-0.16;3.32;0.88;-0.22;-0.14;-0.35
COc1cc(F)c(-c2ccc(C(=O)O)cc2C)cc1-c1ccc(F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12;0.0;-0.47;-0.46;-0.32;-0.22;-0.16;3.32;0.88;-0.22;-0.14;-0.35
COc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1-c1cnn(C)c1;1.0;-0.47;1.15;0.88;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCc2cn(CCOCCOCCOCCn3cc(COC(=O)C4=C(C)NC(C)=C(C(=O)OCC)C4c4c(-c5ccc(Br)cc5)noc4C)nn3)nn2)C1c1c(-c2ccc(Br)cc2)noc1C;1.0;2.85;1.15;2.09;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc([N+](=O)[O-])cc1)CCCCC3;0.0;0.0;0.71;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(F)cc1)CCCC3;0.0;0.0;0.42;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
COc1cccc2c1[C@H](c1ccccc1)N(C(=O)CNC[C@@H](C)O)CC2;1.0;-0.47;-0.16;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
O=C(Nc1ccc(F)cc1)N1N=C(c2ccccc2)CC1(CO)c1ccc(F)cc1;1.0;-0.95;1.15;0.28;-0.22;-0.16;3.32;0.88;-0.22;-0.14;2.86
Nc1c2c(nc3c1C(c1ccccc1)NC(=S)N3)CCCC2;1.0;-0.95;0.42;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Br)c1;1.0;0.0;-1.04;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
C[C@@H](NC(=O)Cc1ccc(C2CC2)cc1)c1ccc(OCC(F)(F)F)cn1;0.0;-0.47;-0.31;0.28;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
COc1ccccc1-n1nc(OC2CCS(=O)(=O)CC2)cc1-c1ccc(Cl)cc1;1.0;-0.95;0.42;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;2.86
CC(C)(C)NC(=O)Cn1c(-c2ccc(F)cc2)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21;1.0;2.85;-0.02;-0.32;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
COc1ccc2ncc(F)c(CC[C@@]3(O)CO[C@@H]4[C@@H](NCc5cc6c(cn5)OCCO6)CO[C@@H]43)c2n1;1.0;-0.95;0.27;1.49;-0.22;-0.16;-0.3;-0.22;-0.22;-0.14;-0.35
