feature;importance;normalized_importance;cumulative_importance
ATSC0c;76.5;0.04313747603473554;0.04313747603473554
SLogP_VSA2;43.300000000000004;0.024416375324235934;0.06755385135897148
N-079;25.1;0.014153603247998197;0.08170745460696967
SLogP;20.400000000000002;0.011503326942596145;0.09321078154956582
ATS0Z;19.599999999999998;0.011052216082102176;0.10426299763166799
GATS1se;16.4;0.009247772640126311;0.1135107702717943
SIC3;16.000000000000004;0.00902221720987933;0.12253298748167364
GATS7d;15.799999999999999;0.008909439494755837;0.13144242697642947
AATSC1c;15.5;0.008740272922070599;0.14018269989850007
PEOE_VSA9;13.9;0.007838051201082667;0.14802075109958274
ATSC8c;13.8;0.007781662343520921;0.15580241344310367
ATSC1se;13.6;0.007668884628397429;0.1634712980715011
AATSC0c;13.6;0.007668884628397429;0.17114018269989853
AATS1i;13.5;0.007612495770835684;0.17875267847073423
PEOE_VSA5;12.800000000000002;0.007217773767903464;0.1859704522386377
SdssC;11.299999999999999;0.006371940904477276;0.19234239314311496
GATS1i;11.299999999999999;0.006371940904477276;0.19871433404759223
AATS5i;11.200000000000001;0.006315552046915531;0.20502988609450776
MATS2Z;11.2;0.00631555204691553;0.2113454381414233
GATS1s;10.6;0.005977218901545055;0.21732265704296835
JGI7;10.5;0.005920830043983309;0.22324348708695166
BELZ-1;10.5;0.005920830043983309;0.22916431713093496
JGI4;10.2;0.0057516634712980715;0.23491598060223304
SM1_Z;10.1;0.005695274613736326;0.24061125521596938
EEig03d;9.999999999999998;0.005638885756174579;0.24625014097214395
ESpm02d;9.899999999999999;0.005582496898612834;0.25183263787075677
AATS2i;9.799999999999999;0.005526108041051088;0.25735874591180785
AATSC0v;9.6;0.005413330325927597;0.26277207623773546
MATS1se;9.6;0.005413330325927597;0.2681854065636631
PEOE_VSA1;9.6;0.005413330325927597;0.2735987368895907
GATS2Z;8.900000000000002;0.005018608322995378;0.2786173452125861
Jhetv;8.9;0.005018608322995377;0.28363595353558146
ATSC3p;8.799999999999999;0.00496221946543363;0.2885981730010151
ATSC2p;8.6;0.004849441750310139;0.29344761475132525
SsssCH;8.3;0.004680275177624902;0.2981278899289502
ATS0dv;8.1;0.00456749746250141;0.3026953873914516
EState_VSA2;8.1;0.00456749746250141;0.307262884853953
AATSC1p;8.1;0.00456749746250141;0.3118303823164544
ATSC1i;8.0;0.004511108604939664;0.316341490921394
GATS3Z;7.699999999999999;0.004341942032254426;0.32068343295364843
GATS3i;7.699999999999999;0.004341942032254426;0.32502537498590284
ATSC7d;7.300000000000001;0.004116386602007444;0.3291417615879103
GATS2d;7.3;0.0041163866020074436;0.3332581481899177
PCR;7.200000000000001;0.004059997744445699;0.33731814593436343
GATS1d;7.199999999999999;0.004059997744445697;0.34137814367880914
ATSC4d;7.1;0.004003608886883952;0.3453817525656931
X1vA;7.0;0.0039472200293222065;0.3493289725950153
VSA_EState5;6.800000000000001;0.003834442314198715;0.353163414909214
AATS4i;6.8;0.0038344423141987143;0.3569978572234127
X3vA;6.8;0.0038344423141987143;0.3608322995376114
ATSC2d;6.7;0.003778053456636969;0.3646103529942484
GATS1c;6.6000000000000005;0.0037216645990752234;0.3683320175933236
SLogP_VSA4;6.6;0.003721664599075223;0.37205368219239887
SMR_VSA3;6.6;0.003721664599075223;0.3757753467914741
AATSC6v;6.500000000000001;0.0036652757415134777;0.3794406225329876
TI2;6.5;0.0036652757415134773;0.3831058982745011
S3K;6.5;0.0036652757415134773;0.3867711740160146
SIC0;6.4;0.0036088868839517316;0.3903800608999663
ATSC3i;6.4;0.0036088868839517316;0.393988947783918
X4vA;6.3999999999999995;0.003608886883951731;0.39759783466786974
ATSC6dv;6.3;0.0035524980263899855;0.4011503326942597
