SMILES	SLogP	ATS0d	ATSC5s	GATS2c	PNSA1	AATS2i	GATS7Z	ATSC5se	AATS5d	AATS7i	ww	ATS0Z	MAXDN	PEOE_VSA7	O-057	SIC3	ATSC1v	PEOE_VSA10	AATS5i	GATS6c	observed	predicted
CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1	0.95	-0.16	0.25	2.99	-0.09	-0.82	0.17	0.27	1.18	-0.65	-0.19	-0.17	-0.6	0.48	-0.38	-1.26	0.19	-0.84	-1.84	-0.07	0	0
COc1cc(-c2coc3cc(OCc4ccccc4)c(OC)c(O)c3c2=O)cc(OCc2ccccc2)c1OC	1.65	1.14	-1.09	1.46	0.47	-0.52	-0.42	-2.22	1.49	-1.22	0.29	0.74	-0.22	-0.27	0.37	-0.75	-0.57	1.44	-0.83	0.15	0	1
C[C@]12CC(=O)[C@@H]3[C@H](CCC4=CC(=O)C=C[C@]43C)[C@H]1CC[C@]2(O)C(=O)CO	-0.25	0.41	-0.74	-0.5	0.2	-0.96	-0.4	-0.33	-0.45	-0.23	-0.04	-0.04	0.44	0.52	-0.38	0.79	1.28	0.51	0.13	0.15	0	0
CC(=O)N[C@@H](CCC(=O)O)C(=O)O	-1.21	-1.05	0.41	-1.11	-0.23	1.02	-0.8	0.6	-1.07	1.24	-0.33	-0.67	0.45	-1.12	0.37	0.46	-0.52	-0.38	0.84	-0.0	0	0
C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O	-1.0	-0.45	0.15	0.03	-0.03	1.95	-0.57	0.08	0.27	0.59	-0.28	-0.1	2.92	-1.1	-0.38	0.58	-0.52	0.53	0.63	-0.41	0	0
CCCN(CCC)CCc1cccc2c1CC(=O)N2	0.2	-0.4	0.36	0.51	-0.42	0.6	-0.37	0.28	-0.71	-0.42	-0.28	-0.5	-0.75	0.51	-0.38	-0.7	-0.68	-0.84	-0.08	-0.42	0	0
CC(=O)Oc1cc2c(c(C)c1OC(C)=O)CC=C1[C@]2(C)CC[C@]2(C)[C@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@@]12C	1.95	1.59	1.5	-0.95	-0.16	-0.52	-0.28	1.89	0.05	-0.17	0.82	0.64	-0.05	2.8	-0.0	-0.58	0.92	-0.84	-0.47	-0.44	1	1
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1	0.49	-0.84	0.18	-0.58	0.21	-1.09	5.01	0.46	0.01	0.77	-0.31	-0.1	-0.99	-0.41	0.37	1.07	-0.15	-0.42	-0.8	1.22	0	0
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	0.79	0.0	0.12	1.4	-0.59	-0.27	0.39	0.31	0.23	-0.46	-0.16	-0.1	-1.14	0.94	-0.38	0.69	0.43	-0.84	-0.8	-0.29	0	0
CNC(=N)NCCC[C@@H](N)C(=O)O	-1.43	-1.01	-0.12	-0.9	-0.92	2.11	-0.75	0.08	-1.35	1.04	-0.33	-0.73	0.24	-0.87	-0.0	0.55	-0.58	-0.38	1.81	-0.33	0	0
CCN(CC)CCNC(=O)c1ccc(N)cc1	-0.43	-0.64	0.12	0.23	-0.6	1.25	0.3	0.39	-1.28	0.0	-0.31	-0.58	-0.6	0.05	-0.38	-0.46	-0.79	-0.84	1.2	-0.64	0	0
COc1c(CC=C(C)C)c2c(c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)C=CC(C)(C)O2	1.32	0.69	-0.05	-0.13	0.35	-0.63	0.41	-0.72	1.83	-0.9	0.05	0.28	-0.02	1.06	1.13	0.05	0.27	2.13	-1.53	0.69	1	1
C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(=O)C(C)(C)C(C(OC(C)=O)C(=O)OC)[C@@]21C	0.72	1.39	2.16	0.36	0.2	-0.25	0.42	1.65	0.5	-0.65	0.37	0.7	0.23	-0.21	-0.38	0.24	-0.39	0.47	-0.72	0.04	1	1
