feature;importance;normalized_importance;cumulative_importance
SLogP;50.60000000000001;0.03546894714706295;0.03546894714706295
ATS0d;20.1;0.014089443431936074;0.04955839057899902
AATS2i;19.799999999999997;0.013879153231459412;0.06343754381045844
SLogP_VSA5;16.7;0.011706154493200617;0.07514369830365905
PNSA1;16.599999999999998;0.011636057759708397;0.08677975606336745
JGI6;13.500000000000002;0.009463059021449602;0.09624281508481705
ATS0dv;13.399999999999999;0.009392962287957381;0.10563577737277444
ATS0Z;12.8;0.008972381887004067;0.1146081592597785
ATSC1v;12.2;0.00855180148605075;0.12315996074582926
ATSC5se;11.799999999999999;0.008271414552081873;0.13143137529791113
GATS2c;11.700000000000001;0.008201317818589656;0.13963269311650078
EState_VSA2;11.4;0.007991027618112996;0.14762372073461377
ATSC5s;10.9;0.007640543950651901;0.15526426468526566
PEOE_VSA6;10.8;0.007570447217159681;0.16283471190242535
SaasC;10.700000000000001;0.007500350483667462;0.1703350623860928
MAXDP;10.5;0.007360157016683023;0.17769521940277583
NaasC;10.4;0.007290060283190804;0.18498527968596662
ATSC7i;10.0;0.007009673349221927;0.19199495303518854
PNSA3;9.999999999999998;0.007009673349221926;0.19900462638441047
AATS5d;9.9;0.006939576615729708;0.20594420300014019
SIC3;9.8;0.006869479882237488;0.21281368288237767
ww;9.7;0.006799383148745269;0.21961306603112293
IC2;9.000000000000002;0.006308706014299735;0.22592177204542266
ATSC8s;8.9;0.006238609280807515;0.23216038132623018
AATSC8p;8.500000000000002;0.0059582223468386385;0.2381186036730688
AATS3i;8.299999999999999;0.0058180288798541984;0.243936632552923
AATS7i;8.2;0.00574793214636198;0.249684564699285
EEig03d;8.1;0.00567783541286976;0.2553624001121548
AATSC1i;8.0;0.005607738679377541;0.2609701387915323
AATSC7i;8.0;0.005607738679377541;0.26657787747090983
SIC2;7.6000000000000005;0.005327351745408665;0.2719052292163185
H-046;7.5;0.005257255011916445;0.2771624842282349
GATS4s;7.4;0.005187158278424226;0.28234964250665917
MAXDN;7.2;0.005046964811439787;0.28739660731809896
