SMILES;y;C-002;N-074;AATS5d;ATSC3c;ATSC5se;MATS2Z;MATS3Z;GATS3p;GATS5s;MCBO;SIC0;SIC3;nNH2;nAmidine;NaasC
O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21;0;-0.41;-0.2;0.71;-1.62;-1.04;-0.78;-0.28;-0.21;0.56;0.99;-0.03;0.82;-0.34;-0.11;0.82
O=C([O-])C1=CC[NH2+]CC1;0;-0.41;-0.2;-2.12;0.45;-0.09;-1.01;1.4;0.18;3.91;-0.73;1.4;0.36;1.37;-0.11;-0.93
OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1;0;0.56;-0.2;-0.02;-0.2;0.22;-1.27;0.45;-0.5;0.3;0.24;-0.92;-1.33;-0.34;-0.11;-0.23
O=c1c(O)cccc2c([C@H]3Oc4cc(O)cc(O)c4C[C@@H]3O)cc(O)c(O)c12;0;-0.41;-0.2;1.47;0.13;0.23;-0.55;0.31;-0.29;-0.4;0.92;-0.21;0.89;-0.34;-0.11;1.87
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1;0;-0.41;-0.2;0.71;-1.58;0.03;-0.11;-0.16;0.66;-0.36;0.41;0.86;0.68;-0.34;-0.11;-0.23
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1;1;-0.09;-0.2;1.1;-0.77;-0.81;0.14;0.12;-0.37;-0.88;-0.38;-0.62;-0.08;-0.34;-0.11;1.52
COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc(O)c(CC=C(C)C)c3O[C@@H]1CO2;0;-0.41;-0.2;1.12;0.11;0.07;0.6;0.35;0.12;0.22;0.34;-0.64;0.01;-0.34;-0.11;1.87
N#Cc1c(Cl)cccc1Cl;0;-0.74;3.37;-2.12;-0.27;-0.13;-0.68;-0.46;-0.63;5.37;1.16;2.32;1.7;-0.34;-0.11;0.12
CN/C(=N\C#N)NCCSCc1nc[nH]c1C;0;-0.74;6.94;-0.77;-0.73;0.13;-1.58;0.21;0.38;-0.14;-0.04;0.49;0.53;-0.34;-0.11;-0.23
C=C(C)[C@H]1CC=C(C(=O)O)CC1;0;0.24;-0.2;-1.81;-0.14;-0.11;0.06;-0.48;1.24;0.23;-0.54;-0.18;0.39;-0.34;-0.11;-0.93
[NH3+][C@@H](COCc1ccccc1)C(=O)[O-];0;-0.74;-0.2;0.03;1.0;0.08;-1.13;-0.07;0.89;-1.47;-0.29;0.59;0.38;-0.34;-0.11;-0.58
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O;1;-0.09;-0.2;1.27;0.94;1.18;0.42;0.05;0.02;-0.13;0.18;-1.02;0.04;-0.34;-0.11;0.12
C=C(C)[C@@H]1Cc2c(ccc(C(=O)O)c2O)O1;0;-0.41;-0.2;-0.14;-0.66;-0.21;0.94;-0.32;1.1;-0.17;0.31;0.18;0.89;-0.34;-0.11;0.47
Oc1ccc([C@H]2Oc3cc(O)cc(O)c3C[C@H]2O)cc1;1;-0.41;-0.2;0.66;-0.65;-0.19;-0.82;-0.57;0.15;-0.45;0.48;-0.04;0.92;-0.34;-0.11;1.17
