SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]	observed	predicted
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1	0.59	-0.53	0.17	0.07	1.27	-0.65	-0.07	-0.32	0.92	0.22	0.72	0.21	0.41	0.11	1.0	0.76	1.0	0.0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O	0.62	-0.53	0.17	-0.9	-0.21	-0.08	0.14	-0.66	0.42	-1.2	0.7	0.08	0.54	-0.89	1.0	0.76	1.0	1.0
CCCC(=O)CC	0.72	-0.53	-0.74	-0.06	-0.68	0.58	0.52	1.55	-2.12	-0.03	-0.2	1.28	1.2	0.27	-1.0	-1.32	0.0	0.0
CCOP(=O)(O)OP(=O)(O)O	0.48	-0.53	-0.74	-0.71	5.55	-3.58	-4.44	-2.36	0.46	1.96	0.93	2.23	2.22	4.11	1.0	-1.32	0.0	0.0
CCN(CC)C(=S)SC	1.27	0.65	-0.74	0.53	1.02	-0.06	1.37	1.04	-1.6	-1.25	1.05	1.32	1.07	0.27	-1.0	-1.32	1.0	1.0
CCCCC/C=C\C=C/C(O)C/C=C\C/C=C/CCCC(=O)O	-0.96	-0.53	0.17	-0.09	-0.19	-0.63	0.0	0.36	0.02	0.52	-1.25	0.18	-0.02	-1.48	1.0	0.76	0.0	0.0
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	0.68	1.82	0.17	-0.68	-0.46	0.36	1.16	-0.32	-0.3	-1.27	-0.56	-1.24	-0.11	-0.09	1.0	0.76	0.0	1.0
COc1ccc2c(CN(C)C)cc(=O)oc2c1	0.83	3.0	0.17	-0.7	-0.16	0.29	0.35	-0.66	-0.02	0.03	0.62	-0.03	0.62	0.27	1.0	0.76	1.0	1.0
CCCCCCCCCCCCC/C=C/C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCCCC	-4.51	-0.53	0.17	0.11	-0.06	0.06	0.13	0.7	-0.67	-0.43	-1.89	-0.96	-1.83	-1.7	1.0	0.76	0.0	0.0
NC(Cc1cnc[nH]1)C(=O)NCC(=O)O	0.25	-0.53	1.08	-0.06	0.83	-0.96	-1.42	1.21	0.85	0.36	0.24	-0.14	0.92	0.05	1.0	-1.32	0.0	0.0
OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O	-0.4	-0.53	-0.74	-0.03	-0.04	0.04	-1.8	1.72	1.46	0.49	-0.65	-0.4	-0.26	0.13	1.0	0.76	0.0	0.0
[N][C@@H]1CCCC[C@H]1[N]	0.49	-0.53	-0.74	-0.04	1.18	1.53	0.54	1.38	-1.61	0.77	-0.46	1.15	0.72	-0.53	-1.0	-1.32	1.0	0.0
O=c1[nH]c(=O)n(COCCO)c(O)c1Cc1cccc(OCc2ccccc2)c1	-0.3	-0.53	0.17	0.09	-0.37	-0.61	-0.34	-0.32	0.36	-0.76	-0.55	-1.29	0.11	-0.87	-1.0	0.76	0.0	0.0
CC/C(=C(\c1ccccc1)c1ccc(OCCNC)cc1)c1ccccc1	-0.46	0.65	-0.74	-1.78	-0.0	1.17	0.69	-0.66	-0.53	-0.96	-0.38	-0.75	-0.5	-1.61	-1.0	0.76	0.0	1.0
COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C	0.69	0.65	-0.74	-0.3	-0.19	0.46	0.32	-0.32	-0.55	-1.31	-0.32	-1.16	0.78	-1.21	-1.0	0.76	1.0	1.0
OCC(O)C(O)CO	0.39	-0.53	-0.74	0.07	-2.62	-0.15	-2.0	2.06	0.91	-0.78	-0.12	0.81	0.73	0.72	-1.0	-1.32	0.0	0.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	-0.3	-0.53	-0.74	0.24	-0.3	1.17	0.31	-0.49	-0.29	-0.34	-0.22	-0.49	0.19	-1.01	-1.0	0.76	1.0	1.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	-0.39	-0.53	1.08	-0.5	-0.34	-0.3	0.39	-0.15	-0.37	-0.77	-0.73	0.11	-0.65	0.16	1.0	0.76	0.0	0.0
CC[C@H](OC(C)=O)C(C[C@H](C)NC)(c1ccccc1)c1ccccc1	-0.66	0.65	0.17	-2.77	-0.16	0.09	0.56	-0.49	-0.38	-0.54	-0.05	-0.32	0.37	-0.23	1.0	-1.32	0.0	0.0
C=CC1CO1	0.78	-0.53	-0.74	-0.04	0.19	1.07	0.55	0.87	-1.16	-1.13	-1.05	1.02	0.94	-0.37	-1.0	-1.32	0.0	0.0
