SMILES	H-050	AATS0d	AATS0i	AATSC0c	AATSC0i	AATSC1c	GATS1v	GATS1se	ESpm02u	EEig04u	SIC3	ZMIC1	B01(C-N)	nAr_NH	nCOO	observed	predicted
Nc1ccc(CCc2ccc(N)cc2)cc1	2.3	-0.09	-0.25	-0.36	-0.07	0.15	-0.55	1.95	0.39	0.84	-0.42	0.3	1.06	-0.16	-0.32	2.61294271588699	2.6218361515066038
CCC12CCCN3CCC4(c5cccc(OC)c5N(C(C)=O)C4CC1)C32	-0.75	0.45	-0.07	-0.56	-0.19	0.63	0.29	-0.29	1.57	1.31	0.51	0.31	1.06	-0.16	-0.32	2.6822804901301343	2.6533951099190896
O=C(O)Cc1ccc2ccccc2c1	0.01	0.46	-0.75	0.09	-0.21	-0.34	-0.75	-0.34	0.25	0.48	0.7	-0.1	-0.94	-0.16	2.52	2.6182050422592695	2.617513091302095
O=CF	-0.75	-1.76	3.47	1.98	3.34	-1.7	1.2	0.08	-3.76	-1.05	1.35	-1.46	-0.94	-0.16	-0.32	2.117105502761251	2.1213958529573698
NS(=O)(=O)c1cc2c(s1)C(O)CCS2(=O)=O	1.54	1.34	-0.31	0.29	0.24	-0.34	-0.81	-0.8	0.75	0.77	0.74	-0.1	-0.94	-0.16	-0.32	2.640630482724411	2.6626686412234886
OC1CCCCC1	0.01	-1.11	0.27	-0.56	-0.4	0.44	1.11	0.5	-1.11	-1.44	-1.07	-0.81	-0.94	-0.16	-0.32	2.4750170755177985	2.442469748332775
COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)ON=C(c2ccccc2)c2ccccc2)n1	-0.75	0.79	-0.27	0.81	-0.03	-0.63	-0.26	0.04	2.05	1.58	-0.26	2.88	1.06	-0.16	-0.32	2.6043880730385607	2.602985867514606
CCCc1cccc(C)c1	-0.75	-0.82	-0.29	-1.21	-0.25	1.02	0.44	1.04	-0.51	-0.11	0.48	-0.7	-0.94	-0.16	-0.32	2.2802368096096894	2.2863603926458227
COc1ccc2c(c1)N(CC(C)CN1CCC(O)CC1)c1ccccc1S2	0.01	0.17	-0.24	-0.43	-0.09	0.63	-0.04	0.37	1.36	1.18	0.47	0.67	1.06	-0.16	-0.32	2.613471827163333	2.616133198445621
Oc1ccc2ccccc2c1/N=N/c1ccccc1	0.01	0.76	-0.68	-0.3	-0.02	0.34	-0.89	-0.15	0.75	0.63	0.63	0.83	1.06	-0.16	-0.32	2.609754439128856	2.6162728931861263
O=S1(=O)CCCC1	-0.75	-0.29	0.05	-0.69	-0.12	0.73	0.57	-1.7	-0.78	-1.76	-0.83	-0.81	-0.94	-0.16	-0.32	2.4782056360118823	2.485266604547932
Cc1ccc(NC(=S)Nc2ccc(C)cc2)cc1	0.77	0.08	-0.5	-0.62	0.04	0.24	-0.57	1.09	0.58	0.89	-0.35	0.44	1.06	-0.16	-0.32	2.6591076791998134	2.6605928150930604
CCCCCCCCCCCCCCCCI	-0.75	-1.55	0.1	-1.21	-0.29	1.02	0.99	1.97	-0.18	0.35	-2.52	1.42	-0.94	-0.16	-0.32	2.4700427875572135	2.4651175502583365
Oc1ccccc1S	0.77	-0.01	-0.88	0.61	-0.01	-0.63	-0.77	0.63	-0.78	-1.05	1.08	-0.74	-0.94	-0.16	-0.32	2.445059047392219	2.446269868677409
