SMILES;H-050;AATS0d;AATS0i;AATSC0c;AATSC0i;AATSC1c;GATS1v;GATS1se;ESpm02u;EEig04u;SIC3;ZMIC1;B01[C-N];nAr_NH;nCOO
Nc1ccc(CCc2ccc(N)cc2)cc1;4.0;2.9375;161.1338607271245;0.014957523921196455;1.5163090148684986;-0.00860183550606036;0.8721449529631375;1.4247823446041705;3.8066624897703196;2.0;0.75;43.5;1.0;0.0;0.0
CCC12CCCN3CCC4(c5cccc(OC)c5N(C(C)=O)C4CC1)C32;0.0;3.3214285714285716;163.04264449879412;0.011875128460072732;1.396762225211166;-0.0044640132115449415;1.1084392136449641;0.7459445437446836;4.574710978503383;2.496446892405982;0.8823392828698237;43.711912220844596;1.0;0.0;0.0
O=C(O)Cc1ccc2ccccc2c1;1.0;3.3333333333333335;155.90047353864543;0.022406520272930604;1.3705778694494082;-0.013820013154862707;0.8149687179897748;0.7305162954866765;3.713572066704308;1.6180339887498945;0.9091232116726952;36.273834876126294;0.0;0.0;1.0
O=CF;0.0;1.75;200.17931343918724;0.05076554429263118;4.881532341334185;-0.02785541717867733;1.3655584519309225;0.8567743579579239;1.0986122886681098;0.0;1.0;12.0;0.0;0.0;0.0
NS(=O)(=O)c1cc2c(s1)C(O)CCS2(=O)=O;3.0;3.96;160.49221097084165;0.025227408722476485;1.8204319755998963;-0.014023171064549266;0.7984438067644484;0.5886751006916812;4.04305126783455;1.923079328275208;0.9138646883853213;36.31719326913373;0.0;0.0;0.0
OC1CCCCC1;1.0;2.210526315789474;166.5910129807099;0.011711837587530133;1.1827596597138936;-0.00562735261449192;1.3405503289563385;0.9866355360170044;2.833213344056216;-0.41421356237309503;0.6591554610142468;23.580359408244636;0.0;0.0;0.0
COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)ON=C(c2ccccc2)c2ccccc2)n1;0.0;3.5694444444444446;160.97231388895455;0.032848197201287545;1.5457543603556188;-0.01731504164195886;0.9550725289342725;0.8457949824141322;4.890349128221754;2.787995844175486;0.7733831753773259;89.76242138959346;1.0;0.0;0.0
CCCc1cccc(C)c1;0.0;2.4166666666666665;160.69961205164523;0.002131887820486426;1.328763500664686;-1.1336138938449416e-05;1.1500000000000001;1.1499999999999997;3.2188758248682006;1.0000000000000004;0.8772275036582268;25.495726695781848;0.0;0.0;0.0
COc1ccc2c(c1)N(CC(C)CN1CCC(O)CC1)c1ccccc1S2;1.0;3.1272727272727274;161.2342290015286;0.014166355400313113;1.488844485358466;-0.004370393170111469;1.0170749299915098;0.9459342272234404;4.442651256490317;2.356564740600976;0.875745571780853;50.11435310439383;1.0;0.0;0.0
Oc1ccc2ccccc2c1/N=N/c1ccccc1;1.0;3.5483870967741935;156.6339655855964;0.01631228783042544;1.56530002934461;-0.0069548668473704426;0.7764140033811004;0.7868443397452898;4.04305126783455;1.7764193159506017;0.8983615589793533;52.93217929539027;1.0;0.0;0.0
O=S1(=O)CCCC1;0.0;2.8;164.31673462393948;0.009714439804586621;1.4568469398447272;-0.0034304796871924797;1.187310199114093;0.3169479023292246;3.044522437723423;-0.7539368520929753;0.6928503702282215;23.540166353157534;0.0;0.0;0.0
Cc1ccc(NC(=S)Nc2ccc(C)cc2)cc1;2.0;3.0588235294117645;158.54140313406128;0.011114212329519244;1.6231917177907011;-0.00785239194273423;0.8674898990545834;1.1639663905310669;3.9318256327243257;2.056119407388399;0.7600226726921259;45.949814209904275;1.0;0.0;0.0
CCCCCCCCCCCCCCCCI;0.0;1.9;164.80442099655633;0.0015056462363892428;1.2895438954471223;-7.589027739839739e-05;1.3045920605041508;1.4321021045167797;3.4339872044851463;1.4780178344413184;0.4542268148243079;63.58780675708021;0.0;0.0;0.0
Oc1ccccc1S;2.0;3.0;154.5037958348639;0.029878062269408062;1.574325105535672;-0.016993604630747363;0.811141357245668;1.024225226947284;3.044522437723423;-3.0349217394994935e-16;0.9624786378518297;24.793088450617187;0.0;0.0;0.0
CCSCC(=O)O;1.0;2.1333333333333333;164.31673462393948;0.034916425300588035;1.4568469398447272;-0.025028608960367897;1.1072786418822893;0.8233994661718745;2.5649493574615367;-0.9999999999999999;0.8506077525009399;18.438000796912025;0.0;0.0;1.0
Nc1cccc(N)n1;4.0;2.8666666666666667;170.80770220331624;0.03252495201145012;1.6466354451126393;-0.02671937904348162;0.7948160888452392;1.4203923045323845;3.044522437723423;-0.3472963553338603;0.9317445267173824;22.1610385000827;1.0;0.0;0.0
O=C(O)c1ccccc1C(=O)Nc1cccc2ccccc12;2.0;3.6285714285714286;155.82348017579247;0.024207951403038018;1.4581844052444999;-0.01574883112762785;0.7597142992328402;0.7221247935637379;4.204692619390966;2.0016375294499347;0.8462071856647057;57.89820760367501;1.0;0.0;1.0
O=[N+]([O-])c1cccc(F)c1;0.0;3.5714285714285716;170.4380956351426;0.021101781255726943;3.015620443105916;-0.0014182121431286616;0.8377698230060713;0.3648848540999189;3.295836866004329;0.9999999999999998;1.0000000000000004;26.424811988641874;1.0;0.0;0.0
Cc1ccc(/N=N/c2c(O)ccc3ccccc23)c(C)c1;1.0;3.4054054054054053;158.07870955217524;0.013590804800013307;1.526713770699242;-0.005868090611114028;0.8536893610913846;0.7847348429373971;4.174387269895637;2.119992504572198;0.8884057060146032;50.02725057980887;1.0;0.0;0.0
Cc1ccc2cccc(C)c2c1;0.0;3.0833333333333335;155.85600405712452;0.002315579803609618;1.3667281721122488;-9.097985938571919e-05;0.92;0.9199999999999999;3.6109179126442243;1.4142135623730936;0.8408767883273048;34.75488750216346;0.0;0.0;0.0
O=c1[nH]ncc2ccccc12;1.0;3.6470588235294117;160.6936571934114;0.018574586658654028;1.6974186943149956;-0.0077477361088382785;0.7506967533367109;0.5735627018653835;3.4965075614664802;1.2697327072428926;0.9136527498406263;27.158535826639824;1.0;1.0;0.0
CCCCCCCCCCCCCCCCCCCCCCCCCCCC;0.0;1.9069767441860466;165.99378823170284;0.0014322877879569943;1.2004145762630019;-5.2196004730250276e-05;1.5357142857142856;1.5357142857142851;3.970291913552122;1.8019377358048367;0.284014851635467;105.13817755363948;0.0;0.0;0.0
CC(C)COC(=O)Nc1ccc2nn(C3CCCC3)nc2c1;1.0;3.090909090909091;166.19911056405633;0.016152087211480246;1.4834441582308437;-0.010678933221180045;1.1007286409701744;0.6820223848691939;4.204692619390966;2.2007823904241315;0.8355232751975277;37.86225603505414;1.0;0.0;0.0
Cc1cccc(N)n1;2.0;2.75;166.4117173971245;0.01815716371458664;1.5821573073122488;-0.01360836724904918;0.9594581212345399;1.1791107382550334;3.044522437723423;-0.3472963553338603;0.8944548827786958;19.6176687467548;1.0;0.0;0.0
O=C1C=CC(=Nc2ccc(O)cc2)C=C1;1.0;3.4583333333333335;156.99724065471838;0.024285620697776414;1.496561997139608;-0.012736624219538055;0.7941137873595719;0.7628120979161291;3.7612001156935624;1.8566262521508523;0.927298569338156;38.75589168157055;1.0;0.0;0.0
O=[N+]([O-])c1cccc2c(Cl)cccc12;0.0;3.9;156.38757676386973;0.013272977486040404;1.4703624691343389;-0.00047242134633516855;0.6955019078731437;0.25419833022571825;3.7612001156935624;1.6180339887498985;0.9768621786840241;37.10909324706618;1.0;0.0;0.0
O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl;1.0;4.4;153.39573863673988;0.03670214243275202;1.078005317329928;-0.024287158020668453;0.4016260008627339;0.9132332438667243;3.6635616461296463;1.4142135623730943;0.9658722633586911;56.158920041722766;0.0;0.0;1.0
CCOC(=O)c1cccc(Cl)c1O;1.0;3.1363636363636362;160.45097082966552;0.03718720889073029;1.2892730364463065;-0.020660155670903176;0.87922596548875;0.8123018992822819;3.5553480614894135;1.414213562373097;0.9311480997434253;26.471127671644282;0.0;0.0;0.0
CC(=O)c1ccc(O)cc1O;2.0;3.1578947368421053;160.52894328007852;0.04492318407922468;1.3388013296052952;-0.023962537053657917;0.8463473494104652;0.9063359359857323;3.4339872044851463;1.142020205622698;0.9163073301685165;26.16080247748227;0.0;0.0;0.0
Cc1ccccc1/N=N\c1ccc(N)cc1C;2.0;3.09375;161.95643606417923;0.010064604310058237;1.5992121933872008;-0.005016753442508096;0.9108165014864623;0.8270369151238149;3.8918202981106265;1.603427290290546;0.8280639062229567;41.25058161588375;1.0;0.0;0.0
CCOc1c(N2CCOCC2)cnn(C)c1=O;0.0;2.9705882352941178;168.48270727175688;0.026295423107233915;1.3941743615968512;-0.0071945580625127304;1.244191286561892;0.7905414346776694;3.8918202981106265;1.6817534594459607;0.8178349174664854;28.905781380035258;1.0;0.0;0.0
COc1cc2ccc(=O)oc2cc1OC;0.0;3.44;159.4287832176996;0.03886725155662984;1.3535537853717587;-0.017172646987439796;0.9709965281569123;0.8253412235529344;3.8066624897703196;1.7870496226890231;0.8319519450470032;34.77984980842669;0.0;0.0;0.0
O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-];1.0;4.0;166.44310216642086;0.05120722331470912;1.53374594983806;-0.014330524758198989;0.7261099230207615;0.5220585519390981;3.7612001156935624;1.4491807799422363;0.9504402287649183;35.14296238162279;1.0;0.0;1.0
OC1CC(O)C(O)C(O)C1O;5.0;2.869565217391304;169.87106042797774;0.045666542664033194;1.0593768081479542;-0.02291102260902557;1.070546294263033;1.1603508802352664;3.4965075614664802;0.6180339887498946;0.7008954276657147;40.73253105830139;0.0;0.0;0.0
OC(CCl)C(O)CCl;2.0;2.375;168.35875423704948;0.028882499666946313;0.9796797995072489;-0.013998991810412682;0.934763848992722;0.9674240425547425;2.833213344056216;5.847606564971729e-16;0.6875;31.6838343733774;0.0;0.0;0.0
O=C(CO)C(O)C(O)C(O)C(O)CO;6.0;2.642857142857143;170.5202364852495;0.0499213050426776;1.0308487067684993;-0.02401983103366383;1.1149922434720319;1.1627450636474854;3.5553480614894135;1.0441572801676038;0.9349591285190847;41.556085992239545;0.0;0.0;0.0
O=C(O)Cc1cccc(F)c1;1.0;3.1666666666666665;165.7352746852635;0.031638940398304935;2.562468191372137;-0.02092285690407503;0.8717406006530569;0.669725424684048;3.367295829986474;1.1798680688896466;0.9733541703813188;25.789308346634655;0.0;0.0;1.0
