SMILES	y
CC(COc1ccccc1)N(CCCl)Cc1ccccc1	0
COc1ccc2[nH]cc(CCNC(C)=O)c2c1	0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C	0
Cc1ncc([N+](=O)[O-])n1CC(O)CCl	0
OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO	0
CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1	0
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	0
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12	0
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2	0
O=C(Oc1ccccc1C(=O)O)c1ccccc1O	0
c1cnc2cc3c(cc2n1)C1CNCC3C1	0
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1	0
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1	0
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O	0
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1	0
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1	0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	0
Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2	1
O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I	0
C=CCOc1ccccc1OCC(O)CNC(C)C	0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	0
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1	0
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O	1
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(Cc3sc(=O)[nH]c3O)cc1)O2	1
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1	0
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C	1
CC(C)NNC(=O)c1ccncc1	0
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O	0
NC(=O)NO	0
Nc1c2c(nc3ccccc13)CCCC2	0
Oc1c(I)cc(I)c2cccnc12	0
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1	0
CCCc1ncc(C[n+]2ccccc2C)c(N)n1	0
