SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1	-0.847	0	1	0.414482373394256	5.165069669022238	-0.6033573503748662	-0.07721930587895061	2.24	7.66	0.472	0.261	-1.163	-1.024	0.23809523809523814	1	1
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O	-0.162	0	1	-3.234646792047762	-0.31969813909613204	-0.502532416450636	-0.05025309037600806	2.22	6.857	0.324	0.256	-1.067	-0.954	0.16	1	1
CCCC(=O)CC	-0.632	0	0	-0.06112707856145161		-0.38537250152125047	-0.002431531635536025	2.35	2.97	0.477	0.183	-0.003	-0.027	0.24999999999999997	0	0
CCOP(=O)(O)OP(=O)(O)O	-0.931	0	0	-2.5107347574547894	20.96675900277008	-1.1202749067340267	-0.6284676688285515	2.12	6.975	0.597	0.281	1.525	0.914	0.55	1	0
CCN(CC)C(=S)SC	0.049	1	0	2.1538998316118745		-0.4982850818176931	0.10540596638265898	2.32	3.677	0.346	0.286	0.061	-0.101	0.25	0	0
CCCCC/C=C\C=C/C(O)C/C=C\C/C=C/CCCC(=O)O	-1.618	0	1	-0.16428570026250422	-0.23872340425531915	-0.5994428039162686	-0.06754450399599281	2.28	6.368	0.513	0.096	-1.095	-1.56	0.11363636363636365	1	1
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	-0.072	2	1	-2.3854116025934404	-1.2467532467532467	-0.4239604821858429	0.07884727492162935	2.24	5.767	0.34	0.153	-2.235	-1.138	0.2222222222222222	1	1
COc1ccc2c(CN(C)C)cc(=O)oc2c1	-0.666	3	1	-2.4839975473735785	-0.11695075757575757	-0.43698396922519356	-0.02332758491179477	2.22	6.407	0.443	0.25	-1.503	-0.834	0.25	1	1
CCCCCCCCCCCCC/C=C/C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCCCC	-5.116	0	1	0.5769089457564651	0.2392253968253968	-0.4774972288412151	-0.051497506712990734	2.3	5.031	0.408	0.043	-2.388	-2.624	0.09649122807017543	1	1
NC(Cc1cnc[nH]1)C(=O)NCC(=O)O	-0.813	0	2	-0.061872561286557604	3.5308045565694512	-0.6573988049467544	-0.24730574135943797	2.33	7.449	0.456	0.218	-1.567	-0.44	0.2333333333333333	1	0
