SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC	observed	predicted
CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	0.04	0.02	0.66	-0.47	-0.63	0.31	-0.4	-0.64	1.25	1.61	-0.57	-0.31	-0.16	1.04	0.04	0	0
Oc1ccc2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)c2c(c(C3c4ccc(O)cc4OC(c4ccc(O)c(O)c4)C3O)c1O)OC(c1ccc(O)c(O)c1)C(O)C2	0.78	-0.88	-0.06	-0.47	-0.83	-1.09	-0.2	-0.74	-0.49	-0.83	1.76	-0.31	-0.16	-0.96	-2.77	0	0
CCCCOc1ccc2ccc(=O)oc2c1	-0.19	1.3	0.0	-0.47	0.56	-0.77	-0.03	0.13	-0.49	-0.83	-0.57	-0.31	-0.16	-0.65	-0.33	0	1
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)C(O)O	0.43	-0.15	-0.57	-0.1	-0.39	-1.06	-0.38	-0.43	1.25	0.39	-0.57	1.13	-0.16	-0.05	-0.24	1	1
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1	1.05	-1.11	0.43	-0.1	0.02	1.7	-0.13	0.92	-0.49	-0.83	-0.57	-0.31	-0.16	-0.96	0.84	1	1
CCOC(=O)C1(c2ccccc2)CCN(C)CC1	-0.72	-0.13	0.3	-0.1	-0.16	0.16	-0.5	-0.73	-0.49	-0.59	-0.57	-0.31	-0.16	-0.43	-0.17	1	1
Oc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@@H]1c1ccccc1	0.5	1.75	-1.74	-0.1	-0.35	-0.17	0.18	0.0	-0.49	0.88	-0.57	-0.31	6.14	-0.28	-0.16	1	1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC	-1.22	-0.06	-0.44	-0.47	-0.42	0.75	-0.46	-0.62	-0.49	-0.83	-0.57	-0.31	-0.16	0.16	-0.66	1	1
CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)C1C(O)C[C@]2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	-0.04	-0.01	-0.77	0.28	-0.83	-0.26	-0.43	-0.79	-0.49	-0.83	1.76	-0.31	-0.16	-0.39	-0.66	0	0
CN1CCC[C@@H]1C[C@@H]1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21	-0.59	-0.24	-0.08	-0.1	-0.52	-0.3	-0.21	0.81	-0.49	0.14	-0.57	-0.31	-0.16	0.6	1.19	1	1
CSCCC(N)C(=O)NC(C)C(=O)O	0.24	1.23	-1.1	2.14	0.29	0.08	0.02	0.33	0.38	-0.34	-0.57	-0.31	-0.16	-0.72	-0.66	0	0
CC(CC[C@@]1(O)OC2CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)C[C@@]5(C)C4CC[C@]3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O	0.21	-0.67	0.41	0.84	-1.09	-0.99	-0.47	-1.03	-0.49	-0.83	1.76	-0.31	-0.16	-0.35	-0.66	0	0
Cc1cccc(Nc2ccccc2C(=O)O)c1C	-0.19	0.24	-1.43	-0.28	0.3	0.19	0.02	0.03	-0.49	0.63	-0.57	-0.31	-0.16	-0.72	1.19	0	1
CNCCCC12CCC(c3ccccc31)c1ccccc12	-1.03	0.03	1.73	-0.47	-0.2	0.63	-0.5	-0.6	-0.49	-0.59	-0.57	-0.31	-0.16	1.71	2.22	0	1
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O	-0.19	0.07	-0.74	-0.28	-0.69	-1.21	-0.25	-0.54	0.38	1.85	-0.57	1.13	-0.16	-0.72	1.31	0	1
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCc3ccc(C(=O)O)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]23OO4	-0.23	0.74	-0.16	-0.1	0.33	5.05	0.35	0.72	-0.49	-0.83	1.76	-0.31	-0.16	-0.35	-0.14	0	0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	-0.89	-0.65	-0.79	0.46	-0.57	0.37	-0.47	-0.78	-0.49	-0.83	-0.57	-0.31	-0.16	-0.08	-0.66	1	0
C=C[C@]1(C)CCC(OC2OC(COC3OC[C@@](O)(CO)C3O)C(O)C(O)C2O)C(C)(C)O1	0.77	-0.71	0.92	1.02	-0.7	-0.62	-0.33	-0.72	-0.49	-0.83	1.76	-0.31	-0.16	-0.67	-0.66	0	0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1	-0.85	0.3	-0.51	-0.28	-0.38	0.26	-0.4	0.43	1.25	0.63	-0.57	-0.31	-0.16	-0.16	1.88	1	1
O=C1Nc2c(O)cc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1	2.38	3.12	-1.28	-0.66	0.27	3.28	1.87	1.07	1.25	-0.1	-0.57	-0.31	-0.16	-0.23	-1.4	1	1
COc1ccc2cc(C#N)c(=O)oc2c1	0.86	-0.05	0.41	-0.47	2.84	0.13	0.65	0.27	-0.49	-0.34	-0.57	-0.31	-0.16	-0.96	-0.39	1	0
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1	-0.22	3.51	-0.83	-2.15	-0.12	-0.38	-0.33	0.3	0.38	0.63	-0.57	-0.31	-0.16	-0.52	0.05	1	1
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	0.11	0.14	1.14	-0.47	-0.59	-0.9	-0.53	-0.78	0.38	3.55	-0.57	2.57	-0.16	1.45	1.55	0	0
CCC1(c2ccccc2)C(=O)NCNC1=O	-1.13	0.84	-1.09	-0.1	0.29	1.93	0.26	-0.14	1.25	0.63	-0.57	-0.31	-0.16	-0.49	-0.33	1	1
Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@H]3SC(=O)NC3=O)cc1)O2	-0.4	-0.02	-0.4	-0.47	-0.48	-0.41	-0.32	-0.22	1.25	-0.59	1.76	-0.31	-0.16	-0.72	2.37	1	1
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	-0.22	0.06	0.17	-0.47	-0.3	-0.23	-0.4	0.57	-0.49	1.61	-0.57	1.13	-0.16	0.32	1.05	1	1
COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O	0.2	1.11	-0.05	-0.47	-1.04	-0.73	-0.5	-0.94	0.38	3.07	1.76	4.01	-0.16	0.33	-0.81	0	0
CCCC(C)(COC(N)=O)COC(N)=O	0.07	0.73	-0.98	1.58	0.19	0.32	0.28	-0.05	2.99	-0.34	-0.57	-0.31	-0.16	-0.96	-0.66	1	1
