SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC
CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	7.633382211382113	0.2850229776636701	1.0415984929307887	2.22	0.182	0.153	0.914	0.074	2	10	0	0	0	45.57897573271712	1.565370921516755
Oc1ccc2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)c2c(c(C3c4ccc(O)cc4OC(c4ccc(O)c(O)c4)C3O)c1O)OC(c1ccc(O)c(O)c1)C(O)C2	7.976489906172838	-0.20662991279266382	0.818437188541784	2.22	0.142	0.05	1.495	0.06	0	0	1	0	0	0.0	-4.669811457174821
CCCCOc1ccc2ccc(=O)oc2c1	7.522604210526317	0.9863312368972744	0.8392000361818283	2.22	0.441	0.071	2.039	0.131	0	0	0	0	0	6.923737199690624	0.7456481481481483
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)C(O)O	7.814893062937063	0.19544406502641326	0.6607523453478021	2.24	0.231	0.07	1.007	0.091	2	5	0	1	0	20.60153424990708	0.9456827653901069
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1	8.103172086956521	-0.3309327846364884	0.9712247047371552	2.24	0.324	0.224	1.725	0.196	0	0	0	0	0	0.0	3.328731665760887
CCOC(=O)C1(c2ccccc2)CCN(C)CC1	7.27663829787234	0.2051101924653029	0.9305896832884323	2.24	0.284	0.131	0.487	0.06	0	1	0	0	0	11.947581713527669	1.0940277777777778
Oc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@@H]1c1ccccc1	7.847951794871795	1.2321317653994752	0.30050207701699155	2.24	0.257	0.116	3.837	0.15	0	7	0	0	1	15.37044016181271	1.118282686212432
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC	7.039707503267975	0.2433138015195689	0.7022092964430484	2.22	0.232	0.169	0.597	0.068	0	0	0	0	0	25.499127308978647	0.0
CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)C1C(O)C[C@]2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	7.593772326018807	0.27122769064359104	0.5991482521370387	2.26	0.139	0.103	0.727	0.052	0	0	1	0	0	12.999757306524504	0.0
CN1CCC[C@@H]1C[C@@H]1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21	7.334490731343284	0.14346223174506012	0.81397853416825	2.24	0.211	0.096	1.406	0.179	0	4	0	0	0	35.46347152291883	4.1082703994004515
