SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m	observed	predicted
CC(C)[C@]12CC[C@](C)(CC1)O2	-0.93	-0.92	-0.72	1.19	0.28	0.49	-0.6	2.05	-1.48	-0.7	-1.28	0.31	0.56	-0.14	0.94	-2.05	0.61	0.0	0.0
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1	1.66	0.74	2.85	0.06	0.54	1.1	-1.04	0.62	1.16	0.62	-0.07	0.82	-0.21	0.1	-0.26	-0.13	-0.99	1.0	1.0
C#CCN(C)Cc1ccccc1	0.13	0.47	0.14	1.21	1.17	2.94	-0.43	-0.45	0.38	-0.01	-0.5	-0.85	0.16	-1.18	0.46	-1.35	-0.35	0.0	1.0
CC[C@@H]1O[C@H]1C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	-0.93	-0.92	-0.71	0.1	-0.37	-0.81	-0.15	-0.37	0.07	-0.7	-0.66	0.97	-0.34	-1.2	-0.74	-0.74	1.06	0.0	0.0
CC(C)C(C)/C=C/C(C)C1CCC2C3=CC(O)[C@@]4(O)CC(OC5OC(CO)C(O)C(O)C5O)CC[C@]4(C)C3CC[C@]21C	-0.42	-0.92	-0.72	-0.43	1.28	-0.17	-0.15	-0.05	0.23	-0.7	-0.59	1.86	-0.89	0.28	0.72	-0.33	1.89	0.0	0.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)(F)C(=O)C(C)C(O)C1(C)O	0.72	-0.92	2.85	0.14	-2.64	0.54	2.51	0.52	1.32	-0.7	-0.09	0.48	-0.92	1.11	0.52	-0.02	0.17	0.0	0.0
Cc1cc(NC(=O)NC(=O)c2ccccc2N(C)C)ccc1Oc1ncc(Br)cn1	0.96	1.02	0.16	0.28	-0.01	-0.53	-1.04	0.53	0.54	1.4	0.75	0.19	-0.33	0.46	-0.57	0.1	-0.64	1.0	1.0
CN1[C@H]2CCC[C@@H]1C[C@H](NC(=O)c1nn(C)c3ccccc13)C2	-0.38	0.19	0.28	0.75	-0.06	0.96	-0.38	0.94	0.54	-0.41	-0.39	0.01	-0.06	0.33	-0.69	1.11	0.26	0.0	1.0
O=c1[nH]c2cc(Cl)ccc2o1	-0.93	-0.09	0.15	-0.67	-0.25	-1.39	-1.04	-0.68	-1.01	-0.39	0.61	-0.77	-0.43	-0.34	-1.08	0.78	-0.97	1.0	0.0
CC1CC[C@]2(OC1)OC1CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)C[C@]5(C)C4CC[C@]3(C)C1C2C	0.61	-0.92	-0.71	-0.91	1.24	0.06	1.62	-0.46	1.16	-0.7	-0.32	0.78	-0.95	-0.16	0.87	-0.19	1.37	0.0	0.0
