SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4
CCCCCCCCCCCC(=O)O	0	21	1	0.4622295425619526	-0.011448991512902424	0.8874395118872291	3.04	0	0.034	0.179	5.099	0.034188034188034205	0.022727272727272728	0	-3.606979879297459
CN1C(=O)OC(C)(C)C1=O	0	0	0	3.1052631578947367	-0.1947219186998496	1.3867924528301887	4.02	0	0.001	0.0	4.549	0.15277777777777785	0.1240079365079365	1	-8.105713553996416
COc1ccccc1CC(C)N	0	0	2	0.9506172839506176	0.012603013726504667	1.2645676691729322	3.18	1	0.003	0.197	2.061	0.0740740740740741	0.04464285714285714	0	-3.524389829086632
C/C(=C\CCC(C)C1CC[C@@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CCC(O)C(C)(C)C1CC3O)C(=O)O	1	38	3	1.0750603632291702	-0.06855913657888132	1.7609947715266054	4.12	4	0.3	0.485	16.788	0.14936247723132973	0.07555555555555557	0	-6.297210483153637
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12	0	1	1	2.348611111111111	-0.036289466147599744	1.24170799897425	3.29	1	0.134	0.572	5.56	0.07936507936507939	0.05851063829787234	0	-9.364470503293001
CCCCOc1ccc2ccc(=O)oc2c1	0	5	0	1.6177777777777775	-0.007273380973005281	0.9394936204146733	3.19	1	0.054	0.178	0.442	0.060606060606060635	0.02976190476190476	0	-6.999203323872929
CCCCCC(=O)/C=C/C1C(O)CC(=O)C1C/C=C\CCCC(=O)O	1	15	2	0.7173553719008263	-0.007061914971775501	1.140957446808511	3.18	1	0.304	0.275	8.019	0.07885304659498213	0.06296296296296296	0	-9.465116647021281
C=CC(O)CCCCCCCC(=O)O	0	10	2	0.3904791863269372	-0.07110071561091967	0.9516964285714288	3.04	0	0.079	0.183	7.298	0.0634920634920635	0.031249999999999997	0	-5.772438703520171
C=C(CCC(C)C1CCC2C3CC=C4CC(O)CC[C@@]4(C)C3CC[C@@]12C)C(C)(C)C	1	39	1	0.7766089560961353	-0.048528531246906474	1.5825928594300351	4.03	4	0.19	0.424	13.9	0.12997903563941302	0.060499058380414306	0	-2.9498354953045642
COc1ccccc1C(C)=O	0	0	0	1.5442176870748303	0.09137949718248801	1.7055084745762716	3.2	1	0.011	0.091	0.456	0.09523809523809526	0.062499999999999986	0	-5.268354328318956
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12	0	13	3	1.6087138070739642	-0.013189152663289638	1.2067268008212573	4.04	2	0.523	0.569	28.793	0.09563994374120961	0.06680253623188406	1	-13.262692850330438
COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1OC	0	3	0	1.455552060396351	-0.08824288597663243	1.3592750533049043	3.25	3	0.059	0.445	4.624	0.072562358276644	0.0482253086419753	0	-12.332111406286623
CC1=CCC(C(C)C)CC1=O	0	13	0	1.0823045267489713	-0.10939520326766611	1.356280012004802	3.14	1	0.014	0.086	2.839	0.11851851851851855	0.04910714285714285	0	-2.400918213823564
COc1ccc(CCN(C)CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1O	0	9	1	1.394927536231884	-0.016855518770710853	1.662531017369727	4.03	2	0.194	0.363	5.985	0.108641975308642	0.049528301886792456	0	-8.801366139646671
CC1(C)CC2C1CC[C@](C)(O)C1CC[C@@]21C	0	19	1	0.9102762317048029	0.008300552948970908	1.4279727523857362	4.04	3	0.017	0.23	8.553	0.13888888888888895	0.11041666666666669	0	-1.7960387359686145
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O	0	2	0	1.5109107133199935	-0.10346287351631586	1.4145298377387647	3.32	2	0.167	0.3	6.081	0.08408408408408412	0.07054093567251461	0	-4.456629453595458
CCc1occc(=O)c1O	0	3	1	1.7098765432098764	-0.25816217044757817	1.436170212765957	3.23	0	0.004	0.015	0.752	0.11965811965811972	0.062499999999999986	0	-6.862455890064368
CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	0	7	0	1.5750641025641026	0.13160137550571682	0.8171996071155735	4.02	0	0.221	0.299	3.972	0.05050505050505054	0.10294117647058823	0	-7.464053406908013
C/C(=C/CC/C(C)=C\CC/C(C)=C/CC/C(C)=C/CO)CC/C=C(/C)CC/C=C(\C)CCCC(C)CCCC(C)CCCC(C)C	6	71	1	0.41211589821113637	0.060220824140356274	1.2210687542545953	3.06	0	0.404	0.443	16.156	0.07547169811320757	0.04411764705882353	0	-5.376702091104874
C=C(CC)C(=O)COC	2	5	0	1.1777777777777778	-0.12266744267014486	1.7472527472527473	3.13	0	0.003	0.108	2.736	0.14814814814814822	0.05555555555555555	0	-3.735347788723089
CC1(C)C(=O)[C@@]2(O)CC3=CCC[C@@]4(C)C3=C(C(=O)OC4c3ccoc3)[C@]2(O)[C@@]2(C)OC(=O)C3O[C@]312	0	13	2	1.8020151860958578	-0.014225006534973553	1.4842843856001753	4.19	3	0.466	0.493	18.158	0.13536776212832552	0.08751493428912784	0	-14.393737146654795
