SMILES;y;AATSC1c;GATS1se;N-079;GATS7d;SIC3;SLogP_VSA2;AATSC0c;JGI7;AATSC3c;ATSC3c
CCOC(=O)C1(c2ccccc2)CCN(CCC(O)c2ccccc2)CC1;0.0;0.85;-0.14;-0.28;-0.38;-0.76;-0.28;-0.87;-1.07;-0.1;-0.29
N=C1N[C@@H](O)C[C@H]([C@@H]2NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H](N)CCCN)CNC2=O)N1;1.0;-1.55;0.75;-0.28;0.37;0.71;2.12;1.09;-0.3;0.42;0.67
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1;1.0;0.69;-0.41;-0.28;1.39;-0.03;-0.06;-0.67;-0.67;0.39;0.05
NC[C@@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@@H](O)[C@@H](O)[C@H]1O;0.0;-0.57;1.59;-0.28;1.05;-0.22;2.36;1.0;0.79;1.64;2.49
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO;1.0;0.45;-0.36;-0.28;-0.36;0.83;0.26;-0.28;0.86;0.62;0.72
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1;1.0;-0.22;-0.7;-0.28;0.14;0.33;-0.53;0.17;0.0;-0.1;-0.29
CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12;1.0;-0.57;0.45;-0.28;0.35;0.74;1.38;0.85;0.48;-0.28;-0.62
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C;1.0;1.16;-0.37;-0.28;-0.12;0.48;-0.59;-1.28;0.1;0.04;-0.09
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N;1.0;-0.56;-0.3;-0.28;0.3;0.93;-1.07;0.05;0.2;-0.28;-0.4
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;1.0;0.89;-1.36;-0.28;-0.42;0.25;-0.79;-1.1;1.24;0.05;-0.09
O=C(COCCOCCOCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I;0.0;-0.78;0.32;-0.28;0.43;-1.26;0.56;0.86;-0.59;0.56;0.33
O=CN(O)CCCP(=O)(O)O;0.0;-1.34;1.24;-0.28;-2.62;0.3;-0.36;1.12;-2.38;-0.91;-0.56
CCCN1C[C@H](NS(=O)(=O)N(CC)CC)C[C@@H]2Cc3c(O)cccc3C[C@@H]21;1.0;0.64;-0.93;-0.28;0.38;0.01;0.23;-0.99;0.24;-0.13;-0.34
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C;0.0;0.76;-0.19;1.87;0.98;-1.72;-0.26;-0.74;-0.52;0.26;0.13
CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12;0.0;-0.8;-0.35;-0.28;0.06;0.65;-0.69;1.01;0.93;0.98;0.59
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC;1.0;0.78;-0.91;-0.28;-0.58;0.29;-0.8;-0.95;0.62;0.01;-0.15
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@H]1c1ccccc1[N+](=O)[O-];1.0;0.35;-1.33;1.87;0.55;-0.47;-0.59;-0.12;-0.41;-0.43;-0.58
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1;1.0;0.98;0.53;-0.28;-0.11;-0.05;0.56;-0.85;-0.64;0.38;0.21
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O;0.0;-2.15;2.28;-0.28;-1.35;-0.42;-0.48;1.81;2.0;-0.63;-0.55
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1;0.0;-0.19;0.41;-0.28;0.9;0.84;0.92;0.86;0.58;-0.26;-0.53
CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1;0.0;-0.15;-0.24;-0.28;0.18;1.0;-0.56;-0.15;-0.37;-0.13;-0.31
COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC;1.0;0.74;0.04;-0.28;0.12;-0.87;0.67;-0.23;-0.42;0.83;0.86
CNCCCC1c2ccccc2C=Cc2ccccc21;1.0;1.41;1.48;-0.28;-0.1;-0.58;-1.04;-1.58;-0.88;-0.02;-0.22
CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1CC(C2CCCCC2)CC1C(=O)O)C(C)C;1.0;0.35;-0.36;-0.28;0.56;0.03;0.18;-0.62;-0.46;-0.31;-0.71
CC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1;0.0;0.13;1.19;-0.28;1.03;0.17;1.32;-0.02;1.06;1.08;1.62
CS(=O)(=O)OCCCCOS(C)(=O)=O;1.0;0.17;-1.64;-0.28;-2.24;-3.07;-0.27;-0.62;-0.27;-0.74;-0.56
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5;1.0;0.59;-0.32;-0.28;-1.42;0.81;-0.29;-0.23;2.19;0.83;0.65
