SMILES;y;SLogP;JGI8;Wap;PEOE_VSA6;GATS5d;VSA_EState3;GATS4d;MAXDP;PEOE_VSA1;ATS0d
CC(=O)CC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cccc(O)c2)C(=O)N2CCCC(N2)C(=O)O[C@H](/C(C)=C/C=C/C(=O)NC(C)C)C/C=C/C=C/[C@H](O)[C@H](C)[C@H]1O;1;-0.63;0.14;0.69;2.42;0.42;3.84;0.12;1.24;3.01;2.91
NC1CN(c2cc(-c3ccc(C(=O)O)cc3)ncn2)CC1c1cc(F)c(F)cc1F;0;-0.38;0.69;-0.2;-0.81;-0.82;-0.01;-0.89;0.55;0.14;-0.14
O=C(c1ccc(Cl)nc1)N1CCC(NS(=O)(=O)c2cc(S(=O)(=O)c3ccccc3)ccc2C(F)(F)F)CC1;0;0.33;0.38;-0.12;0.19;-0.31;-1.03;0.71;0.63;-1.1;0.71
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1;1;0.12;-0.57;0.84;-1.49;-0.51;-0.61;0.2;0.36;2.24;1.16
Cc1cccc(CNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)c1;1;-0.16;-0.36;-0.31;0.91;0.68;0.07;-0.66;0.35;0.73;0.27
CC(C)Oc1cc(NC(=N)c2ccccn2)ccc1-c1ccc(-c2ccc(NC(=N)c3ccccn3)cc2OC(C)C)o1;0;3.0;-0.29;0.57;-0.81;1.25;1.61;0.62;-1.22;1.15;1.26
NCc1ccc(C(=O)NC(c2ccc(Cl)cc2)c2nc3ccc(-c4cn[nH]c4)cc3c(=O)[nH]2)cc1;0;0.17;0.46;-0.12;0.87;-0.29;0.18;-0.91;0.5;0.18;0.39
CC(C)(C)CCN1C(=O)C(C2=NS(=O)(=O)c3c(OCc4ncon4)cccc32)=C(O)[C@@H]1C(C)(C)C;0;-0.05;0.05;-0.09;1.83;1.09;0.67;-1.2;0.83;0.55;0.69
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cccc(Cl)c2)cc1F;1;1.66;-0.23;-0.14;1.21;-0.04;-0.25;0.05;1.12;0.13;0.55
CC1=C2C[C@H]3[C@@H](CC[C@@H]4Cc5n[nH]c(C(F)(F)F)c5C[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C;0;2.0;1.83;3.88;0.31;-0.53;0.14;-0.19;0.28;-0.51;1.48
Cc1nc(C(=O)Nc2cccc(C(F)(F)F)n2)c(C)n1-c1ccc(F)cc1;0;0.42;1.0;-0.43;-1.15;-0.97;-0.79;1.86;0.09;-0.53;-0.51
C[C@@H]1CN(C(c2ccc(F)cc2)c2nnnn2Cc2ccccc2)CCN1C1CCC1;1;-0.15;-1.43;-0.31;1.26;-0.49;0.42;0.84;0.22;-1.66;0.18
CC1=C2CC(C)(C)/C=C/C(=O)/C(C)=C\C3=C[C@H](C)C[C@]3(O2)C1=O;1;0.25;-1.84;-0.43;0.36;2.41;-1.06;0.03;0.42;-1.11;-0.59
O=C1CCc2cc(C(=O)NC[C@H]3CC[C@@H](CCOc4ccccc4)CC3)ccc2N1;1;0.62;-0.41;-0.22;-0.47;-0.82;-0.37;-1.1;0.14;0.1;-0.05
O=C(CCCCCNC(=O)NC(=O)c1ccc2c(c1)nc(CCc1ccccc1)n2CCN1CCCC1)NO;1;-0.21;-0.59;-0.04;0.58;-0.6;0.51;-0.56;0.27;0.03;0.8
CCCC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccccc3)CC2)nc1C;0;-0.44;-0.6;-0.33;0.61;1.2;0.05;1.03;0.19;-1.1;0.16
CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1;0;0.68;-1.29;0.03;0.56;-0.52;-0.67;0.0;-1.85;-0.51;-0.34
CC1(n2nnc3cnc4[nH]ccc4c32)CCN(S(C)(=O)=O)CC1;0;-1.92;3.12;-0.36;-1.2;-0.17;0.05;-1.23;-0.3;-1.09;-0.62
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C(F)(F)F)O2;0;-1.21;2.19;-0.29;-0.76;0.29;-0.77;1.33;0.37;1.36;0.14
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)C(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O;0;1.88;0.28;1.57;0.8;0.46;1.39;-0.84;1.45;2.93;3.06
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](c2csc(-c3ccccc3)n2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1;0;0.39;0.81;0.17;1.73;1.48;-0.16;-0.74;1.36;0.66;2.31
CC(C)(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)C2CCCC21;1;-0.64;0.53;-0.02;0.04;0.18;0.55;-1.43;0.78;0.1;0.62
N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nccc1=O;0;-1.91;-0.54;-0.47;-0.47;0.48;0.01;0.12;0.01;-0.44;-0.89
CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCCC2N(CC)c1cccc2ccccc12;0;3.07;-0.61;0.33;2.37;1.68;-0.76;3.02;-1.72;-0.55;0.66
N#CC1(n2cc([C@@H](NC(=O)c3cocn3)C3CCCCC3)nn2)CC1;0;-1.01;-0.57;-0.49;-0.11;0.08;1.36;-1.48;0.08;-0.54;-0.55
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(Cc3ccccc3)c1=O)N2;0;-0.77;0.18;0.07;0.56;0.29;1.26;0.13;0.76;-0.46;0.68
c1ccc(CNCC2CCC3(CC2)OOC2(CCCCC2)OO3)cc1;0;0.37;-0.2;-0.37;0.58;1.43;-0.65;-1.44;-1.94;-1.05;-0.43
C=Cc1cc(C(NC(=O)OC(C)(C)C)C(=O)Nc2cccc(C(=O)NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1Oc1cc(OC)nc(-c2ccccc2)n1;0;3.06;0.3;1.39;1.62;-0.58;-0.46;-0.89;0.98;1.18;2.65
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(C)(c1ccc(F)c(F)c1)O2;1;0.08;1.25;-0.08;-0.42;0.59;-1.06;1.98;0.9;1.3;0.5
O=C(Nc1ccc(F)c(-c2nc3ncccc3o2)c1)c1ccoc1;1;0.11;-0.61;-0.4;-1.49;1.3;-0.75;-0.44;0.51;-0.04;-0.83
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)NCc3ccccc3)ccc12)C(=O)O;0;0.76;0.22;0.07;1.68;-0.38;0.89;-0.1;0.42;0.14;0.43
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(Cc3ccc(F)cc3)C1=O)N2;0;-0.54;1.05;0.96;-0.81;0.18;0.59;-0.25;1.0;0.1;1.07
O=C(NC1CC1)c1ccc2c(c1)CC(c1nc3ccc(-c4cn[nH]c4)cc3c(=O)[nH]1)CO2;0;-0.58;-0.57;0.37;-1.15;0.45;0.13;-0.36;0.32;0.06;0.28
Cc1c(Nc2ccc(I)cc2F)c2c(=O)n(C[C@H](O)CO)cnc2n(C)c1=O;0;-1.8;1.03;-0.38;-1.49;1.34;1.45;0.13;0.66;0.12;-0.37
CN(C)CCNC(=O)C1CCC2(CC1)OOC1(CCCCC1)OO2;0;-1.16;0.8;-0.45;-1.13;0.99;-0.71;-1.76;-0.07;-0.49;-0.55
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c1=O;1;-1.14;-0.17;-0.12;-0.37;1.26;1.26;-0.78;0.64;0.73;0.43
CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;0;-1.61;1.16;-0.48;-1.49;-0.05;-0.75;-1.11;0.28;0.71;-0.34
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N4C3)cc(OC(C)C)nc2c1C;0;0.63;0.04;3.44;-0.08;0.37;-0.4;-0.37;1.43;2.28;3.09
O=C(NCCC(c1ccccc1)c1ccccc1)c1ccncc1;1;0.23;-1.34;-0.51;1.93;-0.74;-0.71;1.5;-0.11;-1.05;-0.87
O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2c(-c3nnco3)ccc(F)c12;1;-0.87;-0.05;0.03;-0.47;-0.39;-0.2;0.74;0.84;0.54;0.2
CCCCCC(C)NCc1coc(-c2ccc(OCCCC)cc2)n1;0;1.35;-0.46;-0.48;0.74;0.26;-0.65;-1.06;-1.98;-0.0;-0.69
Cn1c(-c2ccncc2)c(C2CCCC2)c2ccc(C(=O)NC3(C(=O)Nc4ccc(/C=C/C(=O)O)cc4)CCC3)cc21;0;1.87;-0.43;0.33;0.26;2.34;0.79;0.94;0.79;0.66;1.37
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)C3(CCCC3)CN(Cc3ccc(F)cc3)C1=O)N2;1;-0.43;0.41;0.09;-0.08;-0.02;0.59;-0.34;0.82;0.1;0.85
CC(C)c1cnc2c(C(F)(F)F)cccc2c1-c1cccc(-c2cccc(S(C)(=O)=O)c2)c1;0;2.47;-0.21;-0.04;1.68;0.26;-1.01;-0.22;0.2;-1.66;0.3
CC(C)(C)Cc1nn(CCC2CC2)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O;1;-1.05;1.97;-0.17;0.4;0.91;1.06;-1.03;0.64;-0.46;0.68
CCN(CC)CCNc1cc(C)nc2c1ccc1c2ccc2c(NCCN(CC)CC)cc(C)nc21;0;1.7;0.48;0.42;1.44;-0.95;0.33;0.08;-2.11;0.68;0.73
CCOc1ccccc1CNc1ncc(C(=O)NCCCN2CCCC2=O)c(NC2CCCC2)n1;1;-0.1;-0.68;-0.26;0.26;1.03;0.07;-0.17;0.39;1.27;0.44
