SMILES;y;PJI2;PEOE_VSA6;F07[O-O];AATS0i;MSD;SMR_VSA7;BELs-1;ATSC6Z;MAXDP;F06[C-N];SaasC;SsssCH;SMR_VSA3;PW2;AATS7i
CC(=O)CC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cccc(O)c2)C(=O)N2CCCC(N2)C(=O)O[C@H](/C(C)=C/C=C/C(=O)NC(C)C)C/C=C/C=C/[C@H](O)[C@H](C)[C@H]1O;1;-4.18;2.42;1.89;0.33;-2.2;0.95;0.47;0.81;1.24;2.6;-0.83;-5.42;1.65;-3.04;-0.09
NC1CN(c2cc(-c3ccc(C(=O)O)cc3)ncn2)CC1c1cc(F)c(F)cc1F;0;0.97;-0.81;-0.46;1.35;0.16;0.93;0.55;-0.04;0.55;0.97;-1.59;-0.52;-0.44;0.24;1.46
Cc1cccc(CNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)c1;1;-0.52;0.91;-0.46;0.47;0.49;-0.41;0.67;0.05;0.35;1.79;0.72;0.29;0.86;-1.29;0.74
CC(C)Oc1cc(NC(=N)c2ccccn2)ccc1-c1ccc(-c2ccc(NC(=N)c3ccccn3)cc2OC(C)C)o1;0;0.97;-0.81;-0.46;-0.71;-0.42;2.32;0.8;-0.1;-1.22;0.76;1.93;0.0;-0.44;-1.51;-0.77
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cccc(Cl)c2)cc1F;1;0.97;1.21;-0.46;-1.11;-0.65;2.79;0.7;0.1;1.12;0.56;0.03;-0.48;0.24;-0.88;-0.17
CC1=C2CC(C)(C)/C=C/C(=O)/C(C)=C\C3=C[C@H](C)C[C@]3(O2)C1=O;1;-4.39;0.36;0.32;-1.02;-1.5;-0.43;0.5;-2.47;0.42;-1.69;-1.05;0.24;-1.71;2.36;0.24
O=C1CCc2cc(C(=O)NC[C@H]3CC[C@@H](CCOc4ccccc4)CC3)ccc2N1;1;0.97;-0.47;-0.46;-0.64;2.03;0.14;0.57;0.01;0.14;-1.28;0.54;0.84;-1.04;-0.92;-0.89
O=C(CCCCCNC(=O)NC(=O)c1ccc2c(c1)nc(CCc1ccccc1)n2CCN1CCCC1)NO;1;0.97;0.58;-0.46;0.33;0.64;0.4;0.87;0.79;0.27;1.58;0.15;0.09;2.19;-2.09;-0.53
CC1(n2nnc3cnc4[nH]ccc4c32)CCN(S(C)(=O)=O)CC1;0;0.97;-1.2;-0.46;0.88;-0.34;-1.68;-1.65;-0.47;-0.3;0.15;-1.05;0.09;2.02;2.69;1.43
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C(F)(F)F)O2;0;-0.94;-0.76;0.32;2.56;-1.17;-1.44;0.4;0.43;0.37;0.36;-0.34;0.09;0.24;0.3;2.49
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)C(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O;0;-0.25;0.8;-0.46;-0.15;-2.08;-0.7;-0.89;-3.55;1.45;1.38;0.2;-2.25;1.54;-1.25;-0.96
