feature;importance;normalized_importance;cumulative_importance
SLogP;31.400000000000002;0.0294918756457218;0.0294918756457218
Mor13m;17.6;0.01653047806893961;0.04602235371466141
PMI1;12.899999999999999;0.01211608903916596;0.05813844275382737
RDF060m;10.7;0.01004977928054851;0.06818822203437588
AATS7i;9.9;0.009298393913778529;0.07748661594815441
GATS2c;9.200000000000001;0.008640931717854796;0.0861275476660092
PEOE_VSA7;9.1;0.008547008547008546;0.09467455621301775
L2e;8.8;0.008265239034469804;0.10293979524748756
AATS2i;8.0;0.007513853667699821;0.11045364891518739
ATS0d;7.8999999999999995;0.007419930496853573;0.11787357941204096
ATSC5se;7.6;0.0071381609843148295;0.1250117403963558
SLogP_VSA5;6.800000000000001;0.0063867756175448485;0.13139851601390065
R8s;6.5;0.006105006105006105;0.13750352211890676
SaasC;6.199999999999999;0.005823236592467361;0.14332675871137412
RNCS;6.1000000000000005;0.0057293134216211145;0.14905607213299524
Mor08s;5.700000000000001;0.005353620738236124;0.15440969287123135
Mor29v;5.6000000000000005;0.005259697567389875;0.15966939043862122
ww;5.5;0.0051657743965436275;0.16483516483516483
Mor25m;5.300000000000001;0.004977928054851132;0.16981309289001598
ATSC7i;5.2;0.004884004884004884;0.17469709777402087
ATSC8s;5.2;0.004884004884004884;0.17958110265802577
R1s+;5.1000000000000005;0.004790081713158636;0.1843711843711844
AATSC1i;4.9;0.0046022353714661405;0.18897341974265056
H-046;4.8999999999999995;0.00460223537146614;0.1935756551141167
ATSC1v;4.800000000000001;0.0045083122006198935;0.1980839673147366
NPR2;4.8;0.004508312200619893;0.2025922795153565
H6s;4.799999999999999;0.004508312200619892;0.2071005917159764
MAXDN;4.7;0.004414389029773645;0.21151498074575004
Dm;4.699999999999999;0.004414389029773644;0.21592936977552368
AATS3i;4.6000000000000005;0.004320465858927398;0.22024983563445108
AATS5i;4.6;0.004320465858927397;0.22457030149337848
HATS2u;4.5;0.004226542688081149;0.22879684418145962
Mor32u;4.4;0.004132619517234902;0.23292946369869452
ATSC5s;4.4;0.004132619517234902;0.23706208321592942
TDB06v;4.4;0.004132619517234902;0.24119470273316432
Mor28m;4.3;0.0040386963463886535;0.24523339907955297
PNSA1;4.1000000000000005;0.0038508500046961587;0.24908424908424912
O-057;4.1;0.0038508500046961582;0.2529350990889453
GATS6Z;4.1;0.0038508500046961582;0.25678594909364144
HATS0u;4.0;0.0037569268338499104;0.26054287592749137
PEOE_VSA6;3.9999999999999996;0.0037569268338499104;0.2642998027613413
MATS2c;3.9999999999999996;0.0037569268338499104;0.2680567295951912
ATSC6dv;3.999999999999999;0.00375692683384991;0.27181365642904115
H4m;3.9000000000000004;0.003663003663003663;0.2754766600920448
R7v;3.9000000000000004;0.003663003663003663;0.27913966375504845
BELi0;3.8000000000000003;0.003569080492157415;0.2827087442472059
PEOE_VSA9;3.7;0.0034751573213111673;0.28618390156851703
InertialShapeFactor;3.7;0.0034751573213111673;0.2896590588898282
ATSC5dv;3.5;0.0032873109796186717;0.29294636986944683
JGI10;3.5;0.0032873109796186717;0.2962336808490655
GATS7Z;3.5;0.0032873109796186717;0.29952099182868414
JGI9;3.5;0.0032873109796186717;0.3028083028083028
PPSA3;3.4000000000000004;0.0031933878087724243;0.3060016906170752
D/Dr10;3.3000000000000003;0.0030994646379261764;0.30910115525500137
ATS0dv;3.2;0.0030055414670799286;0.3121066967220813
Mor16m;3.2;0.0030055414670799286;0.31511223818916123
