SMILES;y;ATS0d;SLogP;GATS2c;AATS7i;AATS2i;EState_VSA3;PEOE_VSA6;AATS4i;ATSC8se;AATS5i;PNSA3;AATS1i;AATSC1Z;RBF;GATS1i;PNSA1;SMR_VSA7;MAXDN;AATSC3s;AATS3i
COc1cc(-c2coc3cc(OCc4ccccc4)c(OC)c(O)c3c2=O)cc(OCc2ccccc2)c1OC;0;0.54;1.29;1.71;-1.16;-0.44;0.5;1.56;-1.1;-1.26;-0.71;-0.06;-0.79;0.16;0.46;-0.56;0.2;2.33;-0.32;0.72;-1.11
CC(=O)Oc1cc2c(c(C)c1OC(C)=O)CC=C1[C@]2(C)CC[C@]2(C)[C@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@@]12C;1;0.92;1.57;-0.94;-0.03;-0.45;0.13;0.59;-0.92;-1.9;-0.33;0.37;-0.72;0.1;-0.39;-0.22;-0.37;-0.09;-0.14;0.14;-1.1
COc1c(CC=C(C)C)c2c(c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)C=CC(C)(C)O2;1;0.16;0.99;-0.04;-0.81;-0.56;1.3;-0.12;-0.67;-0.7;-1.45;0.15;-0.71;-0.08;-0.4;-0.78;0.09;0.89;-0.11;-0.31;-1.15
C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(=O)C(C)(C)C(C(OC(C)=O)C(=O)OC)[C@@]21C;1;0.75;0.43;0.49;-0.55;-0.14;-0.19;0.36;-0.62;-0.86;-0.59;-0.3;-0.53;0.32;-0.18;0.29;-0.05;-0.02;0.15;-0.19;-0.82
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;1;-0.6;-0.37;-0.56;-0.85;-1.9;-1.07;-1.2;-0.47;-1.05;-0.73;-1.13;-0.1;-1.6;-0.96;-2.19;-0.16;0.12;0.07;0.04;-0.79
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@H]2O[C@H](C)[C@@H](O)[C@@H]([NH3+])[C@H]2O)C[C@@H]2O[C@](O)(C[C@H](O)C[C@H](O)[C@@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)[O-];0;2.15;-1.64;-0.46;-0.24;0.12;-1.07;3.3;0.73;2.31;0.43;-2.83;0.5;-0.61;-0.93;0.17;2.59;1.61;1.01;-0.59;1.03
O=C(Oc1cc(OC(=O)c2ccccc2)c2c(c1)O[C@H](c1ccc(OC(=O)c3ccccc3)c(OC(=O)c3ccccc3)c1)[C@@H](OC(=O)c1ccccc1)C2)c1ccccc1;0;1.8;2.47;0.41;-1.86;-1.62;-0.3;3.22;-0.77;-1.2;-1.37;-0.56;-1.43;0.1;0.52;-1.14;3.01;6.15;-0.04;0.56;-0.71
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@@H]1CN;0;-0.14;-0.76;0.2;0.78;1.3;0.67;-0.97;1.09;-0.49;0.43;0.03;1.36;-0.04;-0.04;0.12;-0.29;-0.1;0.48;0.45;1.37
CC1=C[C@H]2[C@H](CC1=O)C(C)=CC[C@@H]2C(C)C;0;-0.85;0.3;-0.32;0.11;-0.36;0.55;0.23;-0.16;0.02;0.34;1.16;-0.87;-0.08;-0.82;-0.25;-1.0;-0.46;-1.05;0.27;-0.51
CCOC(=O)O[C@@H](C)OC(=O)[C@@H]1N2C(=O)[C@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C;1;0.09;-0.64;-0.04;-0.39;0.71;-0.68;0.18;0.52;0.43;0.58;-0.42;0.57;0.32;1.2;0.61;0.84;-0.04;0.11;0.01;0.47
Cn1c(=O)c2[nH]cnc2n(C)c1=O;0;-1.15;-1.52;0.05;2.59;3.48;-0.3;-1.2;2.83;0.12;0.4;0.82;2.8;0.12;-1.27;3.54;-1.18;-0.33;-0.4;0.26;0.53
O=C([O-])[C@@H]1CCC[NH2+]C1;0;-1.43;-2.0;-1.44;2.02;1.17;-0.62;-1.2;2.78;0.12;2.96;-0.11;1.48;-0.5;-0.42;1.35;-1.17;-1.24;0.06;0.65;1.95
COC(=O)c1cc(OC)c(=O)c2c(OC)c(OC)ccc2c1;0;-0.64;-0.36;1.88;0.21;0.78;-0.3;-0.93;-1.48;0.62;-0.96;0.5;-0.37;0.23;0.39;0.31;-0.76;0.1;-0.22;0.96;-1.66
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O;1;0.61;1.27;-0.62;-1.0;-0.5;0.86;1.64;-0.12;0.74;-1.27;-0.47;-0.19;-0.35;0.98;-0.86;1.12;2.18;0.3;-0.75;0.39
COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]12C;1;0.26;0.22;-0.57;0.19;-0.25;1.4;-0.26;-0.14;1.12;0.38;0.32;-0.24;-0.08;-0.12;0.19;-0.71;-1.24;-0.59;0.1;-0.1
CC[C@@H](C)[C@H]([NH2+]C)C(=O)[O-];0;-1.39;-1.76;-1.06;2.59;1.83;-1.07;-0.57;1.42;0.12;2.32;0.0;1.52;-0.84;2.12;2.2;-1.06;-1.24;0.14;0.24;1.61
C[N+](C)(C)C[C@H](O)CC(=O)[O-];0;-1.31;-1.82;-0.1;2.62;2.94;-0.31;-1.2;2.89;0.12;1.3;-0.25;1.69;-0.53;1.78;4.28;-1.13;-1.24;0.36;-2.11;0.72
