SMILES;y;ATS0d;SLogP;GATS2c;AATS7i;AATS2i;EState_VSA3;PEOE_VSA6;AATS4i;ATSC8se;AATS5i;PNSA3;AATS1i;AATSC1Z;RBF;GATS1i;PNSA1;SMR_VSA7;MAXDN;AATSC3s;AATS3i
CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1;0;-0.55;0.65;3.37;-0.55;-0.77;-1.07;1.24;-1.5;0.13;-1.77;1.27;-1.3;0.79;-1.27;-0.99;-0.31;0.95;-0.7;0.26;-1.05
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@@H](C)CCC[C@@H](C)CCCC(C)C)O2;0;0.18;2.23;-0.38;-0.35;0.18;-0.67;2.1;0.37;0.19;0.26;1.18;-0.41;-0.17;1.59;0.44;-0.63;-0.49;-1.05;0.46;0.21
COc1cc(-c2coc3cc(OCc4ccccc4)c(OC)c(O)c3c2=O)cc(OCc2ccccc2)c1OC;0;0.54;1.29;1.71;-1.16;-0.44;0.5;1.56;-1.1;-1.26;-0.71;-0.06;-0.79;0.16;0.46;-0.56;0.2;2.33;-0.32;0.72;-1.11
C[C@]12CC(=O)[C@@H]3[C@H](CCC4=CC(=O)C=C[C@]43C)[C@H]1CC[C@]2(O)C(=O)CO;0;-0.07;-0.46;-0.45;-0.1;-0.93;-0.19;-0.04;-0.63;-0.61;0.3;-0.18;-0.75;-0.22;-0.75;-0.79;-0.05;-0.44;0.36;0.86;-0.69
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@@]4(C)[C@H]3C(=O)C[C@]21C;0;0.33;0.01;-0.14;-0.37;-0.25;0.22;-0.57;-0.37;-1.55;0.39;0.21;-0.47;0.06;0.04;0.23;-0.39;-1.24;0.37;0.1;-0.14
CC(=O)N[C@@H](CCC(=O)O)C(=O)O;0;-1.29;-1.34;-1.11;1.49;1.24;-1.07;-1.2;1.44;-0.88;1.05;-0.43;1.72;-1.29;2.55;1.44;-0.44;-1.24;0.38;-4.78;2.37
C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O;0;-0.79;-1.15;0.14;0.79;2.27;0.15;-1.2;1.51;0.44;0.83;-0.23;2.35;2.78;0.64;2.55;-0.25;-0.81;2.89;-0.81;2.04
CCCN(CCC)CCc1cccc2c1CC(=O)N2;0;-0.75;-0.05;0.66;-0.29;0.78;-0.63;-0.02;0.2;0.14;0.08;0.89;0.25;0.03;1.4;0.94;-0.61;-0.26;-0.85;0.15;1.08
CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O;0;-0.33;-0.36;-0.84;-0.86;-1.08;-1.07;-0.65;-1.97;-1.24;-1.82;-0.42;-1.0;-0.36;0.04;-1.11;0.11;0.71;0.49;-3.29;-0.88
CC(=O)Oc1cc2c(c(C)c1OC(C)=O)CC=C1[C@]2(C)CC[C@]2(C)[C@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@@]12C;1;0.92;1.57;-0.94;-0.03;-0.45;0.13;0.59;-0.92;-1.9;-0.33;0.37;-0.72;0.1;-0.39;-0.22;-0.37;-0.09;-0.14;0.14;-1.1
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1;0;-1.12;0.22;-0.53;0.99;-1.07;0.03;-0.15;-0.54;0.24;-0.68;0.76;-0.72;-0.82;-1.27;-1.08;-0.04;-0.1;-1.1;0.5;-0.28
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21;0;-0.41;0.5;1.63;-0.34;-0.17;-0.65;-0.34;-0.14;0.12;-0.68;1.24;-0.39;0.83;-0.05;-0.14;-0.77;-0.05;-1.25;0.34;-0.01
CNC(=N)NCCC[C@@H](N)C(=O)O;0;-1.25;-1.54;-0.88;1.27;2.45;0.26;-1.2;2.85;1.04;2.07;0.48;3.56;-1.19;3.18;2.52;-1.07;-1.24;0.16;0.87;2.78
CCN(CC)CCNC(=O)c1ccc(N)cc1;0;-0.95;-0.62;0.36;0.16;1.5;0.15;-0.57;0.55;-0.51;1.43;1.07;1.31;-0.31;1.87;1.23;-0.77;-0.24;-0.7;0.51;1.57
CC(C)c1ccc2c(c1O)CC[C@H]1C3=C(CC[C@]21C)C(=O)OC3;0;-0.3;0.39;-0.85;-0.24;-0.71;0.59;0.3;-0.91;0.63;-0.22;0.52;-0.9;0.1;-0.98;-0.76;-0.57;0.1;-0.64;0.45;-1.01
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O;0;-0.68;-0.41;-1.29;-0.65;-1.94;-0.68;-1.2;-0.95;1.16;-0.91;-0.31;-0.9;-1.07;-1.27;-2.28;-0.31;0.51;-0.16;-2.12;-1.65
COc1c(CC=C(C)C)c2c(c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)C=CC(C)(C)O2;1;0.16;0.99;-0.04;-0.81;-0.56;1.3;-0.12;-0.67;-0.7;-1.45;0.15;-0.71;-0.08;-0.4;-0.78;0.09;0.89;-0.11;-0.31;-1.15
C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(=O)C(C)(C)C(C(OC(C)=O)C(=O)OC)[C@@]21C;1;0.75;0.43;0.49;-0.55;-0.14;-0.19;0.36;-0.62;-0.86;-0.59;-0.3;-0.53;0.32;-0.18;0.29;-0.05;-0.02;0.15;-0.19;-0.82
CCc1cccc(CC)c1N(COC)C(=O)CCl;0;-0.9;0.01;1.26;0.88;1.18;-1.07;0.26;-0.49;0.23;-0.86;1.13;0.06;-0.05;1.7;1.29;-0.63;-0.26;-0.9;0.09;0.18
CC(=O)N[C@H](C(=O)O)C(C)(C)SN=O;0;-1.19;-0.84;-0.69;2.62;0.93;-0.25;-1.2;1.97;-0.32;1.47;0.5;1.47;0.55;2.25;0.87;-0.78;-1.07;0.28;-1.79;0.46
COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O;0;-0.26;-0.77;0.56;-0.54;0.58;-0.28;-0.93;0.09;0.44;0.05;-0.12;0.31;0.28;0.36;0.42;-0.01;-0.44;0.15;-0.45;-0.5
