SMILES;y;MAXDP;GATS1Z;VSA_EState1;N-079;IC2;EState_VSA8;H-052;SLogP_VSA2;H-047;AATSC5se;AATS4s;ATSC6i;F07[C-F];GATS1se;JGI4
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23;1.0;1.08;-0.5;0.49;-0.23;0.49;-0.67;-0.15;0.29;0.23;0.22;0.59;-0.96;1.32;-0.39;0.88
O=C1C(Cl)=C(Cl)C(=O)N1c1ccc(F)cc1;0.0;-0.16;-2.17;-0.09;-0.23;-1.45;-0.89;-0.79;-0.98;-1.23;-1.28;2.93;-0.4;1.32;-1.06;0.39
O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1;1.0;0.75;0.71;-0.4;2.56;-0.83;-0.89;0.9;-0.06;0.5;-0.3;-0.67;1.29;-0.23;0.15;-1.35
COC(=O)C12OCC34C(CC5C(C)=CC(O)C(=O)C5(C)C3C(O)C1O)OC(=O)C(OC(=O)CC(C)C)C24;1.0;0.88;0.05;0.48;-0.23;1.4;-0.89;-0.15;1.04;-0.3;-0.33;0.21;0.85;-0.23;0.1;1.46
Cc1c2cc[n+]([O-])cc2c(C)c2c1[nH]c1ccccc12;0.0;-0.3;-0.41;-0.77;2.56;-0.35;0.54;-0.79;-1.16;-1.1;-0.06;-0.46;-0.12;-0.23;-1.93;1.24
CCN(CC)C(=S)SSC(=S)N(CC)CC;1.0;-2.54;-1.49;-0.72;-0.23;-2.94;0.85;1.75;-0.12;-0.7;0.07;-1.56;-0.27;-0.23;0.86;-2.54
Nc1c(-c2cccc3ccccc23)c2ccc(N(O)O)cc2c(=O)n1-c1nc2ccccc2s1;0.0;0.96;-0.55;-0.69;-0.23;-0.48;-0.66;-0.79;-0.77;0.1;-0.31;0.4;-0.12;-0.23;-0.33;-0.22
CNCCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13;1.0;0.76;0.46;-0.72;-0.23;0.47;0.08;-0.79;0.56;0.76;1.23;0.38;-0.51;-0.23;1.13;-0.1
CC(=O)N/C=C/c1cc(O)ccc1O;0.0;-0.92;0.54;-0.82;-0.23;-0.82;-0.65;-0.79;-0.87;-1.23;1.7;0.31;0.31;-0.23;1.06;0.48
O=C1C=C/C(=C/C2SSC=CC23C=CC(=O)C3)C1;0.0;-0.3;-1.93;-0.82;-0.23;0.02;-0.08;0.06;-0.85;-0.83;0.0;-0.93;-0.58;-0.23;-2.11;-0.08
Cc1nc2c(O)c3c4c#cc(c3c(O)c2nc1C)CC4;0.0;-0.33;-0.32;-0.82;-0.23;-1.35;0.13;0.48;-0.76;-1.77;0.29;0.9;0.07;-0.23;1.0;1.7
