SMILES	SLogP	SLogP_VSA2	ATSC3c	ATSC2c	ATSC4c	SdssC	ATSC1dv	Jhetv	ATSC1p	SLogP_VSA3	observed	predicted
CC(=O)OC(C)(C)C	-0.1406718736298265	-0.24801686380253576	-1.4088264259082615	1.4433087188600027	0.7765837811478555	-0.3194112121647746	1.0413584104709015	0.8716202114176588	-1.21244478869184	0.8530642598262584	-2.18	-2.24725672877847
CCC(C)O	-0.5700178809763111	-0.26879197374951824	-0.19845602671852913	0.0920726771267865	0.017177094251175775	0.08126025185024129	-0.6178824045179548	-0.12123010376063123	-0.30036155753629223	-0.7868699715380856	-2.55	-2.6902186488632167
CC(C)Cc1ccc(C(C)C(=O)O)cc1	1.1569940897096196	-0.27656605574358556	-0.40162571210085196	0.83991863673146	0.25694508951382355	-1.2957119521811327	0.8663728739717438	0.5579190018847567	0.4419355254472949	1.1427993906313951	-1.44	-1.521647826086956
OCCNCCO	-2.2373065282857327	1.1921322120654012	1.1083097841855116	-0.9033697385988243	-0.7851855118833551	0.08126025185024129	-1.2281165552917022	-0.7734590296497879	-0.3929229797385213	-0.7868699715380856	-4.38	-4.175608695652172
N[C@@H](CC(=O)O)C(=O)O	-2.0023245859328216	0.7116495286430519	0.08028944005708828	1.9407947571078557	-2.261042251065172	-4.376023906802585	-0.5643502360535995	1.6473167565743823	0.5210647002822313	0.862987455067476	-3.87	-3.7556884057971036
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O	-2.2941715565888043	6.026436151946879	1.2932320178562389	-1.0512484836534821	1.5628125604396053	0.7812492097842667	1.6420768977074849	-2.3830965065081338	3.4052281763221988	2.483075295949385	-6.1	-5.521478260869572
CC(C)CO	-0.6772039462301198	-0.23975829634920393	0.1630499866547965	-0.1830243391526702	-0.2265803337011982	0.08126025185024129	-0.8002165600112359	-0.11010594328051705	-0.30036155753629223	-0.7868699715380856	-2.65	-2.7189500407804754
OCCCc1ccccc1	0.05752832422546213	-0.23975829634920393	-0.11072857037511258	-0.2458589883558514	0.0028060564078956837	0.08126025185024129	-0.6972806413191198	-0.0915285739751858	0.4552137175290652	0.31787067732861457	-1.28	-1.465531090407178
Cc1cccc(N)c1	0.031743493931423	-0.915981830297266	-0.3663329562613938	0.35775656732825406	0.2713209192205599	0.08126025185024129	-0.24120149034595353	1.0590292793476594	0.6162003770045504	-0.7868699715380856	-2.38	-2.255841666666664
ClC(Cl)Cl	0.33952169870723703	-0.66800232984322	-0.08724713615515699	0.013603947549630098	0.08079443994174548	0.08126025185024129	-0.9961244804134611	0.1765536877392419	0.02174113641285975	-0.7868699715380856	-1.8	-1.8358729498168203
CCCCCCO	0.018038721237216785	-0.23975829634920393	-0.00460540383390593	-0.21304899425395027	0.08656454051014449	0.08126025185024129	-0.8956174285793076	-0.0983586006473758	-0.2560375665635096	-0.7868699715380856	-1.89	-1.8656553226540427
Oc1ccc(Br)cc1	0.4661140831438408	-0.6211783366940742	-0.17902892040597973	0.3735807558562543	-0.34001628554994895	0.08126025185024129	-0.8439248102767762	1.072242580437335	0.6977214283425176	-0.7868699715380856	-1.44	-1.5175254279536883
O=CO	-1.37966756967245	-0.24753237834327121	-0.2512495534457293	0.6123639299238389	0.08079443994174548	0.08126025185024129	-1.0828345010258213	-1.4384767352399306	-0.3598084503010303	0.038058741764695245	-3.52	-3.409317632850239
CCOC(=O)C1(c2ccccc2)CCN(C)CC1	0.5100415653250507	1.2554599375829973	-0.11479941172952966	-0.44894446443079705	-0.06421179372090907	-0.03555406776155886	1.3218377312790432	-0.5488057277074382	-0.947350881055692	1.7847456607561114	-2.43	-2.663751449275365
CNC(=O)Oc1ccccc1OC(C)C	0.4941705058383466	0.19503882225321512	0.5117196128303884	1.7198497522249319	-2.0975410869044997	-0.8195382186255975	1.8150630102807237	-0.3189962601531677	-1.3321476643044525	-0.7868699715380856	-2.59	-2.5893297101449266
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO	0.851231735143492	1.0751733278326217	0.3169394002537464	-0.6452353267026844	0.5067371477360838	2.6186079948796137	1.3107608924468426	-1.4442758927127435	2.1278303988706857	0.862987455067476	-4.0	-3.8186666666666684
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1	-0.024083521950244963	-0.34752926554531705	0.674250493742992	-0.1989594206314344	-0.6328212333026898	0.08126025185024129	-0.2331573364271321	0.038128412420041884	0.9070331551332855	-0.7868699715380856	-2.71	-2.4588778985507243
CCCCC(=O)O	-0.20596135057039197	-0.27656605574358556	-0.5586881815630647	1.140470757078716	0.155646561108296	-1.1548731741408291	-0.0815802400352264	0.4723440244009437	-0.20877032412958008	0.038058741764695245	-2.7	-2.531322176736305
Cc1ccccc1	0.3460055154264499	-0.915981830297266	-0.19846939946652645	-0.07830287853027015	0.05128003506156663	0.08126025185024129	-0.40029697896263955	1.1598124409120478	0.03465283604036998	-0.7868699715380856	-1.3	-1.3516969384861255
COc1c2occc2cc2ccc(=O)oc12	0.7617971866615411	-0.5055281125520813	2.256522718456703	-1.7829304449671846	0.1496585061861058	0.08126025185024129	0.8253937329644155	-0.2062610290548232	-0.8824856524756886	-0.7868699715380856	-1.56	-1.6265710468275696
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1	1.7176712338512987	0.8461899527964858	-0.25380606291666574	-0.680695057384784	0.17510517251058555	0.08126025185024129	0.6298448563935678	-0.5168354593704515	-0.6836968513977725	-0.7868699715380856	-2.63	-2.5931420289855054
COC(=O)c1ccc(O)cc1	-0.26794122268908566	0.13388766200159913	0.6818141953512533	0.3042767200683489	-0.5237775902468293	-0.6292087358877266	0.03794476318787749	0.3806005051344831	-0.08216579781931918	0.028135546523477755	-2.04	-2.2523592132505157
CCC(C)=O	-0.41341339826864093	-0.582110946480227	-0.17822276646957086	0.10631366212765796	-0.037447592416201575	0.5356299533105698	-0.12823427949386818	0.6073820604719078	-0.5097462431019509	0.038058741764695245	-2.95	-2.8644695316760522
CC(C)OCCO	-0.8509581993783994	0.4940481069402223	0.2601963606220718	-0.5461657621008663	-0.2367030011852343	0.08126025185024129	-0.42041602936102096	-0.4844260035255384	-1.0277346522200592	0.028135546523477755	-3.36	-3.3419572463768166
Oc1ccc(Cl)cc1Cl	0.8755272432676872	-0.6211783366940742	0.24867579635225978	0.07920789181586374	-0.574974398278752	0.08126025185024129	-0.844054677908894	1.3206148740625139	0.7476754625702833	-0.7868699715380856	-1.14	-1.1858853240961937
Nc1cc([N+](=O)[O-])ccc1O	-0.4907378018341958	-0.33695205431809966	0.734742891219835	-0.024575962750797542	-2.6989015470902196	0.08126025185024129	-0.46375641543334034	0.44336002947072634	1.4258479151479386	-0.7868699715380856	-3.11	-2.955312451558108
ClCC1CO1	-0.6852523034105813	0.15728139441789415	0.025779358524839268	-0.4544259092589942	0.05952462854076931	0.08126025185024129	-0.5360346280520821	-1.0702950397232036	-0.5079269972490258	0.028135546523477755	-3.43	-3.356662939958596
CCC(=O)O	-0.7928144601214211	-0.27656605574358556	-0.3637221395614032	1.1962918986302415	-0.18113661477783455	-1.2488037833336283	-0.12729804367173572	0.2064674624593357	-0.24245098141126176	0.038058741764695245	-2.94	-2.9632571187266823
c1ccncc1	-0.3410534019358943	-0.6282531711887331	-0.13862578094576494	-0.2402717881320643	0.08742400163878693	0.08126025185024129	-0.7180004317160837	0.7257110190931306	-0.30203641770341083	-0.7868699715380856	-2.74	-2.6543719038208193
C1=CCC=C1	-0.02445961340727583	-0.915981830297266	-0.1910216323006231	-0.11244536925576473	0.1915682217978232	0.08126025185024129	-0.7884477190657604	0.3647037732388319	0.03465283604036843	-0.7868699715380856	-1.52	-1.8677121118012443
