SMILES;y;AATS0i;AATS1Z;AATS5Z;ATSC2s;ATSC2p;ATSC7se;AATSC0dv;AATSC1s;AATSC1Z;AATSC2p;AATSC5c;MATS5c;MATS5se;MATS6c;GATS2dv;GATS2i;nR_4_False_False_False_True;EEig03d;B01[C-I];SLogP_VSA12
CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O;-0.5606673061999999;0.22;-0.34;-0.19;0.02;-2.7;-3.71;0.37;-0.34;-0.11;-1.19;-0.85;-1.15;-0.73;0.84;0.23;1.44;-0.23;0.66;-0.17;-0.46
COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)COC21;1.8241258339;0.4;0.58;0.52;0.74;0.06;3.62;1.44;-0.17;-0.06;0.07;-0.57;-0.5;-0.77;-0.28;-0.56;-0.13;4.33;0.9;-0.17;0.33
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F;0.6989700043000001;3.7;0.11;0.2;6.79;-0.78;-2.09;2.93;-0.26;-0.06;-0.56;1.27;1.69;0.78;-1.13;-1.32;-1.82;-0.23;1.9;-0.17;-0.46
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1;-0.1758741661;0.24;-0.71;-0.38;-0.65;-1.26;0.37;-0.95;0.46;0.01;-0.91;0.09;0.29;0.36;-0.49;1.58;0.91;-0.23;-0.25;-0.17;-0.46
CN(c1ccc(O)cc1)C(O)C(Cl)Cl;1.3979400087;-0.04;0.37;0.03;-0.52;-0.16;-0.19;-0.37;-0.24;-0.31;0.13;0.8;1.14;0.26;-0.95;0.58;0.13;-0.23;-1.02;-0.17;1.1
O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1;-0.0793549986;-1.82;-0.03;0.14;-0.45;-0.83;2.7;-0.27;-0.06;-0.15;-0.71;-0.09;-0.09;-0.41;-1.03;-0.65;-0.21;-0.23;0.06;-0.17;-0.46
NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O;-2.0793549986;-2.65;3.92;3.26;0.1;0.77;0.5;0.47;-0.37;-0.61;1.17;1.21;1.44;1.11;-1.23;-0.52;-1.31;-0.23;0.59;5.76;5.64
Oc1c(Cl)cc(Cl)c2cccnc12;1.8241258339;-1.9;1.13;0.98;-0.63;-0.42;0.25;-0.44;0.05;-0.31;-0.34;0.13;0.26;0.11;-0.59;-0.57;0.22;-0.23;-0.34;-0.17;1.1
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1;-0.4775557665;0.49;-0.72;-0.4;-0.66;-0.75;-0.29;-0.61;0.34;-0.01;-0.51;-0.06;-0.07;0.23;0.33;1.8;0.62;-0.23;-0.42;-0.17;-0.46
CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1;1.0;0.13;-0.58;0.13;0.26;-0.16;-0.36;0.21;0.45;-0.02;-0.06;0.42;0.96;1.07;-0.03;-1.03;-0.25;-0.23;0.42;-0.17;-0.46
CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1;2.096910013;-0.48;-0.19;-0.42;-0.11;-0.18;0.16;-1.37;0.68;-0.07;-0.1;-0.02;-0.01;-0.15;-0.04;0.18;0.19;-0.23;0.02;5.76;1.06
