ID_all;SMILES;y;MW;MolecularWeight
3;C/N=C(\NCCCCc1ccccc1)NC(=O)c1ccc(C)cc1;1.0;323.19976242;323.4400000000001
4;CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(C(F)(F)F)cc4)CC3)n2)c1C;1.0;500.214758764;500.5250000000002
5;CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C;1.0;516.209673384;516.5240000000002
6;CC(=O)Nc1cccc(Nc2ncnc(N3CCC(Oc4ccc(C(F)(F)F)cc4)CC3)n2)c1C;1.0;486.1991087;486.49800000000016
7;CC(=O)Nc1cccc(Nc2ncnc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C;1.0;502.19402332;502.4970000000002
8;CC(=O)Nc1cccc(Nc2ncnc(N3CCc4ccccc4C3)n2)c1;1.0;360.16985926;360.42100000000005
9;CC(=O)OC[C@@H]1NC(=N)N2CCC(O)(O)[C@@]23NC(=N)N[C@@H]13;1.0;298.138953056;298.30299999999994
10;CC(C)(C)OC(=O)N1CC(N2C(=O)c3ccccc3C2C(=O)NCc2ccc(OC(F)(F)F)cc2)C1;1.0;505.182455592;505.4930000000002
11;CC(C)(C)OC(=O)N1CC=C(c2cc(C(F)(F)F)ccc2-c2cccc3c2CCN(S(=O)(=O)Nc2ncns2)C3)CC1;1.0;621.1691311000001;621.707
12;CC(C)(C)OC(=O)N1CC=C(c2cc(C(F)(F)F)ccc2N2CCOc3cc(S(=O)(=O)Nc4ncns4)ccc32)CC1;1.0;623.148395656;623.6790000000001
13;CC(C)(C)OC(=O)N1CCC(N2C(=O)c3ccccc3C2C(=O)NCc2ccc(OC(F)(F)F)cc2)CC1;1.0;533.21375572;533.547
14;CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)NCC1CCc2nc(N)sc2C1;0.0;380.188211756;380.5140000000001
15;CC(C)(C)OC(=O)N1CCN(c2cccc3c2cnn3-c2ccccc2F)C1=O;1.0;396.159768752;396.4220000000001
16;CC(C)(C)OC(=O)n1cc(-c2ccc(NC(=O)[C@H]3CCCN3)cc2)nc1N;0.0;371.19573966000013;371.44100000000014
17;CC(C)(C)[C@@H]1OCCC[C@@H]1CNc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl;1.0;461.1009895600001;462.01200000000006
18;CC(C)(C)[C@H]1OCCC[C@@H]1CNc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl;1.0;461.1009895600001;462.01200000000006
19;CC(C)(C)c1ccc(-c2ccc(C(=O)N3CCN(C4CCCCC4)CC3)o2)cc1;1.0;394.26202832799993;394.5590000000003
20;CC(C)(C)c1ccc(-c2ccc3nnc(C(F)(F)F)n3c2)cc1;1.0;319.129632172;319.33
21;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;1.0;471.31372955200004;471.6850000000001
22;CC(C)(C)c1ccc(CSc2nc(N)cc(O)n2)cc1;1.0;289.124883228;289.404
23;CC(C)(Cc1ccccn1)N1C(=O)c2ccccc2C1C(=O)NCc1ccc(OC(F)(F)F)cc1;0.0;483.17697628799993;483.4900000000001
24;CC(C)(N)c1nc(-c2ccc(OC(F)(F)F)cc2)c[nH]1;0.0;285.108896728;285.26899999999995
25;CC(C)(O)CC(=O)N1CC[C@H]2CN(c3cccc4c3cnn4-c3ccccc3F)C(=O)[C@H]21;0.0;436.19106888000005;436.48700000000014
26;CC(C)(O)[C@@H]1CCN(c2cnc(C(F)(F)F)c(NC(=O)c3cccc(-c4cnn(CC(F)(F)F)c4)n3)c2)C1;0.0;542.1864933280001;542.484
27;CC(C)(c1cc(Cl)cc(Cl)c1)N1CCC(COc2cc(F)c(C(=O)NS(C)(=O)=O)cc2C2CC2)CC1;1.0;556.1365620519999;557.515
28;CC(C)CC(=O)CN1CCN(c2cccc3c2cnn3-c2ccccc2F)C1=O;0.0;394.180504196;394.4500000000001
29;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1;0.0;547.2352215239999;547.6740000000003
30;CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1;1.0;366.267113708;366.5490000000002
31;CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1;1.0;445.147155468;445.51600000000013
32;CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cn1;0.0;419.131505404;419.47800000000007
33;CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1;0.0;400.14567824799997;400.50000000000006
34;CC(C)COc1ccc(-c2nn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1;0.0;446.142404436;446.50400000000013
35;CC(C)COc1ncc(-c2c(F)cc(C(=O)NS(C)(=O)=O)cc2F)cc1Cl;1.0;418.056562144;418.84900000000005
36;CC(C)COc1ncc(-c2cc(F)c(-c3nnc(S(=O)(=O)C4CCC4)[nH]3)cc2F)cc1Cl;1.0;482.09909565199996;482.94000000000017
37;CC(C)COc1ncc(-c2cc(F)c(-c3nnc(S(=O)(=O)CC4CC4)[nH]3)cc2F)cc1Cl;1.0;482.09909565199996;482.94000000000017
38;CC(C)COc1ncc(-c2cc(F)c(-c3nnc(S(=O)(=O)NC4CC4)[nH]3)cc2F)cc1Cl;1.0;483.09434461999996;483.9280000000001
39;CC(C)COc1ncc(-c2ccc(-c3nnc(S(=O)(=O)C4CCC4)[nH]3)cc2F)cc1Cl;0.0;464.108517464;464.95000000000016
40;CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)c(F)c2)cc1Cl;0.0;400.06598395599997;400.85900000000015
41;CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2)cc1Cl;0.0;382.075405768;382.86900000000014
42;CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2C#N)cc1Cl;0.0;407.070654736;407.87900000000013
43;CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2C(F)(F)F)cc1Cl;1.0;450.06279039599997;450.8660000000001
44;CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2Cl)cc1Cl;1.0;416.03643341599997;417.3140000000002
45;CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2F)cc1Cl;0.0;400.06598395599997;400.85900000000015
46;CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2OC(F)(F)F)cc1Cl;1.0;466.05770501599994;466.8650000000001
47;CC(C)COc1ncc(-c2cn(C(C)C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl;1.0;463.13325499199993;463.9870000000001
48;CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C(C)C)ccc23)cc1Cl;0.0;463.13325499199993;463.9870000000001
49;CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cc1Cl;1.0;479.10818311599996;479.9610000000001
50;CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)ccc23)cc1Cl;0.0;461.11760492799993;461.9710000000001
51;CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)N(C)C)ccc23)cc1Cl;1.0;464.12850396;464.97500000000014
52;CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cc1Cl;1.0;453.09253305199996;453.9230000000001
53;CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1C#N;0.0;426.13617618399996;426.4980000000001
54;CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl;0.0;435.10195486399994;435.9330000000001
55;CC(C)COc1ncc(-c2cn(CC(C)C)c3cc(C(=O)NS(=O)(=O)C4CC4)ccc23)cc1Cl;0.0;503.16455511999993;504.05200000000025
56;CC(C)COc1ncc(-c2cn(CC(C)C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl;0.0;477.14890505599993;478.0140000000001
57;CC(C)COc1ncc(-c2nn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)ccc23)cc1Cl;1.0;462.11285389599993;462.9590000000002
58;CC(C)COc1ncc(-c2nn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl;1.0;436.09720383199993;436.92100000000005
59;CC(C)COc1ncc(Oc2nccc3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl;1.0;449.08121941999997;449.91600000000017
60;CC(C)C[C@@H](N)Cc1nc(-c2ccc(Cl)cc2)c[nH]1;0.0;277.13457532;277.799
61;CC(C)C[C@@H](N)Cc1nc(-c2ccc(Cl)cc2)no1;1.0;279.113839876;279.771
63;CC(C)C[C@H](N)Cc1nc(-c2ccc(Cl)cc2)c[nH]1;0.0;277.13457532;277.799
64;CC(C)C[C@H](N)Cc1nc(-c2ccc(Cl)cc2)no1;1.0;279.113839876;279.771
