SMILES	X0A	ATSC8p	F06[O-Cl]	nR_5_False_False_False_True	PEOE_VSA2	C-025	B06[N-F]	F06[N-F]	B06[N-Cl]	B06[N-Br]	B06[O-O]	F06[O-O]	B06[O-S]	B06[O-F]	B06[O-Cl]
CCOc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1C1CCN(C)CC1	0.7133655677152242	-3.0859631495782094	0	0	9.77851570501903	3	0	0	0	0	0	0	0	0	0
Cn1cc(C(=O)N2CCOc3ccc(-c4ccc(OC(F)(F)F)cc4)cc3C2)cn1	0.7100918046834948	-2.068919548623937	0	0	9.476340119217006	4	0	0	0	0	0	0	0	0	0
COCc1nc2cnc3cc(-c4c(C)noc4C)c(OC[C@H]4CCNC4)cc3c2n1[C@H](C)c1ccccc1	0.6901326155890976	-3.9427542413865733	0	1	4.9839785209472085	4	0	0	0	0	0	0	0	0	0
C[C@]12CCC(=O)C[C@H]1C[C@@H](N1CCC[C@@H](N)C1)[C@@H]2Oc1ccc(C#N)cc1	0.7043813737084693	-1.6465718180296207	0	0	9.694446914922299	1	0	0	0	0	1	1	0	0	0
O=C(O)CNC(=O)c1c(O)c2c(n(Cc3ccc(C(F)(F)F)cc3)c1=O)COC2	0.736019672543508	-2.5055481609769084	0	1	14.383611552215466	4	0	0	0	0	1	1	0	0	0
COc1cc(-c2cc(F)cc(F)c2)c(F)cc1-c1nccc2cc(S(=O)(=O)Nc3nncs3)ccc12	0.7069171808457448	1.1566643752203074	0	0	9.706073385399296	5	0	0	0	0	0	0	0	0	0
N#Cc1cc(F)ccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21	0.7044787096898293	3.5782613367696436	0	0	4.722094864452088	1	0	0	0	0	0	0	0	0	0
N#Cc1ccc(Cn2ccc(NC(=O)Cc3ccc(C4(C(F)(F)F)CC4)cc3)n2)nc1	0.7116860375644737	1.7559914378588792	0	0	14.460318640164214	3	0	0	0	0	0	0	0	0	0
CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)c4cccc(OC)c4)ccc3C[C@H]2O)cc1	0.7147639754812428	1.4666347694201063	0	0	4.794537184071822	4	0	0	0	0	0	0	0	0	0
COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc4c(c3)N(C)CCO4)CC1)c1cccn1-2	0.6842053037104162	-3.271504496103539	0	0	4.794537184071822	1	0	0	0	0	1	1	0	0	0
Cn1nccc1-c1cc(Cl)ccc1-c1cn(C)c2cc(S(=O)(=O)Nc3ncns3)ccc12	0.7017954587151278	6.003917831098985	0	0	9.403897799597273	4	0	0	1	0	0	0	0	0	0
COc1cc(C(F)(F)F)ccc1-c1nccc2cc(S(=O)(=O)Nc3cscn3)ccc12	0.7169485119779102	-2.8500648489540197	0	0	9.706073385399296	4	0	0	0	0	0	0	0	0	0
Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cnn(C)c3S(N)(=O)=O)cc2)n[nH]1	0.7197075120514409	-1.1207759636971741	0	0	19.369559111589865	2	0	0	0	0	1	2	0	0	0
Cc1ccc(O)c(C)c1OCC(C)N	0.7653698907638801	4.069793605515168	0	0	0.0	2	0	0	0	0	0	0	0	0	0
Cc1ccc(N2CCN(CC(O)COc3ccccc3C(=O)CCc3ccccc3)CC2)cc1	0.6986029884944314	-1.5099158354442275	0	0	9.694446914922299	3	0	0	0	0	0	0	0	0	0
Cc1ncc(-c2ccccc2CCNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1	0.7183669014737174	-1.9903385835176377	0	0	9.77851570501903	4	1	3	0	0	0	0	0	0	0
Cc1ccc(N2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)cc1Cl	0.7043813737084695	-1.0382159470465504	0	0	4.722094864452088	1	0	0	0	0	0	0	0	0	0
COc1nc(-c2cccc(F)c2)c(Cl)cc1-c1nccc2cc(S(=O)(=O)Nc3nncs3)ccc12	0.7022507149269639	-2.592789680196609	0	0	9.706073385399296	4	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1ncns1)N1CCc2c(cccc2-c2ccc(C(F)(F)F)cc2C2=CCNC2)C1	0.7036492495313084	2.294818453824277	0	1	0.0	6	0	0	0	0	0	0	0	0	0
O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1CC1CC(F)(F)C1	0.7217389799786968	-0.062042798670638666	0	1	9.589074368143644	3	0	0	0	0	0	0	0	0	0
N#Cc1cc(-c2ccccc2F)ccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21	0.6973097510129606	1.711378788053889	0	0	4.722094864452088	3	0	0	0	0	0	0	0	0	0
COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCOCC1	0.7083449299232516	0.7449818558113839	0	0	4.794537184071822	2	1	1	0	0	1	1	0	0	0
CCN=C1N[C@@H]2[C@@H](O)[C@H](O)[C@@H](C)O[C@@H]2S1	0.733309034738033	-1.4192847192895814	0	1	4.992404732635669	0	0	0	0	0	0	0	0	0	0
