feature;importance;normalized_importance;cumulative_importance
GATS4se;183.50000000000003;0.008886628892440315;0.008886628892440315
MAXDP;169.89999999999998;0.008228001355997869;0.017114630248438185
ATSC2dv;144.9;0.007017288972831616;0.024131919221269803
GATS4s;141.20000000000002;0.0068381035401230104;0.030970022761392813
GATS5Z;135.20000000000002;0.0065475325681631094;0.037517555329555925
ATSC5dv;133.1;0.006445832727977142;0.04396338805753307
AATS6s;118.10000000000001;0.00571940529807739;0.04968279335561046
JGI7;117.50000000000001;0.0056903482008814005;0.05537314155649186
ATSC5d;114.2;0.005530534166303454;0.060903675722795314
AATSC1v;111.69999999999999;0.0054094629279868274;0.06631313865078214
B04[N-Cl];109.10000000000001;0.005283548840137538;0.07159668749091969
GATS5c;108.4;0.005249648893408883;0.07684633638432857
ATSC1dv;107.60000000000002;0.005210906097147564;0.08205724248147614
ATSC3p;105.3;0.005099520557896267;0.0871567630393724
ATSC8c;104.89999999999999;0.005080149159765607;0.09223691219913802
ATSC6Z;102.8;0.004978449319579642;0.09721536151871765
EEig03d;101.7;0.004925177974720326;0.10214053949343797
ATSC3c;98.10000000000001;0.004750835391544386;0.10689137488498236
VSA_EState8;97.90000000000002;0.004741149692479057;0.11163252457746142
EState_VSA3;97.3;0.004712092595283065;0.11634461717274448
JhetZ;96.9;0.004692721197152406;0.12103733836989689
ZMIC1;91.0;0.004406993074725169;0.12544433144462205
GATS3c;89.2;0.004319821783137199;0.12976415322775925
GATS1se;88.9;0.004305293234539204;0.13406944646229846
PEOE_VSA8;88.2;0.004271393287810549;0.138340839750109
SLogP;87.29999999999998;0.004227807642016562;0.14256864739212555
ATSC6v;87.19999999999999;0.004222964792483898;0.14679161218460945
EEig04d;86.1;0.004169693447624583;0.15096130563223403
GATS5i;85.9;0.004160007748559253;0.1551213133807933
GATS1s;85.8;0.004155164899026588;0.1592764782798199
X0vA;85.39999999999999;0.004135793500895928;0.16341227178071582
VSA_EState7;83.9;0.004063150757905953;0.16747542253862177
MAXssCH2;83.6;0.004048622209307957;0.17152404474792973
MINssCH2;81.39999999999999;0.003942079519589327;0.17546612426751906
SLogP_VSA5;81.2;0.003932393820523997;0.17939851808804305
GATS4c;80.89999999999999;0.003917865271926001;0.18331638335996905
ATSC3dv;80.6;0.0039033367233280067;0.18721972008329707
SIC1;79.80000000000001;0.0038645939270666872;0.19108431401036377
AATSC2d;79.60000000000001;0.003854908228001357;0.19493922223836513
PEOE_VSA7;79.39999999999999;0.003845222528936026;0.19878444476730114
ATSC8p;78.60000000000001;0.0038064797326747067;0.20259092449997584
ATS0d;78.2;0.0037871083345440465;0.2063780328345199
GATS2d;78.0;0.0037774226354787164;0.21015545546999861
GATS6c;75.9;0.003675722795292751;0.21383117826529136
ATSC6dv;74.4;0.0036030800523027757;0.21743425831759414
AATS1i;74.2;0.0035933943532374456;0.22102765267083158
EState_VSA5;73.7;0.0035691801055741205;0.22459683277640569
SIC0;73.60000000000001;0.0035643372560414557;0.22816117003244715
ATSC7c;73.4;0.0035546515569761256;0.23171582158942328
GATS8c;72.80000000000001;0.003525594459780136;0.2352414160492034
GATS7c;72.3;0.00350138021211681;0.23874279626132022
PEOE_VSA1;72.10000000000001;0.0034916945130514807;0.2422344907743717
ATSC8d;72.00000000000001;0.003486851663518816;0.2457213424378905
EEig01d;71.3;0.00345295171679016;0.24917429415468068
AATSC3p;71.0;0.003438423168192165;0.2526127173228728
AATSC0c;70.2;0.003399680371930845;0.25601239769480366
SssCH2;69.60000000000001;0.003370623274734855;0.2593830209695385
GATS7s;69.5;0.0033657804252021895;0.2627488013947407
VSA_EState4;69.3;0.0033560947261368594;0.26610489612087757
GATS5se;69.10000000000001;0.0033464090270715298;0.26945130514794907
ATSC7v;69.10000000000001;0.0033464090270715298;0.2727977141750206
SMR_VSA5;69.0;0.0033415661775388645;0.27613928035255947
ATSC3i;68.9;0.0033367233280061997;0.2794760036805657
ATSC8dv;68.80000000000001;0.003331880478473535;0.28280788415903924
ATSC5c;68.4;0.0033125090803428747;0.2861203932393821
SaaaC;67.9;0.0032882948326795496;0.28940868807206166
GATS3p;67.7;0.003278609133614219;0.2926872972056759
GATS6Z;67.7;0.003278609133614219;0.2959659063392901
MATS4s;67.0;0.003244709186885564;0.29921061552617567
ATSC6c;66.80000000000001;0.0032350234878202344;0.3024456390139959
GATS8Z;66.39999999999999;0.0032156520896895733;0.30566129110368545
ATSC5s;66.2;0.003205966390624244;0.3088672574943097
AATSC1c;65.8;0.0031865949924935835;0.3120538524868033
EEig02d;65.6;0.0031769092934282534;0.3152307617802315
