SMILES	SLogP	GATS6s	PEOE_VSA6	GATS3se	VSA_EState5	EState_VSA3	ATSC3dv	ATSC8p	JGI10	JGI8	GATS1d	VSA_EState3	GATS4p	MCBO	AATSC0v	GATS8d	ATSC6se	GATS3d	GATS6Z	MINssCH2	observed	predicted
CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CN)c2)c(F)c1	0.82	-0.33	0.62	-1.36	-1.22	-0.69	-0.01	-0.36	0.4	0.58	1.02	-0.43	0.14	0.62	-1.52	0.93	1.44	-1.18	-0.7	-0.51	0	0
CCN1c2ncc(CCOc3ccc(C(=O)O)cc3Br)cc2C(=O)N(C)c2cccnc21	0.46	-0.75	-1.47	-0.18	0.41	1.61	-0.08	0.33	0.14	-0.52	-1.48	-0.08	-0.51	0.26	0.21	-2.06	0.25	0.32	-0.19	-0.0	0	0
COc1cccc(CNC(=O)c2cn(CCN(C)C)c3cc(-c4cn[nH]c4)ccc23)c1	-0.1	2.16	-0.08	-0.31	0.41	-0.65	-0.16	-0.56	0.25	-0.9	-1.28	0.11	0.8	0.57	0.22	1.29	-0.5	0.03	0.67	0.21	1	1
Clc1cccc(OC(c2cccnc2)C2CCNCC2)c1Cl	0.6	-0.19	0.55	-0.12	0.64	-0.03	0.41	-1.18	-2.42	-0.4	0.11	-0.58	-1.03	-0.5	1.79	-1.43	-0.15	-0.51	-0.73	1.48	0	0
Cn1c(-c2cnco2)c(C2CCCCC2)c2ccc(C(=O)NC(C)(C)C(=O)Nc3ccc(/C=C/C(=O)O)cc3)cc21	1.76	-0.58	0.68	-1.17	-0.42	0.41	-0.05	1.75	1.02	-0.07	-0.21	0.6	-0.29	0.4	0.19	0.71	-1.39	-0.34	1.21	1.72	1	1
CC1(n2cnc3cnc4[nH]ccc4c32)CCN(S(C)(=O)=O)CC1	-1.42	-1.76	-1.47	1.43	-0.01	-0.59	-0.97	1.81	1.32	3.33	0.42	-0.93	0.82	1.12	-0.04	-1.74	0.77	1.0	0.31	0.43	0	0
Cn1c(CCc2ccccc2)nc2cc(/C=C/C(=O)NO)ccc21	-0.57	-0.83	0.62	-1.27	0.28	-1.44	-0.98	0.01	-1.64	0.39	-0.91	-0.14	1.17	0.9	0.27	0.0	-0.02	0.58	-0.72	1.17	0	0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3ccc(Cl)s3)nn(CCC3CC3)c1=O)N2	-0.43	0.38	-0.07	0.43	-0.25	-0.03	1.2	0.05	1.13	0.03	1.18	0.88	-0.56	1.04	-0.33	-0.21	1.07	-1.89	-0.58	-0.11	0	0
COc1ccc(-n2c(NCc3nc(-c4ccc(C)cc4)no3)nnc2-c2ccncc2)cc1	0.46	-0.21	0.53	0.33	1.82	0.51	-0.63	0.16	-0.27	-1.09	-1.78	0.66	0.36	1.37	-1.02	0.29	0.25	-0.05	0.1	-0.1	1	1
[2H][C@H](CC(C)C)[C@@H]([2H])[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	1.35	-0.14	0.85	0.63	1.3	0.51	-0.97	1.44	1.16	1.62	2.09	2.46	1.26	-3.28	0.34	0.29	0.04	2.59	-0.69	0.69	1	1
CC(C)CCn1nc(-c2cncs2)c(O)c(C2=Nc3ccc(OCC(N)=O)cc3S(=O)(=O)N2)c1=O	-1.66	0.18	-0.68	0.16	-0.75	-0.71	1.81	-0.93	0.02	-0.19	0.09	0.57	-1.29	0.6	-0.91	1.48	0.03	-1.88	0.95	-1.71	0	0
CC(C)[C@]1(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)CC2CCCC2)CC[C@@H](NC2CCOCC2F)C1	-0.27	-0.89	0.06	-0.35	0.85	1.44	-0.54	1.48	-0.1	0.03	1.15	-0.67	-0.03	-2.38	-0.11	-0.16	-0.61	1.29	0.37	-0.38	0	0
Cc1cc(F)ccc1C1CCN(CCC(=O)N2c3ccccc3C[C@H]2C(=O)N(C)C)CC1	0.06	0.04	-0.08	-0.08	0.12	0.2	-1.05	-1.09	0.06	-0.51	-0.43	-1.04	0.72	-0.71	0.64	-0.74	-0.42	1.19	-0.12	0.12	0	1
COc1ccccc1CC(c1ccccc1)N1CCNCC1	-0.56	-0.85	1.31	0.44	0.59	-1.05	-0.38	-1.08	-2.42	-0.79	-0.77	-0.68	0.92	-0.5	1.23	-1.72	0.3	2.03	-0.41	1.41	0	0
Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ccnc2n1	0.09	-2.39	-1.47	-1.34	0.74	-0.32	-0.6	0.07	0.38	2.51	0.98	-0.72	0.54	0.65	-2.5	-0.55	1.68	-0.5	-0.94	-0.35	0	0
COc1cccc(CNC(=O)c2cn(C)c3cc(-c4cn[nH]c4)ccc23)c1	-0.12	2.8	-0.08	-0.29	0.4	-0.65	-0.92	0.75	0.16	-1.28	-1.57	0.09	1.61	1.28	-0.02	0.55	-0.66	1.12	1.03	0.23	1	1
Cc1nc2c(Cl)cccc2n1-c1cccc(Oc2cccc(S(=O)(=O)C(C)C)c2)c1	1.64	-1.64	0.24	2.32	1.13	-0.37	0.15	0.57	0.95	-0.45	-0.27	-1.03	-1.42	1.24	1.19	0.28	0.42	0.49	-0.73	1.34	0	0
CNS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)n2)cc1	-0.68	-2.06	-0.78	-1.82	0.0	-0.71	0.5	0.21	0.64	0.59	1.36	-1.04	-0.01	0.53	-2.34	-0.73	0.82	0.31	-1.82	1.01	0	0
O=C(NOCCO)c1cc(COCCO)c(F)c(F)c1Nc1ccc(I)cc1F	-0.76	0.14	-1.47	-0.69	-2.72	-1.21	1.78	0.35	-0.27	0.13	-0.38	1.06	-1.17	-1.41	0.68	1.18	1.49	-1.46	-2.43	-1.65	0	0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@H]3[C@H]([C@H]4CC[C@@H]3C4)N(Cc3cccs3)C1=O)N2	-0.55	0.22	-1.13	-0.2	-0.32	-0.63	0.48	-0.62	0.8	1.23	1.08	0.67	-1.58	0.76	0.43	-0.19	0.73	-0.7	-0.11	0.09	0	0
