SMILES;y;ID
CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3cccn3)cc21;82980.1146453264;1.0
CO/N=C(/C)c1ccn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)c1;2574.6719224302838;5.0
CSCC(=O)NC[C@H]1CN(c2ccc(C3CCS(=O)(=O)CC3)c(F)c2)C(=O)O1;4645.512551013532;6.0
CC(=O)NC[C@H]1CN(c2ccc(/C=C(\Br)c3ccccc3C#N)c(F)c2)C(=O)O1;8728.15506440287;7.0
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(OCCN4CCNC(c5ccccc5)C4)cc(=O)oc3c2C)OC1(C)C;906.6840750009064;9.0
Nc1nc(/C(=N\OCCF)C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(Sc4nc5cnccc5s4)CC[C@H]23)cs1.[Na+];853.8251366120213;10.0
CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccc(COC(C)=O)o4)CC3)c(F)c2)C(=O)O1;3784.0302571059333;12.0
COc1ccc(-c2ccc(C3=NOC(CNC(C)=O)C3)cc2)ccc1=O;5675.529952609323;13.0
CCCCCCCCCCCCCCCC(=O)N(C)[C@@H](CO)C(=O)NCCC(C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O;8799.573220698796;14.0
CC(=O)NC[C@H]1CC(c2ccc(-n3ccc(C#N)c3)c(F)c2)=NO1;766.0933224241643;15.0
CC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1;1824.9584120054183;16.0
N=C(S)NC[C@H]1CN(c2ccc(N3CCN(C(=O)/C=C/c4ccc5c(c4)OCO5)CC3)c(F)c2)C(=O)O1;473.86358036157657;17.0
CC(C)Cc1cnc(N)n1Cc1ccccc1.Cl;60198.35357502973;18.0
Cl.Nc1ncc(CCCCNC(=O)OCc2ccccc2)n1CCCc1ccccc1;36118.1152664501;19.0
N#CCCN1CCN(CCC#N)CC1;3250704.752790406;20.0
Nc1nc(/C(=N\OCCF)C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(Sc4nc5cccnc5s4)CC[C@H]23)cs1.[Na+];1707.6502732240426;21.0
CC(=O)NC[C@H]1CN(c2ccc(N3CCN(c4nc(F)c(F)cc4F)CC3)c(F)c2)C(=O)O1;2139.3898032403185;22.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)[C@@H](N)[C@H](C)[C@@H](O)[C@H]1C;1390.878618023005;23.0
CC(=O)NC[C@H]1CN(c2ccc(N3CC=C(c4conc4C#N)CC3)c(F)c2)C(=O)O1;1175.309106294955;24.0
CC(=O)NC[C@H]1CN(c2ccc(N3CC=C(c4conc4C#N)CC3)c(F)c2)C(=O)O1;9402.47285035964;25.0
C=C1C[C@@H](C(=O)Nc2ccc(F)c[n+]2[O-])N(C(=O)[C@H](CCCC)CN(O)C=O)C1;4896.799941238398;26.0
C=C1C[C@@H](C(=O)Nc2ncc(C)s2)N(C(=O)[C@H](CC2CCCC2)CN(O)C=O)C1;297.24041994126503;27.0
CC(=O)NC[C@H]1CN(c2ccc(N3CCN(c4ncccn4)CC3)c(F)c2)C(=O)O1;1206.444343103119;28.0
Nc1nc(/C(=N\OCCF)C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(Sc4nccs4)CC[C@H]23)cs1.[Na+];7482.901569912746;30.0
CCO/N=C(\C)CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)CC1C;526.8337502344407;31.0
CC(=O)NC[C@H]1CN(c2ccc3c(c2)C[C@H](C)N3)C(=O)O1;55299.220626609276;32.0
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](OC(=O)CC(C)C)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](OC(C)=O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O;11021.211699567277;33.0
CO[C@H]1/C=C\C(=O)O[C@H](C)C/C=C/C=C/[C@H](OC(C)=O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]1O;110021.78087443243;35.0
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](OC(=O)/C=C/c3ccnc4ccccc34)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](OC(C)=O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O;9721.13703279304;37.0
CC(=O)NC[C@H]1CN(c2ccc(N3CCN(c4cccc(C)n4)CC3)c(F)c2)C(=O)O1;4678.581454103113;38.0
CC(=O)N[C@@H]1[C@H](O[C@@H]2c3ccc(c(Cl)c3)Oc3cc4cc(c3O[C@@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3NC(=O)CCCCCCC(C)C)Oc3ccc(cc3Cl)C[C@H]3NC(=O)[C@H](N)c5ccc(O)c(c5)Oc5cc(O)cc(c5)[C@H](NC3=O)C(=O)N[C@H]4C(=O)N[C@H]3C(=O)N[C@@H]2C(=O)N[C@H](C(=O)NCCNCCNCCNCCNCCN)c2cc(O)cc(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)c2-c2cc3ccc2O)O[C@@H](CO)[C@@H](O)[C@@H]1O;30.085370821297186;39.0
CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O;243.37461291267812;40.0
COC(=O)[C@H]1NC(=O)[C@H]2NC(=O)[C@H](NC(=O)[C@@H]3NC(=O)[C@H]4NC(=O)[C@H](NC(=O)[C@H](n5cc6ccccc6c5S[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c5ccc(O)c(c5)Oc5cc4cc(O)c5C)[C@H](O)c4ccc(cc4)Oc4cc3cc(c4O)Oc3ccc(cc3)[C@H]2O)c2ccc(O)c(c2)-c2c(O)cc(O)cc21;2724.005159265771;41.0
C[C@@H]1NC(=O)[C@@H](N(C)C(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](CO)N(C)C(=O)c2ccc(-c3ccccc3)cc2)c2ccc(O)c(c2)-c2cc(ccc2O)C[C@@H](C(=O)O)NC1=O;77776.37348214544;42.0
CCCCCCc1ccc(C(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]2C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc3ccc(O)c(c3)-c3cc2ccc3O)cc1;9627.69695861053;43.0
CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@@H]1O[C@@H]([C@@H](CC)C(=O)NCCOCCO)CC[C@@H]1C)[C@H]1O[C@]2(C=C[C@@H](O)[C@]3(CC[C@@](C)([C@H]4CC[C@](O)(CC)[C@H](C)O4)O3)O2)[C@H](C)C[C@@H]1C;76360.19581617716;44.0
Cc1c(N2CCCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12;48872.272316301336;45.0
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O;345.00103845312566;46.0
N=C(N)NCCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1cccc(NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCCNC(=N)N)NC(=O)C(N)Cc2c[nH]c3ccccc23)c1)C(N)=O;4964.385498434235;47.0
NCCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1cccc(NC(=O)C(CCCN)NC(=O)C(CCCN)NC(=O)C(N)Cc2c[nH]c3ccccc23)c1)C(N)=O;47002.08924286687;48.0
COC1C(OC(=O)c2ccc(C)s2)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccccc4)c(=O)oc3c2C)OC1(C)C;13122.218704738594;49.0
O=C(O)c1cn(C2CC2)c2cc(N3CCN(CCO[C@@H]4O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]4O)CC3)c(F)cc2c1=O;59530.34280175834;53.0
CNCCN(C)C(=O)[C@H]1NC(=O)[C@H]2NC(=O)[C@H](NC(=O)[C@@H]3NC(=O)[C@H]4NC(=O)[C@@H](Cc5ccc(c(Cl)c5)Oc5cc3cc(c5O)Oc3ccc(cc3Cl)[C@H]2O)NC(=O)[C@H](N)c2ccc(O)c(c2)Oc2cc(O)cc4c2)c2ccc(O)c(c2)-c2c(O)cc(O)cc21;47.27856689208036;56.0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23;553.4447786635968;57.0
CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2O[C@H](CNC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN)NC1=O)[C@@H](OCc1ccccc1)[C@@H]2OCc1ccccc1;2384.989828018384;65.0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12;72000.72000720004;66.0
C=C[C@]12OC(=O)N(CCCCn3cnc(-c4cncnc4)c3)[C@@H]1[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@@H]2CC;242.41924711854423;67.0
C=C[C@]12OC(=O)N(CCCCn3cnc4cccnc43)[C@@H]1[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@@H]2CC;125.31469653166512;68.0
CCCCCn1c(CC(C)C)cnc1N.Cl;520752.81328570616;69.0
CCCCCCc1cnc(N)n1CCCCC.Cl;116851.43800300895;70.0
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@@H]2O)[C@@H](CCN2CC(C)CC(C)C2)C[C@@H](C)C(=N\OCCOc2ccccc2)/C=C/C(C)=C/C1CO;7529.059156721281;73.0
NCCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1;8430.174968281464;74.0
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O;2354.027650770944;75.0
CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCN(C(C)=O)C3)C(=O)O1;11580.80944067585;76.0
NS(=O)(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3ccccc3c2)cc1;4625.058102292409;77.0
CCNCC1(C)CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1;638.7033810402177;78.0
CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCN(C(=O)NC(C)C)C3)C(=O)O1;82374.8674279477;79.0
CC(=O)NC[C@H]1CN(c2ccc(N3CC=C(c4oncc4C#N)CC3)c(F)c2)C(=O)O1;2350.61821258991;80.0
CCn1cc(C(=O)O)c(=O)c2c(N)c(F)c(N3CC(N)C3)c(F)c21;1477.9169647132544;84.0
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)COc3ccccc3)[C@H]2SC1;660.666057092118;85.0
N[C@@H](CCl)C(=O)N[C@@H](CCl)C(=O)O;218.28056036985458;86.0
S=c1n(CN2CCCC2)nc(-c2cccc(Cl)c2)n1-c1ccc(Cl)cc1;2466979.479664687;87.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@@H](C)[C@@H](N(C)C)[C@H](C)[C@@H](O)[C@@]12CO2;512.4788602470148;88.0
CC(=O)NC[C@H]1CN(c2ccc3c(c2)CC(C)C3C(=O)CO)C(=O)O1;5773.955419290205;89.0
CC(=O)NC[C@H]1CN(c2ccc(N3CC=C(c4oncc4C(=O)N(C)C)CC3)c(F)c2)C(=O)O1;16967.52204187159;91.0
N[C@@H](CCl)C(=O)N[C@@H](CCl)C(=O)O;218.28056036985458;92.0
N[C@@H](CCl)C(=O)N[C@@H](CCl)C(=O)O;218.28056036985458;93.0
N[C@@H](CCl)C(=O)N[C@@H](CCl)C(=O)O;1702.5883708848658;94.0
CCCCC/C=C\CCCN[C@@H]1[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@H]1C;137.42194147428546;95.0
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O;431.25129806640706;97.0
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@@H](NC)[C@H](NC)C3)c(F)c21.Cl;4797.819870650776;98.0
