ID_SET_COMPOUND;ID_SET;ID NUMBER;IRB PLATE;LIBRARY;ORIGINAL WELL;ID;ROMol;SMILES
0;set_4;HY-108917;PLATE_525;Clinical;A03;atoms 31 bonds 34;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE270>;CCOC(=O)C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccc(F)cc1Br
1;set_4;HY-13289A;PLATE_525;Clinical;B03;atoms 22 bonds 23;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE2E0>;Cl.NCc1c[nH]c(=S)n1[C@H]1CCc2c(F)cc(F)cc2C1
2;set_4;HY-101299B;PLATE_525;Clinical;C03;atoms 23 bonds 25;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE350>;Cl.Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2
3;set_4;HY-101533;PLATE_525;Clinical;D03;atoms 46 bonds 52;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE3C0>;Cc1c2c(nn1C)CSCc1cc(n(C)n1)CSc1cc(c3ccccc3c1)OCCCc1c(C(=O)O)n(C)c3c-2c(Cl)ccc13
4;set_4;HY-15999;PLATE_525;Clinical;E03;atoms 31 bonds 34;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE430>;CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1
5;set_4;HY-109123;PLATE_525;Clinical;F03;atoms 28 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE4A0>;O=C(c1cccnc1-c1ccncc1)N1CCC(O)(Cc2ccccc2)CC1
6;set_4;HY-10857;PLATE_525;Clinical;G03;atoms 24 bonds 27;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE510>;Cc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N
7;set_4;HY-12042;PLATE_525;Clinical;H03;atoms 24 bonds 25;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE580>;O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F
8;set_4;HY-15604;PLATE_525;Clinical;I03;atoms 28 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE5F0>;N[C@@H]1CCCN(c2c(/C=C3\SC(=O)NC3=O)cccc2-c2ccccc2)C1
9;set_4;HY-15651;PLATE_525;Clinical;J03;atoms 38 bonds 41;<rdkit.Chem.rdchem.Mol object at 0x00000213700AE660>;Cc1c(-c2ccnn2C)cc(C(=O)NCc2ccc(S(C)(=O)=O)cn2)c(=O)n1-c1cccc(C(F)(F)F)c1
