ID_all;SMILES;y
0;BrC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2;18593.062928221483
1;BrCCCCCCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12;8007.719441541645
2;BrCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12;9315.692516937092
3;BrCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12;9966.885024506077
4;BrCCc1c[nH]c2ccccc12;8924.547413889271
5;Brc1c(-c2ccccc2)nc2sc(Cc3noc4ccccc34)nn12;7294.229777963643
6;Brc1cc(-c2nnc(-c3cc(Br)c(Br)[nH]3)o2)[nH]c1Br;3024.516028965557
7;Brc1cc(-c2nnc(-c3ccccc3)o2)[nH]c1Br;33873.86996769787
8;Brc1cc(-c2nnc(-c3ccncc3)o2)[nH]c1Br;33783.41855763721
9;Brc1cc(-c2nnc(/C=C/C3=COc4ccccc4C3)o2)[nH]c1Br;27833.32071556127
10;Brc1cc(-c2nnc(/C=C/c3ccccc3)o2)[nH]c1Br;31641.243981835392
11;Brc1cc(-c2nnc(Sc3ccccc3)o2)[nH]c1Br;15582.809543161888
12;Brc1cc(Br)c[n+](CCc2c[nH]c3ccccc23)c1;262404.5175561742
13;Brc1cc2c(cc1C1CC(c3cccs3)=NN1c1nc(-c3ccccc3)cs1)OCO2;244887.72387635708
14;Brc1ccc(-c2cn3nc(Cc4noc5ccccc45)sc3n2)cc1;4862.819851975763
15;Brc1ccc(-c2csc(N/N=C/c3ccccc3)n2)cc1;34890.47183082866
16;Brc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1;35685.22774312344
17;Brc1ccc(-c2nc(-c3cc4ccccc4nc3N3CCOCC3)no2)cc1;1115000.0
18;Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CCCCC2)cc1;91858.405778996
19;Brc1ccc(-c2nc3sc(Cc4noc5ccccc45)nn3c2Br)cc1;5100.167285486963
20;Brc1ccc(/C(Cn2nnc3ccccc32)=N\Nc2nc(-c3ccc(Br)cc3)cs2)cc1;56308.48604077437
21;Brc1ccc(/N=N/c2c[nH]c3ccccc23)cc1;25000.0
22;Brc1ccc(CNC2CCCCC2NCc2ccc(Br)cc2)cc1;276.4055776434324
23;Brc1ccc(CN[C@H]2CCCC[C@@H]2NCc2ccc(Br)cc2)cc1;143.73090037458482
24;Brc1ccc(COC(Cn2cnc3ccccc32)c2ccccc2)cc1;61378.160668383614
25;Brc1ccc(COc2ccc(C(C3CC3)n3ccnc3)cc2)cc1;4070.0359258940375
26;Brc1ccc(CSc2cc3ccccc3[n+](CCCCCC3CCCCC3)c2)cc1;2688.51116455963
27;Brc1ccc(Cc2nc3ccccc3o2)cc1;43651.58
28;Brc1ccc(NCc2ccco2)cc1;247906.6760276228
29;Brc1ccc(Nc2ncnc3c2cnn3-c2ccccc2)cc1;2800000.0
30;Brc1ccc(Sc2cc3ccccc3[n+](CCCCCc3ccccc3)c2)cc1;43153.29777501594
31;Brc1ccc2[nH]c(-c3cc4ccccc4n4nnnc34)nc2c1;2738270.6178086163
32;Brc1ccc2[nH]c(/C=C/c3ccc4c(c3)OCO4)nc2c1;91060.08508654348
33;Brc1ccc2[nH]c(/C=C/c3ccccc3)nc2c1;26740.559746766896
34;Brc1ccc2cc(C3=NC(Cn4cncn4)(c4ccccc4)CO3)sc2c1;136.56911079851955
35;Brc1ccc2oc(C3=Nc4ccccc4SC(c4cccc5ccccc45)C3)cc2c1;51608.3217386637
36;Brc1cccc(-n2cc(COc3ccc4c(c3)CCC4)nn2)c1;270087.7785280215
37;Brc1cccc(CNC2CCCCC2NCc2cccc(Br)c2)c1;276.4055776434324
38;Brc1cccc(CN[C@H]2CCCC[C@@H]2NCc2cccc(Br)c2)c1;276.4055776434324
39;Brc1cccc(CSc2cc3ccccc3[n+](CCCCCC3CCCCC3)c2)c1;10340.427555998576
40;Brc1cccc(Sc2cc3ccccc3[n+](CCCCCc3ccccc3)c2)c1;43153.29777501594
41;Brc1ccccc1-c1nnc2sc(-c3ccccc3)nn12;8747.718594990425
