ID_all;SMILES;y
0;Brc1ccc(CNC2CCCCC2NCc2ccc(Br)cc2)cc1;70.75982787671869
1;Brc1ccc(CNCC2CCCC(CNCc3ccc(Br)cc3)C2)cc1;260.2605103604504
2;Brc1ccc(CN[C@H]2CCCC[C@@H]2NCc2ccc(Br)cc2)cc1;35.379913938359344
3;Brc1ccc(Nc2nn3c(-c4ccccc4)nnc3s2)cc1;1316.3161415281622
4;Brc1ccc2c(c1)Sc1cccnc1N2CCCCCCN1c2ccc(Br)cc2Sc2cccnc21;6.25
5;Brc1cccc(CNC2CCCCC2NCc2cccc(Br)c2)c1;143.73090037458482
6;Brc1cccc(CNCC2CCCC(CNCc3cccc(Br)c3)C2)c1;260.2605103604503
7;Brc1cccc(CN[C@H]2CCCC[C@@H]2NCc2cccc(Br)c2)c1;70.75982787671869
8;C#CCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1;1981.6185067315569
9;C#CCC[n+]1ccc(SCC(=O)O[C@@H]2C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@]34CCC(=O)[C@H]3[C@@]2(C)[C@H](C)CC4)cc1;476.4200652886054
10;C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc(OC(F)(F)F)ccc21;27887.20925260419
11;C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc([N+](=O)[O-])ccc21;40089.6404360149
12;C#CCN1C(=O)C2(c3ccccc31)c1c(c3ccccc3oc1=O)Oc1c2c(=O)oc2ccccc12;500.0
13;C#CCN1C(=O)[C@]2(c3ccccc31)[C@H](c1cn(-c3ccccc3)nc1-c1ccccc1)[C@@](C#N)(C(=O)c1c[nH]c3ccccc13)C1CCCN12;191495.16359814815
14;C#CCN1C(=O)[C@]2(c3ccccc31)[C@H](c1cn(-c3ccccc3)nc1-c1ccccc1)[C@@](C#N)(C(=O)c1c[nH]c3ccccc13)CN2C;398902.221087567
15;C#CCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;1349.950321828156
16;C#CCNC(=O)O[C@H]1[C@@H](O)[C@H](Oc2ccc3c(=O)c(C(=O)OCC)c(O)oc3c2C)OC(C)(C)[C@@H]1OC;38498.33398459679
17;C#CCNCCO/N=C1/[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@H]1C;438.6708857057629
18;C#CCNCc1ccc2c(Br)cc(Br)c(O)c2n1;0.3
19;C#CCNc1ccc(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)ccc1=O;610.6243756365757
20;C#CCNc1cccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)cc1=O;2554.754781862262
21;C#CCNc1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1;53107.27337300889
22;C#CCO/N=C(/C(=O)N[C@H]1CN2CC(S(C)(=O)=O)=C(C(=O)O)N2C1=O)c1csc(N)n1;68307.03156852153
23;C#CCO/N=C/c1cn(C2CCN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)nn1;2085.627523609302
24;C#CCOC(=O)c1cn(C2CC2)c2cc(N3CCN(CC#C)CC3)c(F)cc2c1=O;1.92
25;C#CCOCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1;7481.334071491624
