ID_all;SMILES;y
0;C=CC(=O)O;0.0
1;C=O;1.0
2;CC(C)O;0.0
3;CC(Cl)(Cl)Cl;0.0
4;CC(O)CO;0.0
5;CC1CO1;1.0
6;CC=CC=CC(=O)O;0.0
7;CCCCCCCC(=O)O;0.0
8;CCCCCCCC/C=C\CCCCCCCC(=O)O;0.0
9;CCCCCCCCCC(=O)O;0.0
10;Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1;0.0
11;Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C;0.0
12;ClC(Cl)=C(Cl)Cl;1.0
13;ClCc1ccccc1;0.0
14;NC(N)=O;0.0
15;O=C(O)CC(O)(CC(=O)O)C(=O)O;0.0
16;O=C(O)c1ccccc1;0.0
17;O=C([O-])c1ccccc1;0.0
18;O=C1O[C@H]([C@@H](O)CO)C(O)=C1O;0.0
19;O=S1(=O)CC=CC1;0.0
20;OCCN(CCO)CCO;0.0
21;OCCNCCO;0.0
22;OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO;0.0
23;Sc1nc2ccccc2s1;1.0
24;c1ccccc1;1.0
