ID_all;SMILES;y
813;CCCCCCCC/C=C\CCCCCCCC(=O)O;0
823_823;ClC(Cl)=C(Cl)Cl;1
10_48;O=C(O)CC(O)(CC(=O)O)C(=O)O;0
635_635;CC(O)CO;0
358_358;O=C1O[C@H]([C@@H](O)CO)C(O)=C1O;0
1034_1034;O=S1(=O)CC=CC1;0
86_86;ClCc1ccccc1;0
69_69_329_329_329_329;C=O;1
182_182;CCCCCCCCCC(=O)O;0
275_275_1072_1072;Sc1nc2ccccc2s1;1
1112_1112;CC1CO1;1
930_930;C=CC(=O)O;0
915_915;OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO;0
122_122_535_535;O=C(O)c1ccccc1;0
199_199;CCCCCCCC(=O)O;0
18_18_76_76;c1ccccc1;1
231_231;OCCNCCO;0
133_133;O=C([O-])c1ccccc1;0
507_507_507_507;CC(Cl)(Cl)Cl;0
1081_1081;NC(N)=O;0
245_245_913_913;CC=CC=CC(=O)O;0
51_51;CC(C)O;0
443_443;Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C;0
719_719_719;OCCN(CCO)CCO;0
222_222;Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1;0
