ID_all;SMILES;y
0;C#CC(C)(C)O;21.3
1;C#CC1CC1;22.3
2;C#CCCl;4.44
3;C#CCN(CC)CC;2.1
4;C/C=C/C=C/C;27.50729201331115
5;C/C=C/CC#N;1.4172029950083196
6;C/C=C/CC/C=C/CC/C=C/CC/C=C/CCCC/C=C/CC/C=C/C;118.74821547420969
7;C/C=C/CCC;28.18236688851913
8;C/C=C\CCCCC;2.1
9;C1=CC2C3C=CC(C3)C2C1;1.8641990815307816
10;C1=CCCC1;22.920061252079865
11;C1=CCOC1;6.0
12;C1=COCCC1;10.7
13;C1=C\CC/C=C/CC/C=C\CC/1;8.1
14;C1=Cc2ccccc2C1;5.14
15;C1CCC(NC2CCCCC2)CC1;1.4
16;C1CCC2CCCCC2C1;4.634402939545201
17;C1CCC2OC2C1;21.47
18;C1CCCC1;25.3
19;C1CCNCC1;4.8
20;C1CCOC1;60.6
21;C1CCOCOC1;20.8
22;C1CN(CCOCCN2CCOCC2)CCO1;0.21
23;C1CO1;3.1585
24;C1COCO1;68.4
25;C1OCOCO1;39.2
26;C=C(Br)C(F)(F)F;85.33396514143095
27;C=C(C)C(=O)OC;29.8
28;C=C(C)C(=O)OC1CCCCC1;29.8
29;C=C(C)C(=O)OCCCC;29.04293594009982
30;C=C(C)C=O;0.5533333333333333
31;C=C(C)OC(C)=O;22.0
32;C=C(C)c1ccccc1;22.85
33;C=C1CC(=O)O1;0.9634936356073208
34;C=CC(=O)N(C)C;1.5899917637271217
35;C=CC(=O)OC(C)(C)C;7.0200000000000005
36;C=CC(=O)OCC(C)C;12.65
37;C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C;0.55
38;C=CC(=O)OCC(CC)CCCC;1.19
39;C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;1.8
40;C=CC(=O)OCCCCCCCCCCCC;0.69
41;C=CC(=O)OCCCCCCCCCCCCCC;0.69
42;C=CC(=O)OCCCCOC(=O)C=C;0.06
43;C=CC(=O)OCCCO;0.38
44;C=CC(=O)OCCOC;2.7
45;C=CC(=O)[O-];5.1
46;C=CC(C#N)OC(C)=O;7.866666666666667
47;C=CC(C)(C)O;21.2
48;C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C;1.1
49;C=CC(C)C#N;10.122878535773712
50;C=CC(Cl)CCl;10.89
51;C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C;25.94134667221298
52;C=CCBr;2.41
53;C=CCCCCC=C;36.0
54;C=CCCl;11.2
55;C=CCOCC1CO1;1.46
56;C=CCOc1nc(OCC=C)nc(OCC=C)n1;0.1665
57;C=CN1CCCCCC1=O;1.6
58;C=COC(=O)CC;20.0
59;C=COC(C)=O;16.079205490848587
60;C=COC1CCCCC1;23.7485
61;C=COCC(C)C;67.0
62;C=COCCCC;33.3
63;C=COCCCCOC=C;6.3
64;C=CSC(C)O;1.14
65;C=C[Si](C)(C)N[Si](C)(C)C=C;11.692812146422629
66;C=C[Si](C)(C)O[Si](C)(C)C=C;1.9074516638935104
67;C=C[Si](C)(Cl)Cl;3.368381946755408
68;C=C[Si](C)(OC)OC;5.0
69;C=C[Si](OC)(OC)OC;17.098705574043258
70;C=C[Si](OCC)(OCC)OCC;18.04208693843594
71;C=C[Si]1(C)O[Si](C)(C=C)O[Si](C)(C=C)O[Si](C)(C=C)O1;1.32
73;C=Cc1ccccc1;11.8
74;C=O;0.5782877703826955
75;CC;16.28958444259567
76;CC(=O)C(C)C;22.83291475318913
77;CC(=O)C(O)c1ccccc1;0.25
78;CC(=O)C=C(C)C;4.613304908485857
79;CC(=O)CC(C)=O;5.099647476428174
80;CC(=O)CC(C)C;11.6
81;CC(=O)CCl;0.95
82;CC(=O)OC(C)C;50.6
83;CC(=O)OCC(C)C;30.0
84;CC(=O)OCC(C)OC(C)=O;2.17
85;CC(=O)OCCOC(C)=O;0.845
86;CC(=O)OOC(C)(C)C;2.473858153078203
87;CC(C)(C)C1CCC(O)CC1;0.221
88;CC(C)(C)CCCCCC(=O)Cl;0.4
89;CC(C)(C)CCCCCC(=O)OOC(C)(C)c1ccccc1;10.2
90;CC(C)(C)N;3.8
91;CC(C)(C)N=C=O;1.593
92;CC(C)(C)O;30.83319467554076
93;CC(C)(C)OC(=O)CCl;4.738
94;CC(C)(C)OC(=O)OC(=O)OC(C)(C)C;0.1
95;CC(C)(C)OCC1CO1;86.02
96;CC(C)(C)OOC(=O)c1ccccc1;0.26
97;CC(C)(C)OOC(C)(C)C;22.0
98;CC(C)(C)S;94.40041356073208
99;CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1;0.4
100;CC(C)(OO)c1ccccc1;1.3927811980033278
101;CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1;28.5
102;CC(C)C;31.48705707154742
103;CC(C)C#N;1.724800332778702
104;CC(C)C(=O)C(C)C;13.133519966722128
105;CC(C)C(=O)OC(=O)C(C)C;4.21
106;CC(C)C(C)(C)C;19.0740633666112
107;CC(C)C(C)C;264.7715091514143
108;CC(C)C=O;21.89333333333333
109;CC(C)CC(=O)CC(C)C;14.5
110;CC(C)CC(C)(C)C;33.52
111;CC(C)CC(C)O;16.0
112;CC(C)CC=O;42.7
113;CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1;1.6
114;CC(C)CCN;11.233333333333334
115;CC(C)COC(C)(C)C;68.26666666666667
116;CC(C)Cl;6.54
117;CC(C)N;8.626128119800333
118;CC(C)NC(C)C;4.969786466999445
119;CC(C)O;24.998336106489184
120;CC(C)[C@@]12CC[C@@](C)(O1)[C@@H](O)C2;4.27
121;CC(C=O)Cc1ccc(C(C)(C)C)cc1;0.18
122;CC(CC#N)N1CC1;0.54
123;CC(CC(=O)Cl)CC(C)(C)C;0.1099999999999999
124;CC(Cl)(Cl)Cl;79.07742304492513
125;CC(Cl)CCl;9.39991680532446
126;CC(N)CN;32.8
127;CC(O)CCO;0.22
128;CC(O)CN(C)C;3.0
129;CC(O)CN(CCO)CCO;16.4
130;CC(c1ccccc1)c1ccccc1;0.8
131;CC/C=C\C#N;2.868148918469218
132;CC1CCCC(C)C1N;3.6
133;CC1CO1;10.13984026622296
134;CC1OC1C;5.2
135;CC=O;24.206042013311148
136;CCC;23.888320757071543
137;CCC#N;3.3
138;CCC(=O)Cl;0.2
139;CCC(=O)O;9.85
140;CCC(=O)OC;22.7
141;CCC(C)(C)C;264.77150915141425
142;CCC(C)(C)OC;5.4
143;CCC(C)(C)OO;2.425
144;CCC(C)C(=O)OC(C)C;5.967
