ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;yorig_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;units_ChEMBL;smilessource_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;zscore_ChEMBL;zscore_ChEMBL_thres;y_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers_thres;y_consensus;valid/outlier
0;CC1=C(C)C(=O)O[C@@H]([C@@](C)(O)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@@]56[C@H](C(=O)C=C[C@@H]6O)[C@H]4C[C@@H](O)[C@]23C)C1;8;;2000.0;;;nM;Smiles;CC1=C(C)C(=O)O[C@@H]([C@@](C)(O)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@@]56[C@H](C(=O)C=C[C@@H]6O)[C@H]4C[C@@H](O)[C@]23C)C1;nM;2000.0;-0.448954447392162;0;2000.0;-0.4343487358158491;0;2000.0;valid
1;CC1=C(C)C(O)O[C@@H]([C@](C)(O)C2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1;9;;270.0;;;nM;Smiles;CC1=C(C)C(O)O[C@@H]([C@](C)(O)C2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1;nM;270.0;-0.6013188456776724;0;270.0;-0.6218887072621889;0;270.0;valid
2;CCCC/N=C(/N)c1ccc(N2CCN(c3ccc(/C(N)=N\CCCC)cc3)CC2)cc1;12;;91.0;;;nM;Smiles;CCCC/N=C(/N)c1ccc(N2CCN(c3ccc(/C(N)=N\CCCC)cc3)CC2)cc1;nM;91.0;-0.6170837169453639;0;91.0;-0.6412931320534576;0;91.0;valid
3;CCCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCCC)cc3)CC2)cc1;13;;41.0;;;nM;Smiles;CCCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCCC)cc3)CC2)cc1;nM;41.0;-0.6214873122715348;0;41.0;-0.6467133624420801;0;41.0;valid
4;CCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCC)cc3)CC2)cc1;14;;83.0;;;nM;Smiles;CCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCC)cc3)CC2)cc1;nM;83.0;-0.6177882921975513;0;83.0;-0.6421603689156372;0;83.0;valid
5;CCCCNC(=N)c1ccc(N2CCCN(c3ccc(C(=N)NCCCC)cc3)CC2)cc1;15;;357.0;;;nM;Smiles;CCCCNC(=N)c1ccc(N2CCCN(c3ccc(C(=N)NCCCC)cc3)CC2)cc1;nM;357.0;-0.5936565898101351;0;357.0;-0.6124575063859857;0;357.0;valid
6;CCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCC)cc3)CC2)cc1;16;;1685.0;;;nM;Smiles;CCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCC)cc3)CC2)cc1;nM;1685.0;-0.4766970979470382;0;1685.0;-0.4684961872641711;0;1685.0;valid
7;CN(C(=O)CCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;32;;76.0;;;nM;Smiles;CN(C(=O)CCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;nM;76.0;-0.6184047955432151;0;76.0;-0.6429192011700444;0;76.0;valid
8;CN(C(=O)CCCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;33;;303.0;;;nM;Smiles;CN(C(=O)CCCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;nM;303.0;-0.5984124727623996;0;303.0;-0.618311355205698;0;303.0;valid
9;CN(C(=O)CCCCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;34;;12.0;;;nM;Smiles;CN(C(=O)CCCCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;nM;12.0;-0.6240413975607139;0;12.0;-0.6498570960674812;0;12.0;valid
10;CN(CCCCCN(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;35;;1990.0;;;nM;Smiles;CN(CCCCCN(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;nM;1990.0;-0.4498351664573962;0;1990.0;-0.4354327818935736;0;1990.0;valid
11;CN(CCOc1ccc(C(=N)N)cc1)CCOc1ccc(C(=N)N)cc1;36;;1730.0;;;nM;Smiles;CN(CCOc1ccc(C(=N)N)cc1)CCOc1ccc(C(=N)N)cc1;nM;1730.0;-0.47273386215348445;0;1730.0;-0.4636179799144108;0;1730.0;valid
12;COc1cc(C(=N)N)cc(Br)c1OCCCCCOc1c(Br)cc(C(=N)N)cc1OC;37;;36.0;;;nM;Smiles;COc1cc(C(=N)N)cc(Br)c1OCCCCCOc1c(Br)cc(C(=N)N)cc1OC;nM;36.0;-0.6219276718041519;0;36.0;-0.6472553854809424;0;36.0;valid
13;COc1cc(C(=N)N)cc(OC)c1OCCCCCOc1c(OC)cc(C(=N)N)cc1OC;38;;3000.0;;;nM;Smiles;COc1cc(C(=N)N)cc(OC)c1OCCCCCOc1c(OC)cc(C(=N)N)cc1OC;nM;3000.0;-0.3608825408687456;0;3000.0;-0.32594412804339834;0;3000.0;valid
