ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;y_original_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;orig_UNITS_ChEMBL;smilessource_ChEMBL;yorig_ChEMBL;units_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;zscore_ChEMBL;zscore_ChEMBL_thres;y_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers_thres;y_consensus;valid/outlier
0;Brc1ccc(CNC2CCCCC2NCc2ccc(Br)cc2)cc1;6861;CHEMBL1668192;0.032;;;ug.mL-1;Smiles;70.75982787671869;nM;Brc1ccc(CNC2CCCCC2NCc2ccc(Br)cc2)cc1;nM;70.75982787671869;-0.1763714267417582;0;70.75982787671869;-0.37149768760158236;0;70.75982787671869;valid
1;Brc1ccc(CNCC2CCCC(CNCc3ccc(Br)cc3)C2)cc1;10829;CHEMBL599108;0.125;;;ug.mL-1;Smiles;260.2605103604504;nM;Brc1ccc(CNCC2CCCC(CNCc3ccc(Br)cc3)C2)cc1;nM;260.2605103604504;-0.17593074695388405;0;260.2605103604504;-0.37012938052862043;0;260.2605103604504;valid
2;Brc1ccc(CN[C@H]2CCCC[C@@H]2NCc2ccc(Br)cc2)cc1;9784;CHEMBL1668207;0.016;;;ug.mL-1;Smiles;35.379913938359344;nM;Brc1ccc(CN[C@H]2CCCC[C@@H]2NCc2ccc(Br)cc2)cc1;nM;35.379913938359344;-0.17645370197562554;0;35.379913938359344;-0.37175315151784977;0;35.379913938359344;valid
3;Brc1ccc(Nc2nn3c(-c4ccccc4)nnc3s2)cc1;7778;CHEMBL1927714;0.49;;;ug.mL-1;Smiles;1316.3161415281622;nM;Brc1ccc(Nc2nn3c(-c4ccccc4)nnc3s2)cc1;nM;1316.3161415281622;-0.17347491214935085;0;1316.3161415281622;-0.3625040339038551;0;1316.3161415281622;valid
4;Brc1ccc2c(c1)Sc1cccnc1N2CCCCCCN1c2ccc(Br)cc2Sc2cccnc21;7537;CHEMBL2298245;6.25;;;nM;Smiles;6.25;nM;Brc1ccc2c(c1)Sc1cccnc1N2CCCCCCN1c2ccc(Br)cc2Sc2cccnc21;nM;6.25;-0.17652144296804256;0;6.25;-0.37196348673540264;0;6.25;valid
5;Brc1cccc(CNC2CCCCC2NCc2cccc(Br)c2)c1;5254;CHEMBL1668191;0.065;;;ug.mL-1;Smiles;143.73090037458482;nM;Brc1cccc(CNC2CCCCC2NCc2cccc(Br)c2)c1;nM;143.73090037458482;-0.1762017340719069;0;143.73090037458482;-0.37097079327428084;0;143.73090037458482;valid
6;Brc1cccc(CNCC2CCCC(CNCc3cccc(Br)c3)C2)c1;10715;CHEMBL598914;0.125;;;ug.mL-1;Smiles;260.2605103604503;nM;Brc1cccc(CNCC2CCCC(CNCc3cccc(Br)c3)C2)c1;nM;260.2605103604503;-0.17593074695388405;0;260.2605103604503;-0.37012938052862043;0;260.2605103604503;valid
7;Brc1cccc(CN[C@H]2CCCC[C@@H]2NCc2cccc(Br)c2)c1;[12000, 14643];CHEMBL1668206;0.032;;;ug.mL-1;Smiles;70.75982787671869;nM;Brc1cccc(CN[C@H]2CCCC[C@@H]2NCc2cccc(Br)c2)c1;nM;70.75982787671869;-0.1763714267417582;0;70.75982787671869;-0.37149768760158236;0;70.75982787671869;valid
8;C#CCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1;2568;CHEMBL3581010;1.0;;;ug.mL-1;Smiles;1981.6185067315569;nM;C#CCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1;nM;1981.6185067315569;-0.17192776571522017;0;1981.6185067315569;-0.3577001571049193;0;1981.6185067315569;valid
9;C#CCC[n+]1ccc(SCC(=O)O[C@@H]2C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@]34CCC(=O)[C@H]3[C@@]2(C)[C@H](C)CC4)cc1;13560;CHEMBL5422067;0.25;;;ug.mL-1;Smiles;476.4200652886054;nM;C#CCC[n+]1ccc(SCC(=O)O[C@@H]2C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@]34CCC(=O)[C@H]3[C@@]2(C)[C@H](C)CC4)cc1;nM;476.4200652886054;-0.17542807252778586;0;476.4200652886054;-0.3685685806200402;0;476.4200652886054;valid
10;C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc(OC(F)(F)F)ccc21;12704;CHEMBL2283067;15.0;;;ug.mL-1;Smiles;27887.20925260419;nM;C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc(OC(F)(F)F)ccc21;nM;27887.20925260419;-0.1116848679851445;0;27887.20925260419;-0.1706464611380066;0;27887.20925260419;valid
11;C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc([N+](=O)[O-])ccc21;12705;CHEMBL2283065;20.0;;;ug.mL-1;Smiles;40089.6404360149;nM;C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc([N+](=O)[O-])ccc21;nM;40089.6404360149;-0.08330837500910154;0;40089.6404360149;-0.0825376866641977;0;40089.6404360149;valid
12;C#CCN1C(=O)C2(c3ccccc31)c1c(c3ccccc3oc1=O)Oc1c2c(=O)oc2ccccc12;11871;CHEMBL4593827;500.0;;;nM;Smiles;500.0;nM;C#CCN1C(=O)C2(c3ccccc31)c1c(c3ccccc3oc1=O)Oc1c2c(=O)oc2ccccc12;nM;500.0;-0.17537323789346945;0;500.0;-0.3683983195369523;0;500.0;valid
13;C#CCN1C(=O)[C@]2(c3ccccc31)[C@H](c1cn(-c3ccccc3)nc1-c1ccccc1)[C@@](C#N)(C(=O)c1c[nH]c3ccccc13)C1CCCN12;7915;CHEMBL3360434;125.0;;;ug.mL-1;Smiles;191495.16359814815;nM;C#CCN1C(=O)[C@]2(c3ccccc31)[C@H](c1cn(-c3ccccc3)nc1-c1ccccc1)[C@@](C#N)(C(=O)c1c[nH]c3ccccc13)C1CCCN12;nM;191495.16359814815;0.26878193387830346;0;191495.16359814815;1.010699791496505;0;191495.16359814815;valid
14;C#CCN1C(=O)[C@]2(c3ccccc31)[C@H](c1cn(-c3ccccc3)nc1-c1ccccc1)[C@@](C#N)(C(=O)c1c[nH]c3ccccc13)CN2C;11825;CHEMBL3360426;250.0;;;ug.mL-1;Smiles;398902.221087567;nM;C#CCN1C(=O)[C@]2(c3ccccc31)[C@H](c1cn(-c3ccccc3)nc1-c1ccccc1)[C@@](C#N)(C(=O)c1c[nH]c3ccccc13)CN2C;nM;398902.221087567;0.7511026142056454;0;398902.221087567;2.508301488890682;0;398902.221087567;valid
15;C#CCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;11961;CHEMBL2012917;0.5;;;ug.mL-1;Smiles;1349.950321828156;nM;C#CCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;nM;1349.950321828156;-0.1733966965817568;0;1349.950321828156;-0.362261175217572;0;1349.950321828156;valid
