index;ID_EXPERIMENTAL;SMILES;y
0;813;CCCCCCCC/C=C\CCCCCCCC(=O)O;0
1;823_823;ClC(Cl)=C(Cl)Cl;1
2;10_48;O=C(O)CC(O)(CC(=O)O)C(=O)O;0
3;635_635;CC(O)CO;0
4;358_358;O=C1O[C@H]([C@@H](O)CO)C(O)=C1O;0
5;1034_1034;O=S1(=O)CC=CC1;0
6;86_86;ClCc1ccccc1;0
7;69_69_329_329_329_329;C=O;1
8;182_182;CCCCCCCCCC(=O)O;0
9;275_275_1072_1072;Sc1nc2ccccc2s1;1
10;1112_1112;CC1CO1;1
11;930_930;C=CC(=O)O;0
12;915_915;OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO;0
13;122_122_535_535;O=C(O)c1ccccc1;0
14;199_199;CCCCCCCC(=O)O;0
15;18_18_76_76;c1ccccc1;1
16;231_231;OCCNCCO;0
17;133_133;O=C([O-])c1ccccc1;0
18;507_507_507_507;CC(Cl)(Cl)Cl;0
19;1081_1081;NC(N)=O;0
20;245_245_913_913;CC=CC=CC(=O)O;0
21;51_51;CC(C)O;0
22;443_443;Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C;0
23;719_719_719;OCCN(CCO)CCO;0
24;222_222;Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1;0
