ID_all;SMILES;ID_chEMBL;orig_ID_chEMBL;yorig_chEMBL;CAS_chEMBL;NAME_chEMBL;units_chEMBL;smilessource_chEMBL;SMILES_chEMBL;desired_units_chEMBL;y_chEMBL;ID_CtoxPred;orig_ID_CtoxPred;yorig_CtoxPred;CAS_CtoxPred;NAME_CtoxPred;units_CtoxPred;smilessource_CtoxPred;SMILES_CtoxPred;desired_units_CtoxPred;y_CtoxPred;comparison_chEMBL_CtoxPred;onlyequal_chEMBL_CtoxPred;y_chEMBL_nonambiguous;y_CtoxPred_nonambiguous;y_consensus;valid/outlier
0;C=CCc1ccc(O)c(OC)c1;7;;0.0;;;classCavinh;SMILES;C=CCc1ccc(O)c(OC)c1;classCavinh;0.0;;;;;;;;;;;0;0.0;0.0;;0.0;valid
1;C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12;162;;0.0;;;classCavinh;SMILES;C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12;classCavinh;0.0;183.0;;0.0;;;classCavinh;SMILES;C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
2;CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1F;126;;0.0;;;classCavinh;SMILES;CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1F;classCavinh;0.0;364.0;;0.0;;;classCavinh;SMILES;CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1F;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
3;CC#C[C@@H](c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)[C@H]1OC(=O)NC1=O;141;;1.0;;;classCavinh;SMILES;CC#C[C@@H](c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)[C@H]1OC(=O)NC1=O;classCavinh;1.0;363.0;;1.0;;;classCavinh;SMILES;CC#C[C@@H](c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)[C@H]1OC(=O)NC1=O;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
4;CC(=O)Nc1c(F)cc(C(=O)N[C@H]2CC[C@H](O)CC2)cc1O[C@@H](C)c1ccccc1;211;;0.0;;;classCavinh;SMILES;CC(=O)Nc1c(F)cc(C(=O)N[C@H]2CC[C@H](O)CC2)cc1O[C@@H](C)c1ccccc1;classCavinh;0.0;;;;;;;;;;;0;0.0;0.0;;0.0;valid
5;CC(C)(C)CCN1CC[C@H](CNC(=O)c2cc(Cl)cc(Cl)c2)[C@H](F)C1;62;;0.0;;;classCavinh;SMILES;CC(C)(C)CCN1CC[C@H](CNC(=O)c2cc(Cl)cc(Cl)c2)[C@H](F)C1;classCavinh;0.0;177.0;;0.0;;;classCavinh;SMILES;CC(C)(C)CCN1CC[C@H](CNC(=O)c2cc(Cl)cc(Cl)c2)[C@H](F)C1;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
6;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;148;;1.0;;;classCavinh;SMILES;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;classCavinh;1.0;78.0;;1.0;;;classCavinh;SMILES;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
7;CC(C)(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(C#N)cn3)n2)cc1;85;;1.0;;;classCavinh;SMILES;CC(C)(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(C#N)cn3)n2)cc1;classCavinh;1.0;;;;;;;;;;;1;1.0;1.0;;1.0;valid
8;CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CCC[C@@H]1c1ccccc12;176;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CCC[C@@H]1c1ccccc12;classCavinh;1.0;398.0;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CCC[C@@H]1c1ccccc12;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
9;CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CC[C@@H]1c1ccccc12;179;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CC[C@@H]1c1ccccc12;classCavinh;1.0;391.0;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CC[C@@H]1c1ccccc12;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
10;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C;181;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;393.0;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
11;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](O)c2cc(F)ccc2[C@@H]1C(C)C;40;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](O)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;122.0;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](O)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
12;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;73;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;394.0;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
13;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc12;[187, 70];;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc12;classCavinh;1.0;395.0;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc12;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
14;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12;[188, 21];;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12;classCavinh;1.0;167.0;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
15;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](O)c2cc(F)ccc2[C@@H]1C(C)C;88;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](O)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;396.0;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](O)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
16;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;72;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;199.0;;1.0;;;classCavinh;SMILES;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
17;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1;138;;0.0;;;classCavinh;SMILES;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1;classCavinh;0.0;148.0;;0.0;;;classCavinh;SMILES;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
18;CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1;90;;1.0;;;classCavinh;SMILES;CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1;classCavinh;1.0;378.0;;1.0;;;classCavinh;SMILES;CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
19;CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21;116;;0.0;;;classCavinh;SMILES;CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21;classCavinh;0.0;;;;;;;;;;;0;0.0;0.0;;0.0;valid
20;CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;74;;1.0;;;classCavinh;SMILES;CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;classCavinh;1.0;338.0;;1.0;;;classCavinh;SMILES;CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
21;CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;63;;1.0;;;classCavinh;SMILES;CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;classCavinh;1.0;337.0;;1.0;;;classCavinh;SMILES;CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
22;CC(C)NC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1;168;;1.0;;;classCavinh;SMILES;CC(C)NC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1;classCavinh;1.0;425.0;;1.0;;;classCavinh;SMILES;CC(C)NC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
23;CC(C)NCC(O)COc1cccc2ccccc12;4;;0.0;;;classCavinh;SMILES;CC(C)NCC(O)COc1cccc2ccccc12;classCavinh;0.0;202.0;;0.0;;;classCavinh;SMILES;CC(C)NCC(O)COc1cccc2ccccc12;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
24;CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1;5;;0.0;;;classCavinh;SMILES;CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1;classCavinh;0.0;73.0;;0.0;;;classCavinh;SMILES;CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
25;CC(C)OCc1ccccc1CNC(=O)c1c2c(c(Cl)n1C)CC(C)(C)CC2;200;;1.0;;;classCavinh;SMILES;CC(C)OCc1ccccc1CNC(=O)c1c2c(c(Cl)n1C)CC(C)(C)CC2;classCavinh;1.0;443.0;;1.0;;;classCavinh;SMILES;CC(C)OCc1ccccc1CNC(=O)c1c2c(c(Cl)n1C)CC(C)(C)CC2;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
26;CC(C)[C@@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1;146;;1.0;;;classCavinh;SMILES;CC(C)[C@@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1;classCavinh;1.0;137.0;;1.0;;;classCavinh;SMILES;CC(C)[C@@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
27;CC1=C(C(=O)OCCCCCCCCCC[N+](C)(C)C)C(c2cccc3nonc23)C(C(=O)OC(C)C)=C(C)N1;97;;1.0;;;classCavinh;SMILES;CC1=C(C(=O)OCCCCCCCCCC[N+](C)(C)C)C(c2cccc3nonc23)C(C(=O)OC(C)C)=C(C)N1;classCavinh;1.0;;;;;;;;;;;1;1.0;1.0;;1.0;valid
28;CC1CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1;197;;1.0;;;classCavinh;SMILES;CC1CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1;classCavinh;1.0;432.0;;1.0;;;classCavinh;SMILES;CC1CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
29;CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1;198;;0.0;;;classCavinh;SMILES;CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1;classCavinh;0.0;;;;;;;;;;;0;0.0;0.0;;0.0;valid
30;CCCC[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)COC)[C@@H](C(C)C)c2ccc(F)cc21;61;;1.0;;;classCavinh;SMILES;CCCC[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)COC)[C@@H](C(C)C)c2ccc(F)cc21;classCavinh;1.0;168.0;;1.0;;;classCavinh;SMILES;CCCC[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)COC)[C@@H](C(C)C)c2ccc(F)cc21;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
