ID_all;SMILES;ID_avdeef;orig_ID_avdeef;yorig_avdeef;CAS_avdeef;NAME_avdeef;units_avdeef;smilessource_avdeef;pka_avdeef;SMILES_avdeef;desired_units_avdeef;y_avdeef;ID_sander;orig_ID_sander;yorig_sander;CAS_sander;NAME_sander;units_sander;smilessource_sander;pka_sander;SMILES_sander;desired_units_sander;y_sander;ID_liao;orig_ID_liao;yorig_liao;CAS_liao;NAME_liao;units_liao;smilessource_liao;pka_liao;SMILES_liao;desired_units_liao;y_liao;ID_qtbx;orig_ID_qtbx;yorig_qtbx;CAS_qtbx;NAME_qtbx;units_qtbx;smilessource_qtbx;SMILES_qtbx;desired_units_qtbx;y_qtbx;ID_settimo;orig_ID_settimo;yorig_settimo;CAS_settimo;NAME_settimo;units_settimo;smilessource_settimo;pka_settimo;SMILES_settimo;desired_units_settimo;y_settimo
0;C#CCN(C)[C@H](C)Cc1ccc(F)cc1;55.0;56.0;7.42;;p-F-deprenyl;pKa;isoSMILES_from_NAME;base;C#CCN(C)[C@H](C)Cc1ccc(F)cc1;pKa;7.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;C#CCN(C)[C@H](C)Cc1ccccc1;56.0;57.0;7.48;;Deprenyl;pKa;isoSMILES_from_NAME;base;C#CCN(C)[C@H](C)Cc1ccccc1;pKa;7.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;C=CCOc1ccccc1OCC(O)CNC(C)C;117.0;118.0;9.57;;oxprenolol;pKa;isoSMILES_from_NAME;base;C=CCOc1ccccc1OCC(O)CNC(C)C;pKa;9.57;;;;;;;;;;;;;;;;;;;;;;;4678;11988;9.56999969482421;No CAS number;;pKa;SMILES;C=CCOc1ccccc1OCC(O)CNC(C)C;pKa;9.56999969482421;;;;;;;;;;;
3;C=CCc1ccccc1OCC(O)CNC(C)C;107.0;108.0;9.51;;alprenolol;pKa;isoSMILES_from_NAME;base;C=CCc1ccccc1OCC(O)CNC(C)C;pKa;9.51;5618;fdi``@K@edbbTRbQrtEj`bJJZ`@@;9.59;;;pKa;Smiles;a1/apparent;C=CCc1ccccc1OCC(O)CNC(C)C;pKa;9.59;;;;;;;;;;;;4646;11987;9.59000015258789;No CAS number;;pKa;SMILES;C=CCc1ccccc1OCC(O)CNC(C)C;pKa;9.59000015258789;;;;;;;;;;;
4;C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12;81.0;82.0;8.55;;Quinine;pKa;isoSMILES_from_NAME;base;C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12;pKa;8.55;5260;fa{P`@I^A[IELeLhmCEDelsbcYKfm@@AEUUTaQMDNHsPT`@;8.26;;;pKa;Smiles;b1/apparent;C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12;pKa;8.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;CC(=O)O;40.0;41.0;4.55;;acetic acid;pKa;isoSMILES_from_NAME;acid;CC(=O)O;pKa;4.55;7227;gC``@dfZ@@;4.7;;;pKa;Smiles;a1/apparent;CC(=O)O;pKa;4.7;71;2;4.756;;;pKa;Smiles string;acid;CC(=O)O;pKa;4.756;;;;;;;;;;;;;;;;;;;;;
6;CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C;114.0;115.0;9.54;;metipranolol;pKa;isoSMILES_from_NAME;base;CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C;pKa;9.54;;;;;;;;;;;;;;;;;;;;;;;4745;11982;9.53999996185302;No CAS number;;pKa;SMILES;CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C;pKa;9.53999996185302;;;;;;;;;;;
7;CC(=O)Oc1ccc2c3c1O[C@@H]1C(OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314;67.0;68.0;7.96;;Diacetylmorphine;pKa;isoSMILES_from_NAME;base;CC(=O)Oc1ccc2c3c1O[C@@H]1C(OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314;pKa;7.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;CC(=O)Oc1ccccc1C(=O)O;26.0;27.0;3.5;;acetylsalicylic acid;pKa;isoSMILES_from_NAME;acid;CC(=O)Oc1ccccc1C(=O)O;pKa;3.5;;;;;;;;;;;;82;24;3.47;;;pKa;Smiles string;acid;CC(=O)Oc1ccccc1C(=O)O;pKa;3.47;[22348, 21904, 21905, 21968, 17204, 21557, 21558, 21014];5;3.652500033378596;50-78-2;[nan, nan, nan, nan, nan, nan, nan, nan];pKa;SMILES;CC(=O)Oc1ccccc1C(=O)O;pKa;3.652500033378596;;;;;;;;;;;
9;CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1;28.0;29.0;3.73;;flamprop;pKa;isoSMILES_from_NAME;acid;CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1;pKa;3.73;;;;;;;;;;;;;;;;;;;;;;;[20848, 20893];5585;3.72500002384185;No CAS number;;pKa;SMILES;CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1;pKa;3.72500002384185;;;;;;;;;;;
