ID_all;SMILES;ID_Bocci;orig_ID_Bocci;yorig_Bocci;CAS_Bocci;NAME_Bocci;units_Bocci;smilessource_Bocci;SMILES_Bocci;desired_units_Bocci;y_Bocci;ID_Metrabase;orig_ID_Metrabase;yorig_Metrabase;CAS_Metrabase;NAME_Metrabase;units_Metrabase;smilessource_Metrabase;SMILES_Metrabase;desired_units_Metrabase;y_Metrabase;ID_Sedykh;orig_ID_Sedykh;yorig_Sedykh;CAS_Sedykh;NAME_Sedykh;units_Sedykh;smilessource_Sedykh;SMILES_Sedykh;desired_units_Sedykh;y_Sedykh;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;comparison_Bocci_Metrabase;onlyequal_Bocci_Metrabase;comparison_Bocci_Sedykh;onlyequal_Bocci_Sedykh;comparison_Bocci_Livertox;onlyequal_Bocci_Livertox;comparison_Metrabase_Sedykh;onlyequal_Metrabase_Sedykh;comparison_Metrabase_Livertox;onlyequal_Metrabase_Livertox;comparison_Sedykh_Livertox;onlyequal_Sedykh_Livertox;y_Metrabase_nonambiguous;y_Bocci_nonambiguous;y_Sedykh_nonambiguous;y_Livertox_nonambiguous;y_consensus;valid/outlier
0;CCCCCCCCCCOC(C)c1c(C)c2cc3nc(c4c5[nH]c(cc6nc(cc1[nH]2)C(C)=C6CC)c(C)c5C(=O)C4)[C@@H](CCC(=O)O)[C@@H]3C;0.0;;1.0;;(3S,4S)-9-[1-(decyloxy)ethyl]-14-ethyl-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoic acid;classBCRPsub;SMILES;CCCCCCCCCCOC(C)c1c(C)c2cc3nc(c4c5[nH]c(cc6nc(cc1[nH]2)C(C)=C6CC)c(C)c5C(=O)C4)[C@@H](CCC(=O)O)[C@@H]3C;classBCRPsub;1.0;10.0;mbcd0030232;1.0;;(3S,4S)-9-[1-(decyloxy)ethyl]-14-ethyl-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoic acid;classBCRPsub;smiles;CCCCCCCCCCOC(C)c1c(C)c2cc3nc(c4c5[nH]c(cc6nc(cc1[nH]2)C(C)=C6CC)c(C)c5C(=O)C4)[C@@H](CCC(=O)O)[C@@H]3C;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
1;Cn1c(N)nc2ncc(-c3ccccc3)cc21;1.0;;1.0;;1-methyl-6-phenyl-imidazo[4,5-b]pyridin-2-amine;classBCRPsub;SMILES;Cn1c(N)nc2ncc(-c3ccccc3)cc21;classBCRPsub;1.0;160.0;mbcd0000043;1.0;;2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine;classBCRPsub;smiles;Cn1c(N)nc2ncc(-c3ccccc3)cc21;classBCRPsub;1.0;1.0;2449.0;1.0;105650235.0;1-Methyl-6-phenyl-imidazo[4,5-b]pyridin-2-amine (PhIP);classBCRPsub;SMILES;Cn1c(N)nc2ncc(-c3ccccc3)cc21;classBCRPsub;1.0;1576.0;1576.0;1.0;;mol_0196;classBCRPsub;SMILES;Cn1c(N)nc2ncc(-c3ccccc3)cc21;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;valid
2;COc1cc2c(=O)n(CCNCCN(C)C)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;2.0;;1.0;;12-(2-{[2-(dimethylamino)ethyl]amino}ethyl)-2,3-dimethoxybenzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one;classBCRPsub;SMILES;COc1cc2c(=O)n(CCNCCN(C)C)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;classBCRPsub;1.0;263.0;mbcd0030143;1.0;;12-(2-{[2-(Dimethylamino)ethyl]amino}ethyl)-2,3-dimethoxybenzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one;classBCRPsub;smiles;COc1cc2c(=O)n(CCNCCN(C)C)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;classBCRPsub;1.0;;;;;;;;;;;1387.0;1387.0;1.0;;mol_0420;classBCRPsub;SMILES;COc1cc2c(=O)n(CCNCCN(C)C)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
3;COc1cc2c(=O)n(CCNC(CO)CO)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;3.0;;1.0;;12-{2-[(1,3-dihydroxy-2-propanyl)amino]ethyl}-2,3-dimethoxybenzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one;classBCRPsub;SMILES;COc1cc2c(=O)n(CCNC(CO)CO)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;classBCRPsub;1.0;205.0;mbcd0030144;1.0;;12-{2-[(1,3-Dihydroxy-2-propanyl)amino]ethyl}-2,3-dimethoxybenzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one;classBCRPsub;smiles;COc1cc2c(=O)n(CCNC(CO)CO)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;classBCRPsub;1.0;;;;;;;;;;;1386.0;1386.0;1.0;;mol_0421;classBCRPsub;SMILES;COc1cc2c(=O)n(CCNC(CO)CO)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
4;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O;4.0;;1.0;;17beta-estradiol sulfate;classBCRPsub;SMILES;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
5;Cn1c(N)nc2c3cccnc3ccc21;5.0;;1.0;;2-amino-3-methylimidazo[4,5-f] quinoline;classBCRPsub;SMILES;Cn1c(N)nc2c3cccnc3ccc21;classBCRPsub;1.0;337.0;mbcd0029933;1.0;;2-amino-3-methylimidazp[4,5-f]quinoline;classBCRPsub;smiles;Cn1c(N)nc2c3cccnc3ccc21;classBCRPsub;1.0;;;;;;;;;;;1574.0;1574.0;1.0;;mol_0360;classBCRPsub;SMILES;Cn1c(N)nc2c3cccnc3ccc21;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
6;[NH3+][C@@H](CCC(=O)N[C@@H](CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-];6.0;;1.0;;2,4-dinitrophenyl-S-glutathione;classBCRPsub;SMILES;[NH3+][C@@H](CCC(=O)N[C@@H](CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-];classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
7;CCC1=C(C)c2cc3[nH]c(cc4nc(c5c6[nH]c(cc1n2)c(C)c6C(=O)C5)[C@@H](CCC(=O)O)[C@@H]4C)c(C)c3C(C)OCc1cccc(I)c1;7.0;;1.0;;3-(1'-m-iodobenzyloxy) pyropheophorbide-a;classBCRPsub;SMILES;CCC1=C(C)c2cc3[nH]c(cc4nc(c5c6[nH]c(cc1n2)c(C)c6C(=O)C5)[C@@H](CCC(=O)O)[C@@H]4C)c(C)c3C(C)OCc1cccc(I)c1;classBCRPsub;1.0;299.0;mbcd0030233;1.0;;3-(1'-m-iodobenzyloxy) pyropheophorbide-a;classBCRPsub;smiles;CCC1=C(C)c2cc3[nH]c(cc4nc(c5c6[nH]c(cc1n2)c(C)c6C(=O)C5)[C@@H](CCC(=O)O)[C@@H]4C)c(C)c3C(C)OCc1cccc(I)c1;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;;;1.0;valid
8;Cc1c(N)nc(C)c2c1[nH]c1ccccc12;8.0;;1.0;;3-amino-1,4-dimethyl-5H-pyrido[4,3-b] indole;classBCRPsub;SMILES;Cc1c(N)nc(C)c2c1[nH]c1ccccc12;classBCRPsub;1.0;331.0;mbcd0029309;1.0;;Tryptophan P 1;classBCRPsub;smiles;Cc1c(N)nc(C)c2c1[nH]c1ccccc12;classBCRPsub;1.0;;;;;;;;;;;1565.0;1565.0;1.0;;mol_0336;classBCRPsub;SMILES;Cc1c(N)nc(C)c2c1[nH]c1ccccc12;classBCRPsub;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;valid
9;O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1CC(O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1O;9.0;;1.0;;3,5-di-O-caffeoylquinic acid;classBCRPsub;SMILES;O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1CC(O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1O;classBCRPsub;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;;;1.0;valid
