ID_all;SMILES;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;y_consensus;valid/outlier
0;CC1(C)CC23C4COC(=O)C2CCC1C3CC4=O;0;;1;;284437;classBSEPsub;SMILES;CC1(C)CC23C4COC(=O)C2CCC1C3CC4=O;classBSEPsub;1;1;valid
1;C=CCn1c2ccccc2c2c(C)c3cnccc3c(C)c21;1;;1;;150834;classBSEPsub;SMILES;C=CCn1c2ccccc2c2c(C)c3cnccc3c(C)c21;classBSEPsub;1;1;valid
2;CC1=CC(=O)C(C)=CC1=O;2;;1;;15309;classBSEPsub;SMILES;CC1=CC(=O)C(C)=CC1=O;classBSEPsub;1;1;valid
3;CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)C1=CC(O)C1OC12;3;;1;;117180;classBSEPsub;SMILES;CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)C1=CC(O)C1OC12;classBSEPsub;1;1;valid
4;O=C1C(CO)=CC(O)C2OC12;4;;1;;326233;classBSEPsub;SMILES;O=C1C(CO)=CC(O)C2OC12;classBSEPsub;1;1;valid
5;COC1=CC(=O)C=C(OC)C1=O;5;;1;;24500;classBSEPsub;SMILES;COC1=CC(=O)C=C(OC)C1=O;classBSEPsub;1;1;valid
6;Cc1c2ccnc(C(N)=O)c2c(C)c2c1[nH]c1ccccc12;6;;1;;335142;classBSEPsub;SMILES;Cc1c2ccnc(C(N)=O)c2c(C)c2c1[nH]c1ccccc12;classBSEPsub;1;1;valid
7;C=C1C(=O)OC2C1CC/C(C)=C\CCC1(C)OC21;7;;1;;157035;classBSEPsub;SMILES;C=C1C(=O)OC2C1CC/C(C)=C\CCC1(C)OC21;classBSEPsub;1;1;valid
8;CN(C)CC1CCC(CN(C)C)C(=O)C1=O;8;;1;;651593;classBSEPsub;SMILES;CN(C)CC1CCC(CN(C)C)C(=O)C1=O;classBSEPsub;1;1;valid
9;C=C1C(=O)OC2CC1CCC1(C)OC1CC/C(C)=C\CCC2(C)O;9;;1;;285706;classBSEPsub;SMILES;C=C1C(=O)OC2CC1CCC1(C)OC1CC/C(C)=C\CCC2(C)O;classBSEPsub;1;1;valid
10;Cc1c(O)c(O)c2c(c1O)O2;10;;1;;294734;classBSEPsub;SMILES;Cc1c(O)c(O)c2c(c1O)O2;classBSEPsub;1;1;valid
11;Cc1c2cnccc2c(C)c2c1c1ccccc1n2CCOC(=O)c1ccccc1;11;;1;;163443;classBSEPsub;SMILES;Cc1c2cnccc2c(C)c2c1c1ccccc1n2CCOC(=O)c1ccccc1;classBSEPsub;1;1;valid
12;COC1=CC(=O)c2c(c(O)c3oc4cc(OC)cc(C)c4c(=O)c3c2O)C1=O;12;;1;;215139;classBSEPsub;SMILES;COC1=CC(=O)c2c(c(O)c3oc4cc(OC)cc(C)c4c(=O)c3c2O)C1=O;classBSEPsub;1;1;valid
13;CC1CSC(=S)N1C(=O)N1C(=S)SCC1C;13;;1;;654968;classBSEPsub;SMILES;CC1CSC(=S)N1C(=O)N1C(=S)SCC1C;classBSEPsub;1;1;valid
14;C=CCCCCn1c2ccccc2c2c(C)c3cnccc3c(C)c21;14;;1;;162907;classBSEPsub;SMILES;C=CCCCCn1c2ccccc2c2c(C)c3cnccc3c(C)c21;classBSEPsub;1;1;valid
15;COc1ccc2c(c1O)-c1cc(O)cc3c1C(C2)N(C)CC3;15;;1;;43486;classBSEPsub;SMILES;COc1ccc2c(c1O)-c1cc(O)cc3c1C(C2)N(C)CC3;classBSEPsub;1;1;valid
16;C=C1C(=O)OC2/C=C(/C)CC3C=C(CC/C=C(/C)CCC12)C(=O)O3;16;;1;;156130;classBSEPsub;SMILES;C=C1C(=O)OC2/C=C(/C)CC3C=C(CC/C=C(/C)CCC12)C(=O)O3;classBSEPsub;1;1;valid
17;O=C1C2CCN(CC2)C1CN1CCOCC1;17;;1;;150094;classBSEPsub;SMILES;O=C1C2CCN(CC2)C1CN1CCOCC1;classBSEPsub;1;1;valid
18;CCCCCCCC/C=C/CCCCCCCC(=O)O;18;;1;;9856;classBSEPsub;SMILES;CCCCCCCC/C=C/CCCCCCCC(=O)O;classBSEPsub;1;1;valid
19;COc1ccc2[nH]c3c4c(ccc3c2c1)C(=O)C=CC4=O;19;;1;;641395;classBSEPsub;SMILES;COc1ccc2[nH]c3c4c(ccc3c2c1)C(=O)C=CC4=O;classBSEPsub;1;1;valid
20;CC(=O)OCC1C(=O)OCC1C(=O)N1Cc2cc3ccccc3nc2C1;20;;1;;138333;classBSEPsub;SMILES;CC(=O)OCC1C(=O)OCC1C(=O)N1Cc2cc3ccccc3nc2C1;classBSEPsub;1;1;valid
21;COc1cc2c(cc1OC)-c1c3c(cc4c1C(C2)N(C)CC4)OCO3;21;;1;;251699;classBSEPsub;SMILES;COc1cc2c(cc1OC)-c1c3c(cc4c1C(C2)N(C)CC4)OCO3;classBSEPsub;1;1;valid
22;O=C1C=CC(=O)c2c1ccc1c3ccccc3n(-c3ccccc3)c21;22;;1;;641394;classBSEPsub;SMILES;O=C1C=CC(=O)c2c1ccc1c3ccccc3n(-c3ccccc3)c21;classBSEPsub;1;1;valid
23;[C-]#[N+]/C=C/c1cc(O)ccc1O;23;;1;;632129;classBSEPsub;SMILES;[C-]#[N+]/C=C/c1cc(O)ccc1O;classBSEPsub;1;1;valid
24;CCN(CC)CCSc1c2ccccc2nc2c(OC)ccc(OC)c12;24;;1;;625985;classBSEPsub;SMILES;CCN(CC)CCSc1c2ccccc2nc2c(OC)ccc(OC)c12;classBSEPsub;1;1;valid
