ID_all;SMILES;ID_Li;orig_ID_Li;yorig_Li;CAS_Li;NAME_Li;units_Li;smilessource_Li;SMILES_Li;desired_units_Li;y_Li;y_consensus;valid/outlier
0;C#CCCOC(=O)Nc1ccc2c(c1)sc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc12;1083;CHEMBL563407;0;;;classHLM;SMILES;C#CCCOC(=O)Nc1ccc2c(c1)sc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc12;classHLM;0;0;valid
1;C#CCN1CCN(C(c2ccc(F)cc2)c2nnnn2Cc2ccccc2)CC1;1407;CHEMBL1223010;1;;;classHLM;SMILES;C#CCN1CCN(C(c2ccc(F)cc2)c2nnnn2Cc2ccccc2)CC1;classHLM;1;1;valid
2;C#CC[C@]1(C)CN(C2CCCC2)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C1O;950;CHEMBL582802;0;;;classHLM;SMILES;C#CC[C@]1(C)CN(C2CCCC2)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C1O;classHLM;0;0;valid
3;C#Cc1ccc(Nc2c(C(=O)NOCCO)c3c(n2C)C(=O)CC3)c(F)c1;2665;CHEMBL2012901;0;;;classHLM;SMILES;C#Cc1ccc(Nc2c(C(=O)NOCCO)c3c(n2C)C(=O)CC3)c(F)c1;classHLM;0;0;valid
4;C#Cc1ccc(Nc2c(C(=O)NOCCO)c3c(n2C)C(=O)CCC3)c(F)c1;2551;CHEMBL2012899;0;;;classHLM;SMILES;C#Cc1ccc(Nc2c(C(=O)NOCCO)c3c(n2C)C(=O)CCC3)c(F)c1;classHLM;0;0;valid
5;C#Cc1ccc(Nc2c(C(=O)NOCCO)c3n(c(=O)c2F)CCC3)c(F)c1;2684;CHEMBL2012906;0;;;classHLM;SMILES;C#Cc1ccc(Nc2c(C(=O)NOCCO)c3n(c(=O)c2F)CCC3)c(F)c1;classHLM;0;0;valid
6;C#Cc1ccc(Nc2c(C(=O)NOCCO)cc(/C=N/OCCO)c(F)c2F)c(F)c1;2088;CHEMBL1684486;0;;;classHLM;SMILES;C#Cc1ccc(Nc2c(C(=O)NOCCO)cc(/C=N/OCCO)c(F)c2F)c(F)c1;classHLM;0;0;valid
7;C#Cc1ccc(Nc2c(C(=O)NOC[C@H](O)CO)c3c(n2C)C(=O)CCC3)c(F)c1;2838;CHEMBL2012900;0;;;classHLM;SMILES;C#Cc1ccc(Nc2c(C(=O)NOC[C@H](O)CO)c3c(n2C)C(=O)CCC3)c(F)c1;classHLM;0;0;valid
8;C#Cc1ccc(Nc2c(F)c(=O)n(C)c3ncn(C[C@@H](O)CO)c(=O)c23)c(F)c1;2017;CHEMBL1684069;0;;;classHLM;SMILES;C#Cc1ccc(Nc2c(F)c(=O)n(C)c3ncn(C[C@@H](O)CO)c(=O)c23)c(F)c1;classHLM;0;0;valid
9;C#Cc1cccc(-c2ccc(CN3CCN(C)CC3)o2)c1Cc1ccc2c(c1C)C=CC2;814;CHEMBL570865;1;;;classHLM;SMILES;C#Cc1cccc(-c2ccc(CN3CCN(C)CC3)o2)c1Cc1ccc2c(c1C)C=CC2;classHLM;1;1;valid
10;C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O;2365;CHEMBL1650422;0;;;classHLM;SMILES;C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O;classHLM;0;0;valid
11;C/C(=C\c1nn(CCC(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O)C(F)(F)F;492;CHEMBL258899;1;;;classHLM;SMILES;C/C(=C\c1nn(CCC(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O)C(F)(F)F;classHLM;1;1;valid
12;C/C(CCCCN1C(=O)C(CCOc2ccccc2CC(=O)O)Oc2ccccc21)=N\O;80;CHEMBL177755;0;;;classHLM;SMILES;C/C(CCCCN1C(=O)C(CCOc2ccccc2CC(=O)O)Oc2ccccc21)=N\O;classHLM;0;0;valid
13;C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;2528;CHEMBL160;1;;;classHLM;SMILES;C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;classHLM;1;1;valid
14;C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;1557;CHEMBL1213341;0;;;classHLM;SMILES;C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;classHLM;0;0;valid
15;C/C=C/[C@H]1CN(C(=O)c2cc(-c3ccc(F)cc3)on2)[C@@H](CC(C)C)C(=O)N1;3434;CHEMBL3120414;1;;;classHLM;SMILES;C/C=C/[C@H]1CN(C(=O)c2cc(-c3ccc(F)cc3)on2)[C@@H](CC(C)C)C(=O)N1;classHLM;1;1;valid
16;C/N=c1/c(S(=O)(=O)c2ccccc2)c(SC)nc2ccccn12;3393;CHEMBL3113355;1;;;classHLM;SMILES;C/N=c1/c(S(=O)(=O)c2ccccc2)c(SC)nc2ccccn12;classHLM;1;1;valid
17;C1=C/CN(C2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1;2792;CHEMBL1944701;0;;;classHLM;SMILES;C1=C/CN(C2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1;classHLM;0;0;valid
18;C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1;2585;CHEMBL1947162;0;;;classHLM;SMILES;C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1;classHLM;0;0;valid
19;C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1;2796;CHEMBL2035185;0;;;classHLM;SMILES;C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1;classHLM;0;0;valid
20;C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1;2786;CHEMBL2035183;0;;;classHLM;SMILES;C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1;classHLM;0;0;valid
21;C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2coc(c2)COC/1;2788;CHEMBL2035186;0;;;classHLM;SMILES;C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2coc(c2)COC/1;classHLM;0;0;valid
22;C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1;2787;CHEMBL2035184;0;;;classHLM;SMILES;C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1;classHLM;0;0;valid
23;C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1;2242;CHEMBL2181330;0;;;classHLM;SMILES;C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1;classHLM;0;0;valid
24;C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1;2241;CHEMBL2181331;0;;;classHLM;SMILES;C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1;classHLM;0;0;valid
25;C1CCC(NCC2CCC3(CC2)OOC2(CCCCC2)OO3)CC1;531;CHEMBL259647;1;;;classHLM;SMILES;C1CCC(NCC2CCC3(CC2)OOC2(CCCCC2)OO3)CC1;classHLM;1;1;valid
26;C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCN(CCCCC(=O)O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;2737;CHEMBL2179591;0;;;classHLM;SMILES;C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCN(CCCCC(=O)O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;classHLM;0;0;valid
27;C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCC(=O)N[C@@H](CCC(N)=O)C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;2544;CHEMBL2057548;0;;;classHLM;SMILES;C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCC(=O)N[C@@H](CCC(N)=O)C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;classHLM;0;0;valid
28;C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCC(=O)N[C@@H](CCC(N)=O)C(=O)OCc3ccccc3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;2567;CHEMBL2057550;0;;;classHLM;SMILES;C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCC(=O)N[C@@H](CCC(N)=O)C(=O)OCc3ccccc3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;classHLM;0;0;valid
29;C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCNC(=O)[C@H](CCC(N)=O)NC(=O)OC(C)(C)C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;2496;CHEMBL2057863;1;;;classHLM;SMILES;C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCNC(=O)[C@H](CCC(N)=O)NC(=O)OC(C)(C)C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;classHLM;1;1;valid
30;C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCNC(C)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;2527;CHEMBL508943;1;;;classHLM;SMILES;C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCNC(C)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;classHLM;1;1;valid
31;C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCC#N)c2cnccc21;1831;CHEMBL233786;1;;;classHLM;SMILES;C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCC#N)c2cnccc21;classHLM;1;1;valid
32;C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCC#N)c2ncccc21;238;CHEMBL234027;1;;;classHLM;SMILES;C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCC#N)c2ncccc21;classHLM;1;1;valid
33;C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5;892;CHEMBL982;1;;;classHLM;SMILES;C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5;classHLM;1;1;valid
34;C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)NCc4ccc(C(C)(C)C)cc4)c3)c3c(N)ncnc32)C1;2415;CHEMBL2179806;1;;;classHLM;SMILES;C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)NCc4ccc(C(C)(C)C)cc4)c3)c3c(N)ncnc32)C1;classHLM;1;1;valid
35;C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)c(C)c4)c3)c3c(N)ncnc32)C1;2433;CHEMBL2179805;1;;;classHLM;SMILES;C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)c(C)c4)c3)c3c(N)ncnc32)C1;classHLM;1;1;valid
36;C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)cc4)c3)c3c(N)ncnc32)C1;2414;CHEMBL2179804;1;;;classHLM;SMILES;C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)cc4)c3)c3c(N)ncnc32)C1;classHLM;1;1;valid
37;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Cl)c(Cl)c2F)n1;2823;CHEMBL2035828;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Cl)c(Cl)c2F)n1;classHLM;0;0;valid
38;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(F)c(Cl)c2)n1;2482;CHEMBL2035827;1;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(F)c(Cl)c2)n1;classHLM;1;1;valid
39;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1;2576;CHEMBL2035813;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1;classHLM;0;0;valid
40;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(Cl)c2)n1;2525;CHEMBL2035810;1;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(Cl)c2)n1;classHLM;1;1;valid
41;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(F)c2)n1;2534;CHEMBL2035812;1;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(F)c2)n1;classHLM;1;1;valid
42;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3cc(C(F)(F)F)nn3C)c(Cl)c2)n1;2825;CHEMBL2035815;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3cc(C(F)(F)F)nn3C)c(Cl)c2)n1;classHLM;0;0;valid
43;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3cc(Cl)ccc3Cl)c(Cl)c2)n1;2656;CHEMBL2035817;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3cc(Cl)ccc3Cl)c(Cl)c2)n1;classHLM;0;0;valid
44;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccc(C)nc3)c(C)c2)n1;2562;CHEMBL2035826;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccc(C)nc3)c(C)c2)n1;classHLM;0;0;valid
45;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccc(F)cc3)c(Cl)c2)n1;2822;CHEMBL2035822;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccc(F)cc3)c(Cl)c2)n1;classHLM;0;0;valid
46;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3cccc(F)c3)c(Cl)c2)n1;2821;CHEMBL2035821;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3cccc(F)c3)c(Cl)c2)n1;classHLM;0;0;valid
47;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccccc3)c(Cl)c2)n1;2826;CHEMBL2035816;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccccc3)c(Cl)c2)n1;classHLM;0;0;valid
48;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccccc3F)c(Cl)c2)n1;2575;CHEMBL2035820;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccccc3F)c(Cl)c2)n1;classHLM;0;0;valid
49;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccccn3)c(Cl)c2)n1;2561;CHEMBL2035823;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccccn3)c(Cl)c2)n1;classHLM;0;0;valid
50;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3cccnc3)c(Cl)c2)n1;2478;CHEMBL2035824;1;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3cccnc3)c(Cl)c2)n1;classHLM;1;1;valid
51;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccnn3C)c(Cl)c2)n1;2824;CHEMBL2035814;0;;;classHLM;SMILES;C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccnn3C)c(Cl)c2)n1;classHLM;0;0;valid
52;C=CCCCS(=O)(=O)NC(=O)c1ccccc1NC(=O)[C@@H](NC(=O)OC(C)(C)C)c1ccc(Oc2cc(OC)nc(-c3ccccc3)n2)c(C=C)c1;3446;CHEMBL3125171;1;;;classHLM;SMILES;C=CCCCS(=O)(=O)NC(=O)c1ccccc1NC(=O)[C@@H](NC(=O)OC(C)(C)C)c1ccc(Oc2cc(OC)nc(-c3ccccc3)n2)c(C=C)c1;classHLM;1;1;valid
53;C=CCN(C(=O)CCC(=O)Nc1ccc(-c2ccc(OCC(=O)O)cc2)cc1Cl)c1ccc(C(C)(C)C)cc1Cl;225;CHEMBL231443;1;;;classHLM;SMILES;C=CCN(C(=O)CCC(=O)Nc1ccc(-c2ccc(OCC(=O)O)cc2)cc1Cl)c1ccc(C(C)(C)C)cc1Cl;classHLM;1;1;valid
54;C=CCNC(=O)/C=C/C=C(\C)[C@@H]1C/C=C/C=C/[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(C)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cccc(O)c2)C(=O)N2CCCC(N2)C(=O)O1;2517;CHEMBL3220750;1;;;classHLM;SMILES;C=CCNC(=O)/C=C/C=C(\C)[C@@H]1C/C=C/C=C/[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(C)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cccc(O)c2)C(=O)N2CCCC(N2)C(=O)O1;classHLM;1;1;valid
55;C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21;[213, 212, 205];CHEMBL395506;1;;;classHLM;SMILES;C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21;classHLM;1;1;valid
56;C=CCON/C(=N\C1=NC(=O)C(=O)N1C(C)C)Nc1ccc(Cl)c(Cl)c1;2254;CHEMBL1673009;0;;;classHLM;SMILES;C=CCON/C(=N\C1=NC(=O)C(=O)N1C(C)C)Nc1ccc(Cl)c(Cl)c1;classHLM;0;0;valid
