ID_all;SMILES;ID_DeepPK;orig_ID_DeepPK;yorig_DeepPK;CAS_DeepPK;NAME_DeepPK;units_DeepPK;smilessource_DeepPK;SMILES_DeepPK;desired_units_DeepPK;y_DeepPK;ID_Metrabase;orig_ID_Metrabase;yorig_Metrabase;CAS_Metrabase;NAME_Metrabase;units_Metrabase;smilessource_Metrabase;SMILES_Metrabase;desired_units_Metrabase;y_Metrabase;comparison_DeepPK_Metrabase;onlyequal_DeepPK_Metrabase;y_Metrabase_nonambiguous;y_DeepPK_nonambiguous;y_consensus;valid/outlier
0;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C;[1914, 917, 2911];917.0;0.0;;;classOATP1b3sub;smiles_standarized;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
1;C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C;[721, 2715, 1718];721.0;0.0;;;classOATP1b3sub;smiles_standarized;C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
2;C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;[2864, 1867, 870];870.0;0.0;;;classOATP1b3sub;smiles_standarized;C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
3;C#CCN(C)CCCOc1ccc(Cl)cc1Cl;[1882, 885, 2879];885.0;0.0;;;classOATP1b3sub;smiles_standarized;C#CCN(C)CCCOc1ccc(Cl)cc1Cl;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
4;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;[1488, 491, 2485];491.0;0.0;;;classOATP1b3sub;smiles_standarized;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
5;C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N;[2057, 1060, 63];63.0;0.0;;;classOATP1b3sub;smiles_standarized;C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
6;C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O;[160, 2154, 1157];160.0;0.0;;;classOATP1b3sub;smiles_standarized;C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
7;C/C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C;[458, 2452, 1455];458.0;1.0;;;classOATP1b3sub;smiles_standarized;C/C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
8;C/C=C(\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C;[688, 2682, 1685];688.0;0.0;;;classOATP1b3sub;smiles_standarized;C/C=C(\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
9;C/C=C(\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O;[760, 2754, 1757];760.0;0.0;;;classOATP1b3sub;smiles_standarized;C/C=C(\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
