ID_all;SMILES;ID_Potts;orig_ID_Potts;yorig_Potts;CAS_Potts;NAME_Potts;units_Potts;smilessource_Potts;SMILES_Potts;desired_units_Potts;y_Potts;ID_Khajeh;orig_ID_Khajeh;yorig_Khajeh;CAS_Khajeh;NAME_Khajeh;units_Khajeh;smilessource_Khajeh;SMILES_Khajeh;desired_units_Khajeh;y_Khajeh;zscore_Potts;zscore_Potts_thres;y_Potts_nointraoutliers;zscore_Potts_nointraoutliers;zscore_Potts_nointraoutliers_thres;zscore_Khajeh;zscore_Khajeh_thres;y_Khajeh_nointraoutliers;zscore_Khajeh_nointraoutliers;zscore_Khajeh_nointraoutliers_thres;stand_desv_Potts_Khajeh_nointraoutliers;y_Potts_nointraoutliers_nointeroutliers;y_Khajeh_nointraoutliers_nointeroutliers;stand_desv_Potts_Khajeh_nointraoutliers_nointeroutliers;y_consensus;y_consensus_sd;valid/outlier
0;BrC(Br)Br;111;112;-0.72685;75-25-2;;logcm/h;isoSMILES_from_CAS;BrC(Br)Br;logcm/h;-0.72685;83;84;-2.36552;;Bromoform ;logcm/h;isoSMILES_from_NAME;BrC(Br)Br;logcm/h;-2.36552;1.7156722245366047;0;-0.72685;1.7156722245366047;0;0.20075155563444594;0;-2.36552;0.1912915625027076;0;0.7494023477960011;;;;;;outlier
1;C/C(Cl)=C/Cl;188;189;-2.0;6923-20-2;;logcm/h;isoSMILES_from_CAS;C/C(Cl)=C/Cl;logcm/h;-2.0;;;;;;;;;;;0.5955756424986215;0;-2.0;0.5955756424986215;0;;-1;;;-1;;-2.0;;;-2.0;;valid
2;C1COCCN1;168;169;-3.86;110-91-8;;logcm/h;isoSMILES_from_CAS;C1COCCN1;logcm/h;-3.86;164;165;-3.86;;Morpholine ;logcm/h;isoSMILES_from_NAME;C1COCCN1;logcm/h;-3.86;-1.040821987466935;0;-3.86;-1.040821987466935;0;-1.3101935991008093;0;-3.86;-1.3557603820017703;0;0.0;-3.86;-3.86;0.0;-3.86;0.0;valid
3;C1COCCO1;169;170;-3.45;123-91-1;;logcm/h;isoSMILES_from_CAS;C1COCCO1;logcm/h;-3.45;258;259;-3.45;;Dioxane ;logcm/h;isoSMILES_from_NAME;C1COCCO1;logcm/h;-3.45;-0.6801106819368934;0;-3.45;-0.6801106819368934;0;-0.8956765005505081;0;-3.45;-0.9313376414854466;0;0.0;-3.45;-3.45;0.0;-3.45;0.0;valid
4;C=C(C)C(=O)O;174;175;-2.58;79-41-4;;logcm/h;isoSMILES_from_CAS;C=C(C)C(=O)O;logcm/h;-2.58;156;157;-2.58;;Methyl acrylic acid ;logcm/h;isoSMILES_from_NAME;C=C(C)C(=O)O;logcm/h;-2.58;0.08530111272441555;0;-2.58;0.08530111272441555;0;-0.01609143777303867;0;-2.58;-0.030733289658124593;0;0.0;-2.58;-2.58;0.0;-2.58;0.0;valid
5;C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl;124;125;-3.80794;58-54-8;;logcm/h;isoSMILES_from_CAS;C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl;logcm/h;-3.80794;;;;;;;;;;;-0.99502044950134;0;-3.80794;-0.99502044950134;0;;-1;;;-1;;-3.80794;;;-3.80794;;valid
6;C=CC#N;170;171;-2.87;107-13-1;;logcm/h;isoSMILES_from_CAS;C=CC#N;logcm/h;-2.87;242;243;-2.87;;Acrylonitrile ;logcm/h;isoSMILES_from_NAME;C=CC#N;logcm/h;-2.87;-0.1698361521626874;0;-2.87;-0.1698361521626874;0;-0.3092864586988618;0;-2.87;-0.3309347402672319;0;0.0;-2.87;-2.87;0.0;-2.87;0.0;valid
7;C=CC(=O)O;257;258;-3.05;79-10-7;;logcm/h;isoSMILES_from_CAS;C=CC(=O)O;logcm/h;-3.05;65;66;-3.05;;Acrylic acid ;logcm/h;isoSMILES_from_NAME;C=CC(=O)O;logcm/h;-3.05;-0.3281972131270959;0;-3.05;-0.3281972131270959;0;-0.4912695751355793;0;-3.05;-0.5172666751280568;0;0.0;-3.05;-3.05;0.0;-3.05;0.0;valid
8;C=CC(=O)OC;228;229;-2.68;96-33-3;;logcm/h;isoSMILES_from_CAS;C=CC(=O)OC;logcm/h;-2.68;155;156;-2.68;;Methyl acrylate ;logcm/h;isoSMILES_from_NAME;C=CC(=O)OC;logcm/h;-2.68;-0.0026772544780338096;0;-2.68;-0.0026772544780338096;0;-0.11719316912677086;0;-2.68;-0.13425103124747204;0;0.0;-2.68;-2.68;0.0;-2.68;0.0;valid
9;C=CC(=O)OCC;220;221;-2.39;140-88-5;;logcm/h;isoSMILES_from_CAS;C=CC(=O)OCC;logcm/h;-2.39;116;117;-2.39;;Ethyl acrylate ;logcm/h;isoSMILES_from_NAME;C=CC(=O)OCC;logcm/h;-2.39;0.2524600104090692;0;-2.39;0.2524600104090692;0;0.17600185179905228;0;-2.39;0.1659504193616353;0;0.0;-2.39;-2.39;0.0;-2.39;0.0;valid
