ID_all;SMILES;y_consensus;valid/outlier;NAME_ChEMBL;CAS_ChEMBL;y_ChEMBL_nointraoutliers;units
0;CC1=C(C)C(=O)O[C@@H]([C@@](C)(O)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@@]56[C@H](C(=O)C=C[C@@H]6O)[C@H]4C[C@@H](O)[C@]23C)C1;2000.0;valid;;;2000.0;nM
1;CC1=C(C)C(O)O[C@@H]([C@](C)(O)C2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1;270.0;valid;;;270.0;nM
2;CCCC/N=C(/N)c1ccc(N2CCN(c3ccc(/C(N)=N\CCCC)cc3)CC2)cc1;91.0;valid;;;91.0;nM
3;CCCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCCC)cc3)CC2)cc1;41.0;valid;;;41.0;nM
4;CCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCC)cc3)CC2)cc1;83.0;valid;;;83.0;nM
5;CCCCNC(=N)c1ccc(N2CCCN(c3ccc(C(=N)NCCCC)cc3)CC2)cc1;357.0;valid;;;357.0;nM
6;CCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCC)cc3)CC2)cc1;1685.0;valid;;;1685.0;nM
7;CN(C(=O)CCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;76.0;valid;;;76.0;nM
8;CN(C(=O)CCCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;303.0;valid;;;303.0;nM
9;CN(C(=O)CCCCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;12.0;valid;;;12.0;nM
10;CN(CCCCCN(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;1990.0;valid;;;1990.0;nM
11;CN(CCOc1ccc(C(=N)N)cc1)CCOc1ccc(C(=N)N)cc1;1730.0;valid;;;1730.0;nM
12;COc1cc(C(=N)N)cc(Br)c1OCCCCCOc1c(Br)cc(C(=N)N)cc1OC;36.0;valid;;;36.0;nM
13;COc1cc(C(=N)N)cc(OC)c1OCCCCCOc1c(OC)cc(C(=N)N)cc1OC;3000.0;valid;;;3000.0;nM
14;COc1cc(C(=N)N)cc(OC)c1OCCN(C)CCOc1c(OC)cc(C(=N)N)cc1OC;6260.0;valid;;;6260.0;nM
15;COc1cc(C(=N)N)cc(OC)c1OCCN(CCOc1c(OC)cc(C(=N)N)cc1OC)S(=O)(=O)c1ccc(N)cc1;4160.0;valid;;;4160.0;nM
16;COc1cc(C(=N)N)cc(OC)c1OCCN(CCOc1c(OC)cc(C(=N)N)cc1OC)S(=O)(=O)c1ccccc1;4400.0;valid;;;4400.0;nM
17;COc1cc(C(=N)N)cc(OC)c1OCCOCCOc1c(OC)cc(C(=N)N)cc1OC;12990.0;valid;;;12990.0;nM
18;COc1cc(C(=N)N)ccc1OCCN(C)CCOc1ccc(C(=N)N)cc1OC;3410.0;valid;;;3410.0;nM
19;COc1cc(C(=N)N)ccc1OCCN(CCOc1ccc(C(=N)N)cc1OC)S(=O)(=O)c1ccc(NC(C)=O)cc1;3710.0;valid;;;3710.0;nM
20;COc1cc(C(=N)N)ccc1OCCN(CCOc1ccc(C(=N)N)cc1OC)S(=O)(=O)c1ccccc1;2660.0;valid;;;2660.0;nM
21;COc1cc(C(=N)N)ccc1OCCOCCOc1ccc(C(=N)N)cc1OC;4210.0;valid;;;4210.0;nM
22;COc1cc(NC(C)CCCN2C(=O)CN(C(C)=O)C2(C)C)c2ncccc2c1;36700.0;valid;;;36700.0;nM
23;COc1cc(NC(C)CCCN2C(=O)CNC2(C)C)c2ncccc2c1;23000.0;valid;;;23000.0;nM
24;COc1cc(NC(C)CCCN2C(=O)CNC23CCCCC3)c2ncccc2c1;;outlier;;;;nM
25;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC2(C)C)c2ncccc2c1;40000.0;valid;;;40000.0;nM
26;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCC3)c2ncccc2c1;23000.0;valid;;;23000.0;nM
27;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCCC3)c2ncccc2c1;26000.0;valid;;;26000.0;nM
28;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCCCC3)c2ncccc2c1;6000.0;valid;;;6000.0;nM
29;COc1cc(NC(C)CCCN2C(=O)[C@H](C)NC23CCC(C)CC3)c2ncccc2c1;23000.0;valid;;;23000.0;nM
30;COc1cc(NC(C)CCCN2C(=O)[C@H](C)NC23CCCCCC3)c2ncccc2c1;1900.0;valid;;;1900.0;nM
31;COc1cc(NC(C)CCCN2C(=O)[C@H](CC(C)C)NC23CCCCCC3)c2ncccc2c1;4100.0;valid;;;4100.0;nM
32;COc1cc(NC(C)CCCN2C(=O)[C@H](Cc3ccccc3)NC2(C)C)c2ncccc2c1;32000.0;valid;;;32000.0;nM
33;COc1cc(NC(C)CCCN2C(=O)[C@H](Cc3ccccc3)NC23CCCC3)c2ncccc2c1;12000.0;valid;;;12000.0;nM
34;Cc1cc(C(=N)N)cc(C)c1OCCN(CCOc1c(C)cc(C(=N)N)cc1C)S(=O)(=O)c1ccccc1;1519.0;valid;;;1519.0;nM
35;Cc1cc(C(=N)N)cc(C)c1OCCOCCOc1c(C)cc(C(=N)N)cc1C;175.0;valid;;;175.0;nM
36;N=C(N)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;9150.0;valid;;;9150.0;nM
37;N=C(N)c1ccc(C(=O)NCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;14330.0;valid;;;14330.0;nM
38;N=C(N)c1ccc(C(=O)NCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;3580.0;valid;;;3580.0;nM
39;N=C(N)c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;2990.0;valid;;;2990.0;nM
40;N=C(N)c1ccc(CN2CCN(Cc3ccc(C(=N)N)cc3)CC2)cc1;109.0;valid;;;109.0;nM
41;N=C(N)c1ccc(COc2ccccc2OCc2ccc(C(=N)N)cc2)cc1;1500.0;valid;;;1500.0;nM
42;N=C(N)c1ccc(N2CCCN(c3ccc(C(=N)N)cc3)CC2)cc1;2000.0;valid;;;2000.0;nM
43;N=C(N)c1ccc(N2CCN(c3ccc(C(=N)N)cc3)CC2)cc1;2600.0;valid;;;2600.0;nM
44;N=C(N)c1ccc(NC(=O)CCC(=O)Nc2ccc(C(=N)N)cc2)cc1;442.0;valid;;;442.0;nM
45;N=C(N)c1ccc(NC(=O)CCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;2.0;valid;;;2.0;nM
46;N=C(N)c1ccc(NC(=O)CCCCC(=O)Nc2cccc(C(=N)N)c2)cc1;2270.0;valid;;;2270.0;nM
47;N=C(N)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;2370.0;valid;;;2370.0;nM
48;N=C(N)c1ccc(NC(=O)CCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;1950.0;valid;;;1950.0;nM
49;N=C(N)c1ccc(NC(=O)CCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;2440.0;valid;;;2440.0;nM
50;N=C(N)c1ccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;4280.0;valid;;;4280.0;nM
51;N=C(N)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;3070.0;valid;;;3070.0;nM
52;N=C(N)c1ccc(NC(=O)COCC(=O)Nc2ccc(C(=N)N)cc2)cc1;146.0;valid;;;146.0;nM
53;N=C(N)c1ccc(NC(=O)CSCC(=O)Nc2ccc(C(=N)N)cc2)cc1;568.0;valid;;;568.0;nM
54;N=C(N)c1ccc(NC(=O)[C@H]2C[C@H]2C(=O)Nc2ccc(C(=N)N)cc2)cc1;5300.0;valid;;;5300.0;nM
55;N=C(N)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=N)N)cc3)cc2)cc1;22800.0;valid;;;22800.0;nM
56;N=C(N)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C(=N)N)cc3)c2)cc1;1200.0;valid;;;1200.0;nM
57;N=C(N)c1ccc(NCCOCCNc2ccc(C(=N)N)cc2)cc1;1110.0;valid;;;1110.0;nM
58;N=C(N)c1ccc(NCCOCCNc2ccc(C(=N)N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1;62.0;valid;;;62.0;nM
59;N=C(N)c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C(=N)N)cc3)cc2)cc1;13400.0;valid;;;13400.0;nM
60;N=C(N)c1ccc(OCC2=CC=CC(COc3ccc(C(=N)N)cc3)C2)cc1;2600.0;valid;;;2600.0;nM
61;N=C(N)c1ccc(OCCN(CCOc2ccc(C(=N)N)cc2)S(=O)(=O)c2ccccc2)cc1;1330.0;valid;;;1330.0;nM
62;N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2)cc1;2130.0;valid;;;2130.0;nM
63;N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2N)c(N)c1;11.0;valid;;;11.0;nM
64;N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1;14.0;valid;;;14.0;nM
65;N=C(N)c1ccc(OCCSCCOc2ccc(C(=N)N)cc2)cc1;1180.0;valid;;;1180.0;nM
