ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_avdeef;NAME_avdeef;CAS_avdeef;y_avdeef_nointraoutliers_nointeroutliers;pka_avdeef;ID_sander;NAME_sander;CAS_sander;y_sander_nointraoutliers_nointeroutliers;pka_sander;ID_liao;NAME_liao;CAS_liao;y_liao_nointraoutliers_nointeroutliers;pka_liao;ID_qtbx;NAME_qtbx;CAS_qtbx;y_qtbx_nointraoutliers_nointeroutliers;ID_settimo;NAME_settimo;CAS_settimo;y_settimo_nointraoutliers_nointeroutliers;pka_settimo;units
0;C#CCN(C)[C@H](C)Cc1ccc(F)cc1;7.42;;valid;55.0;p-F-deprenyl;;7.42;base;;;;;;;;;;;;;;;;;;;;pKa
1;C#CCN(C)[C@H](C)Cc1ccccc1;7.48;;valid;56.0;Deprenyl;;7.48;base;;;;;;;;;;;;;;;;;;;;pKa
2;C=CCOc1ccccc1OCC(O)CNC(C)C;9.569999847412106;2.157918708571191e-07;valid;117.0;oxprenolol;;9.57;base;;;;;;;;;;;4678;;No CAS number;9.56999969482421;;;;;;pKa
3;C=CCc1ccccc1OCC(O)CNC(C)C;9.563333384195964;0.04618806558356302;valid;107.0;alprenolol;;9.51;base;5618;;;9.59;a1/apparent;;;;;;4646;;No CAS number;9.59000015258789;;;;;;pKa
4;C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12;8.405000000000001;0.20506096654409944;valid;81.0;Quinine;;8.55;base;5260;;;8.26;b1/apparent;;;;;;;;;;;;;;;pKa
5;CC(=O)O;4.668666666666667;0.10651447475969347;valid;40.0;acetic acid;;4.55;acid;7227;;;4.7;a1/apparent;71;;;4.756;acid;;;;;;;;;;pKa
6;CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C;9.53999998092651;2.6973987468352544e-08;valid;114.0;metipranolol;;9.54;base;;;;;;;;;;;4745;;No CAS number;9.53999996185302;;;;;;pKa
7;CC(=O)Oc1ccc2c3c1O[C@@H]1C(OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314;7.96;;valid;67.0;Diacetylmorphine;;7.96;base;;;;;;;;;;;;;;;;;;;;pKa
8;CC(=O)Oc1ccccc1C(=O)O;3.540833344459532;0.09786259275438325;valid;26.0;acetylsalicylic acid;;3.5;acid;;;;;;82;;;3.47;acid;[22348, 21904, 21905, 21968, 17204, 21557, 21558, 21014];[nan, nan, nan, nan, nan, nan, nan, nan];50-78-2;3.652500033378596;;;;;;pKa
9;CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1;3.7275000119209247;0.003535517047198973;valid;28.0;flamprop;;3.73;acid;;;;;;;;;;;[20848, 20893];;No CAS number;3.72500002384185;;;;;;pKa
