ID_all;SMILES;y_consensus;valid/outlier;ID_Bocci;NAME_Bocci;CAS_Bocci;y_Bocci_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous;ID_Sedykh;NAME_Sedykh;CAS_Sedykh;y_Sedykh_nonambiguous;ID_Livertox;NAME_Livertox;CAS_Livertox;y_Livertox_nonambiguous
0;CCCCCCCCCCOC(C)c1c(C)c2cc3nc(c4c5[nH]c(cc6nc(cc1[nH]2)C(C)=C6CC)c(C)c5C(=O)C4)[C@@H](CCC(=O)O)[C@@H]3C;1.0;valid;0.0;(3S,4S)-9-[1-(decyloxy)ethyl]-14-ethyl-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoic acid;;1.0;10.0;(3S,4S)-9-[1-(decyloxy)ethyl]-14-ethyl-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoic acid;;1.0;;;;;;;;
1;Cn1c(N)nc2ncc(-c3ccccc3)cc21;1.0;valid;1.0;1-methyl-6-phenyl-imidazo[4,5-b]pyridin-2-amine;;1.0;160.0;2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine;;1.0;1.0;1-Methyl-6-phenyl-imidazo[4,5-b]pyridin-2-amine (PhIP);105650235.0;1.0;1576.0;mol_0196;;1.0
2;COc1cc2c(=O)n(CCNCCN(C)C)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;1.0;valid;2.0;12-(2-{[2-(dimethylamino)ethyl]amino}ethyl)-2,3-dimethoxybenzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one;;1.0;263.0;12-(2-{[2-(Dimethylamino)ethyl]amino}ethyl)-2,3-dimethoxybenzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one;;1.0;;;;;1387.0;mol_0420;;1.0
3;COc1cc2c(=O)n(CCNC(CO)CO)c3c4cc5c(cc4ncc3c2cc1OC)OCO5;1.0;valid;3.0;12-{2-[(1,3-dihydroxy-2-propanyl)amino]ethyl}-2,3-dimethoxybenzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one;;1.0;205.0;12-{2-[(1,3-Dihydroxy-2-propanyl)amino]ethyl}-2,3-dimethoxybenzo[c][1,3]benzodioxolo[5,6-h][1,6]naphthyridin-13(12H)-one;;1.0;;;;;1386.0;mol_0421;;1.0
4;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O;1.0;valid;4.0;17beta-estradiol sulfate;;1.0;;;;;;;;;;;;
5;Cn1c(N)nc2c3cccnc3ccc21;1.0;valid;5.0;2-amino-3-methylimidazo[4,5-f] quinoline;;1.0;337.0;2-amino-3-methylimidazp[4,5-f]quinoline;;1.0;;;;;1574.0;mol_0360;;1.0
6;[NH3+][C@@H](CCC(=O)N[C@@H](CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-];1.0;valid;6.0;2,4-dinitrophenyl-S-glutathione;;1.0;;;;;;;;;;;;
7;CCC1=C(C)c2cc3[nH]c(cc4nc(c5c6[nH]c(cc1n2)c(C)c6C(=O)C5)[C@@H](CCC(=O)O)[C@@H]4C)c(C)c3C(C)OCc1cccc(I)c1;1.0;valid;7.0;3-(1'-m-iodobenzyloxy) pyropheophorbide-a;;1.0;299.0;3-(1'-m-iodobenzyloxy) pyropheophorbide-a;;1.0;;;;;;;;
8;Cc1c(N)nc(C)c2c1[nH]c1ccccc12;1.0;valid;8.0;3-amino-1,4-dimethyl-5H-pyrido[4,3-b] indole;;1.0;331.0;Tryptophan P 1;;1.0;;;;;1565.0;mol_0336;;1.0
9;O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1CC(O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1O;1.0;valid;9.0;3,5-di-O-caffeoylquinic acid;;1.0;;;;;;;;;;;;
