ID_all;SMILES;y_consensus;valid/outlier;ID_DeepPK;NAME_DeepPK;CAS_DeepPK;y_DeepPK_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous
0;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C;0.0;valid;[1914, 917, 2911];;;0.0;;;;
1;C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C;0.0;valid;[721, 2715, 1718];;;0.0;;;;
2;C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;0.0;valid;[2864, 1867, 870];;;0.0;;;;
3;C#CCN(C)CCCOc1ccc(Cl)cc1Cl;0.0;valid;[1882, 885, 2879];;;0.0;;;;
4;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;0.0;valid;[1488, 491, 2485];;;0.0;;;;
5;C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N;0.0;valid;[2057, 1060, 63];;;0.0;;;;
6;C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O;0.0;valid;[160, 2154, 1157];;;0.0;;;;
7;C/C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C;1.0;valid;[458, 2452, 1455];;;1.0;;;;
8;C/C=C(\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C;0.0;valid;[688, 2682, 1685];;;0.0;;;;
9;C/C=C(\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O;0.0;valid;[760, 2754, 1757];;;0.0;;;;
10;C/C=C/CC(C)C(=O)C1C(=O)NC(C(C)C)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;1.0;valid;[1664, 667, 2661];;;1.0;;;;
