ID_all;SMILES;y_consensus;valid/outlier;NAME_DeepPK;CAS_DeepPK
0;Brc1c(NC2=NCCN2)ccc2nccnc12;1.0;valid;;
1;C#CCN(C)[C@H](C)Cc1ccccc1;1.0;valid;;
2;C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C;1.0;valid;;
3;C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC;0.0;valid;;
4;C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;0.0;valid;;
5;C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C;0.0;valid;;
6;C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C;0.0;valid;;
7;C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C;0.0;valid;;
8;C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1;0.0;valid;;
9;C/C=C1\C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2;0.0;valid;;
10;C/C=C\C(=O)N(CC)c1ccccc1C;0.0;valid;;
11;C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1;1.0;valid;;
12;C1N2CN3CN1CN(C2)C3;0.0;valid;;
13;C=C(C)C(=O)/C(=C/C(=O)O)OC;0.0;valid;;
14;C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1;0.0;valid;;
15;C=C(C)[C@H]1CNC(C(=O)O)[C@H]1CC(=O)O;1.0;valid;;
16;C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl;0.0;valid;;
17;C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C;0.0;valid;;
18;C=C1/C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)CC1O;0.0;valid;;
19;C=C1/C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O;0.0;valid;;
20;C=C1C(=O)O[C@@H]2[C@H]3O[C@]3(C)CCC=C(C)CC[C@@H]12;1.0;valid;;
21;C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12;0.0;valid;;
22;C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12;1.0;valid;;
23;C=C1[C@@H]2CC[C@H]3[C@]4(C)C[C@H](O[C@H]5O[C@H](CO)[C@@H](OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H]5OC(=O)CC(C)C)CC(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1O;0.0;valid;;
24;C=CC(Cl)=C(/C(Cl)=C/C)c1c(=O)ncn2nc(Sc3ccc(F)cc3F)ccc12;1.0;valid;;
