ID_all;SMILES;y_consensus;valid/outlier;NAME_Huang;CAS_Huang
0;BrCCBr;0;valid;;
1;C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3C(=C)CC21C;0;valid;;
2;C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;1;valid;;
3;C#CC1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C;1;valid;;
4;C#CCN(C)C(C)Cc1ccccc1;0;valid;;
5;C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;1;valid;;
6;C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1O;1;valid;;
7;C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1;1;valid;;
8;C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;1;valid;;
9;C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1;0;valid;;
10;C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1;0;valid;;
11;C1CCN2CC3CC(CN4CCCCC34)C2C1;0;valid;;
12;C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1;0;valid;;
13;C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl;1;valid;;
14;C=C(c1ccc(C(=O)NCCS(=O)(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CC(O)C2(C)C;1;valid;;
15;C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)C(O)CC2(C)C;1;valid;;
16;C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CC(=O)C2(C)C;1;valid;;
17;C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C;1;valid;;
18;C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O;1;valid;;
19;C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3;1;valid;;
20;C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C;0;valid;;
21;C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CCC1=CCOC1=O;1;valid;;
22;C=CC#N;0;valid;;
23;C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)cc1O;1;valid;;
24;C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O;1;valid;;
25;C=CC1CC=CCC1;0;valid;;
26;C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12;0;valid;;
27;C=CC1CO1;0;valid;;
28;C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5;1;valid;;
29;C=CCN1CCC23c4c5ccc(O)c4OC2C(O)CCC3(O)C1C5;1;valid;;
30;C=CCc1cc(OC)c2c(c1)OCO2;0;valid;;
31;C=CCc1ccc(O)c(OC)c1;1;valid;;
32;C=CCc1ccc(OC)c(OC)c1;0;valid;;
33;C=CCc1ccc2c(c1)OCO2;0;valid;;
34;C=Cc1ccc(O)c(OC)c1;1;valid;;
35;CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C;0;valid;;
36;CC(=O)C1CCC2C3CC(O)C4=CC(=O)CCC4(C)C3CCC12C;1;valid;;
37;CC(=O)CC(c1ccccc1)c1c(O)c2cccc(O)c2oc1=O;1;valid;;
38;CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O;0;valid;;
39;CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1;0;valid;;
40;CC(=O)NC(CSC(F)(F)C(OCF)C(F)F)C(=O)O;0;valid;;
41;CC(=O)NC(CSC(F)=C(OCF)C(F)F)C(=O)O;0;valid;;
42;CC(=O)NC(CSc1c(C(F)(F)F)cc(N)c(Nc2ncc(C(F)(F)F)cc2Cl)c1[N+](=O)[O-])C(=O)O;1;valid;;
43;CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1;1;valid;;
44;CC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N;1;valid;;
45;CC(=O)Nc1ccc(OC(C)C)cc1;0;valid;;
46;CC(=O)Nc1ccccc1;0;valid;;
47;CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C;0;valid;;
48;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C;0;valid;;
49;CC(=O)c1cc2c(CO)cc(O)cc2oc1=O;1;valid;;
50;CC(=O)c1cc2c(o1)C(O)c1ccccc1C2=O;1;valid;;
51;CC(=O)c1cc2ccccc2s1;0;valid;;
52;CC(=O)c1cnc2c(c1NC1CCC(CN(C)C)CC1)NC(=C1C=C(Cl)C(O)C(Cl)=C1)C=C2;1;valid;;
53;CC(C#Cc1ccc(Cc2ccccc2)s1)N(O)C(N)=O;0;valid;;
54;CC(C#Cc1ccc(Cc2ccccc2)s1)NC(N)=O;0;valid;;
55;CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1;0;valid;;
56;CC(C(=O)O)c1ccc(-n2cccc2)c(Cl)c1;1;valid;;
57;CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1;1;valid;;
58;CC(C(=O)O)c1ccc(C(C)(C)C)cc1;1;valid;;
59;CC(C(=O)O)c1ccc(CC(C)(C)O)cc1;1;valid;;
60;CC(C(=O)O)c1ccc(N2CC3OC3C2)c(Cl)c1;1;valid;;
61;CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1;1;valid;;
62;CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12;1;valid;;
63;CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1;1;valid;;
64;CC(C(=O)O)c1cccc(Oc2ccccc2)c1;1;valid;;
65;CC(C(=O)c1ccc2c(c1)OCO2)N1CCCC1;0;valid;;
66;CC(C(O)c1ccc(O)cc1)N1CCC(O)(c2ccc(O)cc2)CC1;1;valid;;
67;CC(C(O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1;1;valid;;
68;CC(C)(C#N)c1cc(CN2CN(C3OC(C(=O)O)C(O)C(O)C3O)C=N2)cc(C(C)(C)C#N)c1;1;valid;;
69;CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C#N)CO)c1;1;valid;;
70;CC(C)(C)C1CCC(C2=C(O)C(=O)c3ccccc3C2=O)CC1;0;valid;;
71;CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1;0;valid;;
72;CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C;0;valid;;
73;CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O;0;valid;;
74;CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1;0;valid;;
75;CC(C)(C)NCC(O)c1ccc(O)c(CO)c1;1;valid;;
76;CC(C)(C)[C@@](C)(O)C1C[C@@]23CC[C@]1(C)C1Oc4c(O)ccc5c4C12CCN(CC1CC1)C3C5;1;valid;;
77;CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1O;1;valid;;
78;CC(C)(C)c1cc(CC2SCNC2=O)cc(C(C)(C)C)c1O;0;valid;;
79;CC(C)(C)c1ccc(C(=O)CCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1;0;valid;;
80;CC(C)(C)c1cccc(C(C)(C)C)c1O;1;valid;;
81;CC(C)(CO)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C;1;valid;;
82;CC(C)(NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C)C(=O)O;1;valid;;
