ID_all;SMILES;y_consensus;valid/outlier;ID_ChEMBL;NAME_ChEMBL;CAS_ChEMBL;y_ChEMBL_nonambiguous;ID_CtoxPred;NAME_CtoxPred;CAS_CtoxPred;y_CtoxPred_nonambiguous
0;C=CCc1ccc(O)c(OC)c1;0.0;valid;7;;;0.0;;;;
1;C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12;0.0;valid;162;;;0.0;183.0;CHEMBL1294;;0.0
2;CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1F;0.0;valid;126;;;0.0;364.0;;;0.0
3;CC#C[C@@H](c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)[C@H]1OC(=O)NC1=O;1.0;valid;141;;;1.0;363.0;;;1.0
4;CC(=O)Nc1c(F)cc(C(=O)N[C@H]2CC[C@H](O)CC2)cc1O[C@@H](C)c1ccccc1;0.0;valid;211;;;0.0;;;;
5;CC(C)(C)CCN1CC[C@H](CNC(=O)c2cc(Cl)cc(Cl)c2)[C@H](F)C1;0.0;valid;62;;;0.0;177.0;CHEMBL493677;;0.0
6;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;1.0;valid;148;;;1.0;78.0;CHEMBL17157;;1.0
7;CC(C)(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(C#N)cn3)n2)cc1;1.0;valid;85;;;1.0;;;;
8;CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CCC[C@@H]1c1ccccc12;1.0;valid;176;;;1.0;398.0;;;1.0
9;CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CC[C@@H]1c1ccccc12;1.0;valid;179;;;1.0;391.0;;;1.0
10;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C;1.0;valid;181;;;1.0;393.0;;;1.0
11;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](O)c2cc(F)ccc2[C@@H]1C(C)C;1.0;valid;40;;;1.0;122.0;CHEMBL3608942;;1.0
12;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;1.0;valid;73;;;1.0;394.0;;;1.0
13;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc12;1.0;valid;[187, 70];;;1.0;395.0;;;1.0
14;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12;1.0;valid;[188, 21];;;1.0;167.0;CHEMBL3608945;;1.0
15;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](O)c2cc(F)ccc2[C@@H]1C(C)C;1.0;valid;88;;;1.0;396.0;;;1.0
16;CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H](OCc2ccccc2)c2cc(F)ccc2[C@@H]1C(C)C;1.0;valid;72;;;1.0;199.0;CHEMBL3608316;;1.0
17;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1;0.0;valid;138;;;0.0;148.0;CHEMBL1323;;0.0
18;CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1;1.0;valid;90;;;1.0;378.0;;;1.0
19;CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21;0.0;valid;116;;;0.0;;;;
20;CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;1.0;valid;74;;;1.0;338.0;;;1.0
21;CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;1.0;valid;63;;;1.0;337.0;;;1.0
22;CC(C)NC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1;1.0;valid;168;;;1.0;425.0;;;1.0
23;CC(C)NCC(O)COc1cccc2ccccc12;0.0;valid;4;;;0.0;202.0;CHEMBL27;;0.0
24;CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1;0.0;valid;5;;;0.0;73.0;CHEMBL471;;0.0
25;CC(C)OCc1ccccc1CNC(=O)c1c2c(c(Cl)n1C)CC(C)(C)CC2;1.0;valid;200;;;1.0;443.0;;;1.0
26;CC(C)[C@@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1;1.0;valid;146;;;1.0;137.0;CHEMBL4096195;;1.0
27;CC1=C(C(=O)OCCCCCCCCCC[N+](C)(C)C)C(c2cccc3nonc23)C(C(=O)OC(C)C)=C(C)N1;1.0;valid;97;;;1.0;;;;
28;CC1CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1;1.0;valid;197;;;1.0;432.0;;;1.0
29;CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1;0.0;valid;198;;;0.0;;;;
30;CCCC[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)COC)[C@@H](C(C)C)c2ccc(F)cc21;1.0;valid;61;;;1.0;168.0;CHEMBL3609824;;1.0
31;CCCN(C1CCN(Cc2c(OC)cccc2OC)CC1)S(=O)(=O)c1cccc(C(F)(F)F)c1;1.0;valid;52;;;1.0;367.0;;;1.0
32;CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC;0.0;valid;192;;;0.0;496.0;;;0.0
33;CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1;0.0;valid;193;;;0.0;108.0;CHEMBL1078261;;0.0
34;CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12;0.0;valid;[121, 159];;;0.0;147.0;CHEMBL1520;;0.0
35;CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12;0.0;valid;206;;;0.0;484.0;;;0.0
36;CCN(CC)CC(=O)N1C[C@@H](c2ccc(Cl)cc2)Sc2ccccc21;0.0;valid;103;;;0.0;;;;
37;CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C;0.0;valid;[81, 27];;;0.0;161.0;CHEMBL535;;0.0
38;CCNC(=N)NC(=O)Nc1c(CC)cc(C(=O)NCc2ccccc2)cc1CC;0.0;valid;215;;;0.0;;;;
39;CCNC(=N)NC(=O)Nc1c(CC)cccc1CC;1.0;valid;214;;;1.0;;;;
40;CCNCCc1c(C(=O)NCc2ccccc2OCC(F)(F)F)nn(-c2ccccc2)c1-c1ccccc1;1.0;valid;164;;;1.0;;;;
41;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1ccc2ccccc2c1;1.0;valid;13;;;1.0;127.0;CHEMBL3392230;;1.0
42;CCOC(=O)C1=C(C)NC(C)=C(C#N)[C@@H]1c1cnccc1-c1cccc2ccccc12;1.0;valid;11;;;1.0;316.0;;;1.0
