ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_DeepPK;NAME_DeepPK;CAS_DeepPK;y_DeepPK_nointraoutliers_nointeroutliers;ID_DSSTOX;NAME_DSSTOX;CAS_DSSTOX;y_DSSTOX_nointraoutliers_nointeroutliers;units
0;CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O;1.0;;valid;0.0;;;1.0;;;;;logmg/kg/day
1;Oc1c(Cl)cc(Cl)c2cccnc12;1.8241258339082744;1.1701899094570175e-11;valid;1.0;;;1.8241258339;261.0;2722.0;;1.824125833916549;logmg/kg/day
2;O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-];0.5622521124139812;0.05629684224945815;valid;2.0;;;0.5224442335;889.0;6518.0;;0.6020599913279624;logmg/kg/day
3;CC12CCC3C(CC=C4CC(=O)C=CC43C)C1CCC(=O)O2;0.620136055;;valid;3.0;;;0.620136055;;;;;logmg/kg/day
4;NC(=O)NNc1ccccc1;1.3979400086860188;1.9772331342074043e-11;valid;4.0;;;1.3979400087;910.0;61002.0;;1.3979400086720377;logmg/kg/day
5;C[N+]([O-])(CCCl)CCCl;-0.39794000868601875;1.977233134145065e-11;valid;5.0;;;-0.3979400086999999;834.0;9334.0;;-0.3979400086720376;logmg/kg/day
6;CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O;1.1760912591;;valid;6.0;;;1.1760912591;;;;;logmg/kg/day
7;CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)CCC3N)C2O)OCC1(C)O;0.4771212547;;valid;7.0;;;0.4771212547;;;;;logmg/kg/day
8;Cn1c(=O)c2c(ncn2CCOC(=O)C(C)(C)Oc2ccc(Cl)cc2)n(C)c1=O;1.0969100130040284;5.696766470006016e-12;valid;8.0;;;1.096910013;491.0;41109.0;;1.0969100130080565;logmg/kg/day
9;c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2;-0.7772835288762083;3.3646453352609824e-11;valid;9.0;;;-0.7772835289;721.0;4066.0;;-0.7772835288524167;logmg/kg/day
10;O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1;0.8241258339082744;1.1701820590210576e-11;valid;10.0;;;0.8241258339;1105.0;5426.0;;0.8241258339165489;logmg/kg/day
11;CC12CCCCCC(Cc3ccc(O)cc31)C2N;-0.7772835289;;valid;11.0;;;-0.7772835289;;;;;logmg/kg/day
12;CC(=O)C12OC(C)(c3ccccc3)OC1CC1C3CC=C4CC(=O)CCC4(C)C3CCC12C;0.3979400086999999;;valid;12.0;;;0.3979400086999999;;;;;logmg/kg/day
13;CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1;0.1238516409835429;2.3273843598952737e-11;valid;13.0;;;0.123851641;526.0;3386.0;;0.12385164096708581;logmg/kg/day
14;CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O;-1.903089987;;valid;14.0;;;-1.903089987;;;;;logmg/kg/day
15;CC12CCC3c4ccc(O)cc4CCC3C1CCC2O;-0.3010299957;;valid;15.0;;;-0.3010299957;;;;;logmg/kg/day
16;CCOC1OC(C(COCc2ccccc2)OCc2ccccc2)C(OCc2ccccc2)C1O;1.123851641;;valid;16.0;;;1.123851641;;;;;logmg/kg/day
17;CCCC(=O)OC1(C(=O)COC(=O)CC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C;-0.8239087409;;valid;17.0;;;-0.8239087409;;;;;logmg/kg/day
18;Nc1ccn(C2CCC(CO)O2)c(=O)n1;-1.4259687323;;valid;18.0;;;-1.4259687323;;;;;logmg/kg/day
19;NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1;0.8241258339;;valid;19.0;;;0.8241258339;;;;;logmg/kg/day
20;CN(C)CCC(c1ccccc1)c1ccccn1;-0.20411998267796239;3.1165883903297245e-11;valid;20.0;;;-0.2041199827;913.0;4761.0;;-0.2041199826559248;logmg/kg/day
21;CCN(CC)C(=O)NC1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1;-1.0793549986;;valid;21.0;;;-1.0793549986;;;;;logmg/kg/day
