ID;SMILES;Molecule ChEMBL ID;y
0;O=C(O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(CCCCNC(=O)c1cccc(O)c1O)CCCNC(=O)c1cccc(O)c1O;CHEMBL2348226;128000.0
1;CCCCCCCCCCCCCCCCCC(=O)Nc1ccc2[nH]c(N)nc2c1.Cl;CHEMBL603757;400000.0
2;Cl.Nc1nc2cc(NC(=O)c3ccc(-c4ccccc4)cc3)ccc2[nH]1;CHEMBL598872;400000.0
3;CCCCCCCCSSC(=S)N(CC)CC;CHEMBL4225275;32000.0
4;Cl.Nc1nccc(-c2c[nH]c3cccc(Br)c23)n1;CHEMBL4208568;200000.0
5;CCCCn1cc(-c2ccnc(N)n2)c2cc(Br)ccc21.Cl;CHEMBL4211324;200000.0
6;CCn1cc(-c2ccnc(N)n2)c2ccc(Br)cc21.Cl;CHEMBL4216603;200000.0
7;CCNc1nccc(-c2c[nH]c3ccc(Br)cc23)n1.Cl;CHEMBL4216713;200000.0
8;Cl.Cn1cc(-c2ccnc(N)n2)c2ccc(Br)cc21;CHEMBL4207595;200000.0
9;CCCn1cc(-c2ccnc(N)n2)c2cc(Br)ccc21.Cl;CHEMBL4204404;200000.0
10;Cl.Cn1cc(-c2ccnc(N)n2)c2cc(Br)ccc21;CHEMBL4209279;200000.0
11;Cl.Nc1nccc(-c2cn(Cc3ccccc3)c3ccc(Br)cc23)n1;CHEMBL4213676;200000.0
12;CCCCn1cc(-c2ccnc(N)n2)c2ccc(Br)cc21.Cl;CHEMBL4211221;200000.0
13;Cl.Nc1nccc(-c2c[nH]c3ccc(I)cc23)n1;CHEMBL4217378;200000.0
14;Cl.Nc1nccc(-c2c[nH]c3ccc(F)cc23)n1;CHEMBL4203692;200000.0
15;CCCCn1cc(-c2ccnc(N)n2)c2cc(Br)ccc21.Cl;CHEMBL4211324;200000.0
16;Cl.Nc1nccc(-c2c[nH]c3ccc(I)cc23)n1;CHEMBL4217378;200000.0
17;Cl.Nc1nccc(-c2c[nH]c3cccc(Br)c23)n1;CHEMBL4208568;200000.0
18;Cl.Nc1nccc(-c2c[nH]c3ccccc23)n1;CHEMBL4218319;200000.0
19;CCCCn1cc(-c2ccnc(N)n2)c2cc(Br)ccc21.Cl;CHEMBL4211324;200000.0
