idx_separated;SMILES;Molecule name;Activity;ID;subset
0;CC1(C)CC23C4COC(=O)C2CCC1C3CC4=O;284437;1;284437;training
1;C=CCn1c2ccccc2c2c(C)c3cnccc3c(C)c21;150834;1;150834;training
2;CC1=CC(=O)C(C)=CC1=O;15309;1;15309;training
3;CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)C1=CC(O)C1OC12;117180;1;117180;training
4;O=C1C(CO)=CC(O)C2OC12;326233;1;326233;training
5;COC1=CC(=O)C=C(OC)C1=O;24500;1;24500;training
6;Cc1c2ccnc(C(N)=O)c2c(C)c2c1[nH]c1ccccc12;335142;1;335142;training
7;C=C1C(=O)OC2C1CC/C(C)=C\CCC1(C)OC21;157035;1;157035;training
8;CN(C)CC1CCC(CN(C)C)C(=O)C1=O;651593;1;651593;training
9;C=C1C(=O)OC2CC1CCC1(C)OC1CC/C(C)=C\CCC2(C)O;285706;1;285706;training
10;Cc1c(O)c(O)c2c(c1O)O2;294734;1;294734;training
11;Cc1c2cnccc2c(C)c2c1c1ccccc1n2CCOC(=O)c1ccccc1;163443;1;163443;training
12;COC1=CC(=O)c2c(c(O)c3oc4cc(OC)cc(C)c4c(=O)c3c2O)C1=O;215139;1;215139;training
13;CC1CSC(=S)N1C(=O)N1C(=S)SCC1C;654968;1;654968;training
14;C=CCCCCn1c2ccccc2c2c(C)c3cnccc3c(C)c21;162907;1;162907;training
15;COc1ccc2c(c1O)-c1cc(O)cc3c1C(C2)N(C)CC3;43486;1;43486;training
16;C=C1C(=O)OC2/C=C(/C)CC3C=C(CC/C=C(/C)CCC12)C(=O)O3;156130;1;156130;training
17;O=C1C2CCN(CC2)C1CN1CCOCC1;150094;1;150094;training
18;CCCCCCCC/C=C/CCCCCCCC(=O)O;9856;1;9856;training
19;COc1ccc2[nH]c3c4c(ccc3c2c1)C(=O)C=CC4=O;641395;1;641395;training
20;CC(=O)OCC1C(=O)OCC1C(=O)N1Cc2cc3ccccc3nc2C1;138333;1;138333;training
21;COc1cc2c(cc1OC)-c1c3c(cc4c1C(C2)N(C)CC4)OCO3;251699;1;251699;training
22;O=C1C=CC(=O)c2c1ccc1c3ccccc3n(-c3ccccc3)c21;641394;1;641394;training
23;[C-]#[N+]/C=C/c1cc(O)ccc1O;632129;1;632129;training
24;CCN(CC)CCSc1c2ccccc2nc2c(OC)ccc(OC)c12;625985;1;625985;training
25;CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CC(O)C(O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC;265211;1;265211;training
26;O=C1C=C2C(=CCOC2O)O1;8120;1;8120;training
27;O=C1c2ccccc2C(=O)c2c1ccc1c3ccccc3n(-c3ccccc3)c21;641393;1;641393;training
28;CC12CC(Br)(Br)C(=O)C3C1CCCC32;624358;1;624358;training
