idx_together;idx_separated;SMILES;Molecule name;Activity;ID;subset;n;cmpd_id
0;0;Cc1ccccc1C1=C/C(=C(/SS/C(C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)=C2/C=C(c3ccccc3C)SS2)C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)SS1;641285;1;641285;training;;
1;1;CC1=NC(C)=C(C(=O)Nc2ccccc2C)C(c2ccc(C3C(C(=O)Nc4ccccc4C)=C(C)N=C(C)C3C(=O)Nc3ccccc3C)cc2)C1C(=O)Nc1ccccc1C;633912;1;633912;training;;
2;2;Cc1c2ccn(Cc3ccc(I)cc3)cc2c(C)c2c1nc1ccccc12;604574;1;604574;training;;
3;3;C(#CC1(Nc2ccccc2)CCN(Cc2ccccc2)CC1)C1(Nc2ccccc2)CCN(Cc2ccccc2)CC1;665299;1;665299;training;;
4;4;COc1cc2c(cc1Oc1c(Oc3c(O)c(OC)cc4c3C(CC(C)C)N(C)CC4)c(OC)cc3c1C(CC(C)C)N(C)CC3)C(CC(C)C)N(C)CC2;21075;1;21075;training;;
5;5;CCOC(=O)C(=Cc1ccc(Oc2ccccc2)cc1)C(=O)OCC;643027;1;643027;training;;
6;6;Cc1ccc2nc3c(C)c4ccn(C)cc4c(C)c3c2c1;639364;1;639364;training;;
7;7;CC(C)(C)OC(=O)CN1CCN(CC(=O)N2CCN(C(=O)OCc3ccccc3)CC2)CCN(CC(=O)OC(C)(C)C)CCN(CC(=O)N2CCN(C(=O)OCc3ccccc3)CC2)CC1;696853;1;696853;training;;
8;8;O=C(NC1=C(Cl)C(=O)c2ccccc2C1=O)C(=O)C(C(=O)c1ccc2ccccc2c1)C1OC(=O)c2ccccc21;641233;1;641233;training;;
9;9;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccc4ccccc4c3)C(C)=C1C2(C)C;666608;1;666608;training;;
10;10;O=[N+]([O-])c1ccc(O)c(/C=N/c2nc(-c3ccccc3)cs2)c1;697488;1;697488;training;;
11;11;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3C)C(C)=C1C2(C)C;671870;1;671870;training;;
12;12;CCN(CC)CCn1ccc2c(C)c3nc4ccc(O)cc4c3c(C)c2c1;311152;1;311152;training;;
13;13;Cc1c2ccn(C)c(C)c2cc2c1nc1ccccc12;336003;1;336003;training;;
14;14;CC(=O)OC1C(=O)C2(C)C(OC(=O)CCC(=O)O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(OC(=O)CCC(=O)O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C;600222;1;600222;training;;
15;15;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)C(C)(C)C)c3ccccc3)C(C)=C1C2(C)C;664402;1;664402;training;;
16;16;O=C1C(Br)=C(Br)C(=O)c2ccccc21;618332;1;618332;training;;
17;17;C=C(C)C12CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C(OC(C)=O)C(=O)C1(C)C(O)CC3OCC3(OC(C)=O)C1C2OC(=O)c1cc(F)cc(F)c1;661746;1;661746;training;;
18;18;CCOC1c2cc(OC)c(OC)cc2-c2ccc3ccccc3c2N1C;645302;1;645302;training;;
19;19;CN(C)CCNC(=O)c1cccc2nc3c4ccccc4c4ccccc4c3nc12;617988;1;617988;training;;
20;20;COC1=C2CC(C)CC(OC)C(O)C(C)/C=C(/C)C(OC(N)=O)C(OC)/C=C\C=C(\C)C(=O)NC(=C(/C=N/C(C)(C)C)C1=O)C2=O;210753;1;210753;training;;
21;21;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C;125973;1;125973;training;;
22;22;COC1CC(C)C(OC)c2cc(O)cc(c2O)NC(=O)/C(C)=C\C=C/C(C)C(OC(N)=O)/C(C)=C\C(C)C1OC;330500;1;330500;training;;
