SAN_SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source;ORIGINAL_SMILES;MOL_OBJECT;SMILES
C/C(=N\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C;[42274.36060029589, 42274.36060029589, 21137.180300147946, 21137.180300147946, 10568.590150073973, 84548.72120059178];[2261, 4065, 4083, 4544, 5131, 5147];[4337, 7734, 7804, 8914, 10534, 10582];[nan, nan, nan, nan, nan, nan];[nan, nan, nan, nan, nan, nan];['nM', 'nM', 'nM', 'nM', 'nM', 'nM'];['SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES'];['C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C'];[<rdkit.Chem.rdchem.Mol object at 0x000002010D701BE0>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B23A0>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B2C40>, <rdkit.Chem.rdchem.Mol object at 0x00000201116CD280>, <rdkit.Chem.rdchem.Mol object at 0x0000020113692160>, <rdkit.Chem.rdchem.Mol object at 0x0000020113692820>];['C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3(O)CCCCC3)cc2)c1C']
C/C(=N\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C;[11479.277035132322, 11479.277035132322, 11479.277035132322, 11479.277035132322, 22958.554070264643, 22958.554070264643];[1696, 2262, 4085, 4211, 5516, 5520];[3372, 4338, 7806, 8068, 11657, 11663];[nan, nan, nan, nan, nan, nan];[nan, nan, nan, nan, nan, nan];['nM', 'nM', 'nM', 'nM', 'nM', 'nM'];['SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES'];['C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C'];[<rdkit.Chem.rdchem.Mol object at 0x000002010D6DD6A0>, <rdkit.Chem.rdchem.Mol object at 0x000002010D701C40>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B2D60>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B9580>, <rdkit.Chem.rdchem.Mol object at 0x00000201136A8E20>, <rdkit.Chem.rdchem.Mol object at 0x00000201136AB0A0>];['C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C']
C/C(=N\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C;[11035.06114803258, 11035.06114803258, 22070.12229606516, 11035.06114803258, 11035.06114803258, 22070.12229606516];[2263, 2533, 2587, 4064, 4084, 5515];[4339, 4904, 5005, 7733, 7805, 11656];[nan, nan, nan, nan, nan, nan];[nan, nan, nan, nan, nan, nan];['nM', 'nM', 'nM', 'nM', 'nM', 'nM'];['SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES'];['C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C'];[<rdkit.Chem.rdchem.Mol object at 0x000002010D701D00>, <rdkit.Chem.rdchem.Mol object at 0x000002010E6E5580>, <rdkit.Chem.rdchem.Mol object at 0x000002010E6E6EE0>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B22E0>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B2CA0>, <rdkit.Chem.rdchem.Mol object at 0x00000201136A8D60>];['C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCCC3)cc2)c1C']
C/C(=N\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C;[11222.305454321007, 11222.305454321007, 22444.61090864201, 11222.305454321007, 11222.305454321007, 11222.305454321007];[1695, 2314, 2316, 4080, 4212, 4965];[3371, 4439, 4441, 7801, 8077, 10140];[nan, nan, nan, nan, nan, nan];[nan, nan, nan, nan, nan, nan];['nM', 'nM', 'nM', 'nM', 'nM', 'nM'];['SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES'];['C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C'];[<rdkit.Chem.rdchem.Mol object at 0x000002010D6DD5E0>, <rdkit.Chem.rdchem.Mol object at 0x000002010D7044C0>, <rdkit.Chem.rdchem.Mol object at 0x000002010D704640>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B2AC0>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B9640>, <rdkit.Chem.rdchem.Mol object at 0x0000020113688880>];['C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C', 'C/C(=N\\NC(=N)N)c1cnn(-c2ccc(C#Cc3ccccc3)cc2)c1C']
C/C(=N\NC(=N)N)c1sc(-c2ccc(-c3ccccc3)cc2)nc1C;[22892.26613403993, 2861.533266754992];[1964, 2428];[3833, 4681];[nan, nan];[nan, nan];['nM', 'nM'];['SMILES', 'SMILES'];['C/C(=N\\NC(=N)N)c1sc(-c2ccc(-c3ccccc3)cc2)nc1C', 'C/C(=N\\NC(=N)N)c1sc(-c2ccc(-c3ccccc3)cc2)nc1C'];[<rdkit.Chem.rdchem.Mol object at 0x000002010D6EFBE0>, <rdkit.Chem.rdchem.Mol object at 0x000002010D70A760>];['C/C(=N\\NC(=N)N)c1sc(-c2ccc(-c3ccccc3)cc2)nc1C', 'C/C(=N\\NC(=N)N)c1sc(-c2ccc(-c3ccccc3)cc2)nc1C']
C/C(=N\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C;[21362.27209125961, 42724.544182519225, 42724.544182519225, 42724.544182519225, 42724.544182519225, 42724.544182519225];[2317, 3903, 4079, 4082, 4789, 5065];[4442, 7347, 7800, 7803, 9602, 10360];[nan, nan, nan, nan, nan, nan];[nan, nan, nan, nan, nan, nan];['nM', 'nM', 'nM', 'nM', 'nM', 'nM'];['SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES', 'SMILES'];['C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C'];[<rdkit.Chem.rdchem.Mol object at 0x000002010D704700>, <rdkit.Chem.rdchem.Mol object at 0x00000201116A9C40>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B2A60>, <rdkit.Chem.rdchem.Mol object at 0x00000201116B2BE0>, <rdkit.Chem.rdchem.Mol object at 0x000002011367E640>, <rdkit.Chem.rdchem.Mol object at 0x000002011368F1C0>];['C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C', 'C/C(=N\\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C']
C/C=C1\NC(=O)C(NC(=O)C2Cc3cc4c(-c5ccccc5F)noc4cc3O2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O;[29957.52584538736, 59915.05169077472];[3828, 4757];[7198, 9541];[nan, nan];[nan, nan];['nM', 'nM'];['SMILES', 'SMILES'];['C/C=C1\\NC(=O)C(NC(=O)C2Cc3cc4c(-c5ccccc5F)noc4cc3O2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O', 'C/C=C1\\NC(=O)C(NC(=O)C2Cc3cc4c(-c5ccccc5F)noc4cc3O2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O'];[<rdkit.Chem.rdchem.Mol object at 0x00000201116A2A00>, <rdkit.Chem.rdchem.Mol object at 0x000002011367D640>];['C/C=C1\\NC(=O)C(NC(=O)C2Cc3cc4c(-c5ccccc5F)noc4cc3O2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O', 'C/C=C1\\NC(=O)C(NC(=O)C2Cc3cc4c(-c5ccccc5F)noc4cc3O2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O']
C/C=C1\NC(=O)C(NC(=O)CC(O)CCCCCCCCCCC)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O;[31580.079680488565, 3947.509960061071];[2513, 4754];[4878, 9534];[nan, nan];[nan, nan];['nM', 'nM'];['SMILES', 'SMILES'];['C/C=C1\\NC(=O)C(NC(=O)CC(O)CCCCCCCCCCC)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O', 'C/C=C1\\NC(=O)C(NC(=O)CC(O)CCCCCCCCCCC)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O'];[<rdkit.Chem.rdchem.Mol object at 0x000002010E6E2D60>, <rdkit.Chem.rdchem.Mol object at 0x000002011367D520>];['C/C=C1\\NC(=O)C(NC(=O)CC(O)CCCCCCCCCCC)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O', 'C/C=C1\\NC(=O)C(NC(=O)CC(O)CCCCCCCCCCC)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O']
C/C=C1\NC(=O)C(NC(=O)CCCCCCCCC(=O)OCc2ccccc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O;[119038.76199687531, 3719.9613124023535];[2512, 4753];[4877, 9533];[nan, nan];[nan, nan];['nM', 'nM'];['SMILES', 'SMILES'];['C/C=C1\\NC(=O)C(NC(=O)CCCCCCCCC(=O)OCc2ccccc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O', 'C/C=C1\\NC(=O)C(NC(=O)CCCCCCCCC(=O)OCc2ccccc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O'];[<rdkit.Chem.rdchem.Mol object at 0x000002010E6E2D00>, <rdkit.Chem.rdchem.Mol object at 0x000002011367D4C0>];['C/C=C1\\NC(=O)C(NC(=O)CCCCCCCCC(=O)OCc2ccccc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O', 'C/C=C1\\NC(=O)C(NC(=O)CCCCCCCCC(=O)OCc2ccccc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O']
C/C=C1\NC(=O)C(NC(=O)COc2ccc(/C=C/C(=O)OC(C)(C)C)cc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O;[1884.6428931529992, 120617.14516179197];[2511, 3714];[4875, 7001];[nan, nan];[nan, nan];['nM', 'nM'];['SMILES', 'SMILES'];['C/C=C1\\NC(=O)C(NC(=O)COc2ccc(/C=C/C(=O)OC(C)(C)C)cc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O', 'C/C=C1\\NC(=O)C(NC(=O)COc2ccc(/C=C/C(=O)OC(C)(C)C)cc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O'];[<rdkit.Chem.rdchem.Mol object at 0x000002010E6E2CA0>, <rdkit.Chem.rdchem.Mol object at 0x000002011169C880>];['C/C=C1\\NC(=O)C(NC(=O)COc2ccc(/C=C/C(=O)OC(C)(C)C)cc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O', 'C/C=C1\\NC(=O)C(NC(=O)COc2ccc(/C=C/C(=O)OC(C)(C)C)cc2)C(O)CNC(=O)C(C(O)CN)NC(=O)C(C(O)CN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O']
