SAN_SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source;ORIGINAL_SMILES;MOL_OBJECT;SMILES;y_old
Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12.O=C(O)C(F)(F)F;1744.9424587774793;3214;6094;;;nM;SMILES;Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002010E70B2E0>;Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12.O=C(O)C(F)(F)F;[1744.9424587774793]
C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;341462.1783953142;2684;5191;;;nM;SMILES;C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002010E6ECA00>;C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[341462.1783953142]
C#CCNC(=N)NCCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;173986.3257622095;2804;5400;;;nM;SMILES;C#CCNC(=N)NCCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002010E6F2F40>;C#CCNC(=N)NCCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[173986.3257622095]
C(=C/Cc1cc2ccc(C3=NCCCN3)cc2[nH]1)\Cc1cc2ccc(C3=NCCCN3)cc2[nH]1.O=C(O)C(F)(F)F;35422.555666546206;1009;2015;;;nM;SMILES;C(=C/Cc1cc2ccc(C3=NCCCN3)cc2[nH]1)\Cc1cc2ccc(C3=NCCCN3)cc2[nH]1.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002010A741CA0>;C(=C/Cc1cc2ccc(C3=NCCCN3)cc2[nH]1)\Cc1cc2ccc(C3=NCCCN3)cc2[nH]1.O=C(O)C(F)(F)F;[35422.555666546206]
C/C=C/CNC(=N)NCCCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;48214.19154594281;3278;6215;;;nM;SMILES;C/C=C/CNC(=N)NCCCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002010E70F040>;C/C=C/CNC(=N)NCCCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[48214.19154594281]
C/C=C/CNC(=N)NCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;402736.72188040265;4302;8277;;;nM;SMILES;C/C=C/CNC(=N)NCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x00000201116BF220>;C/C=C/CNC(=N)NCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[402736.72188040265]
C=C(C)CNC(=N)NCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;402736.72188040265;2566;4972;;;nM;SMILES;C=C(C)CNC(=N)NCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002010E6E6460>;C=C(C)CNC(=N)NCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[402736.72188040265]
C=CCNC(=N)NCCCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;98510.33896791942;2680;5182;;;nM;SMILES;C=CCNC(=N)NCCCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002010E6EC880>;C=CCNC(=N)NCCCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[98510.33896791942]
CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)nc3)[nH]c2cc1C1=NCCCN1;37478.73082025949;3791;7130;;;nM;SMILES;CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)nc3)[nH]c2cc1C1=NCCCN1;<rdkit.Chem.rdchem.Mol object at 0x000002011169F9A0>;CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)nc3)[nH]c2cc1C1=NCCCN1;[37478.73082025949]
CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)s3)[nH]c2cc1C1=NCCCN1;9282.0001596504;2235;4291;;;nM;SMILES;CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)s3)[nH]c2cc1C1=NCCCN1;<rdkit.Chem.rdchem.Mol object at 0x000002010D6FCEE0>;CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)s3)[nH]c2cc1C1=NCCCN1;[9282.0001596504]
CC(C)(C)OC(=O)N1CCC(CCn2c(=N)n(CCCOc3ccc(Cl)cc3Cl)c3ccccc32)CC1.O=C(O)C(F)(F)F;50000.0;6797;8375;;;nM;SMILES;CC(C)(C)OC(=O)N1CCC(CCn2c(=N)n(CCCOc3ccc(Cl)cc3Cl)c3ccccc32)CC1.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x0000020118611460>;CC(C)(C)OC(=O)N1CCC(CCn2c(=N)n(CCCOc3ccc(Cl)cc3Cl)c3ccccc32)CC1.O=C(O)C(F)(F)F;[50000.0]
CC(C)(C)c1cc(CC2(Cc3cc(C(C)(C)C)cc(C(C)(C)C)c3)C(=O)N(CCCCN)C(=O)N(CCCCN)C2=O)cc(C(C)(C)C)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;4429.389441885855;[5763, 6062, 5488, 6067, 6070];[12806, 12811, 12815, 11599, 12159];[nan, nan, nan, nan, nan];[nan, nan, nan, nan, nan];nM;SMILES;CC(C)(C)c1cc(CC2(Cc3cc(C(C)(C)C)cc(C(C)(C)C)c3)C(=O)N(CCCCN)C(=O)N(CCCCN)C2=O)cc(C(C)(C)C)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[<rdkit.Chem.rdchem.Mol object at 0x000002011566A820>, <rdkit.Chem.rdchem.Mol object at 0x0000020115658CA0>, <rdkit.Chem.rdchem.Mol object at 0x000002011566A700>, <rdkit.Chem.rdchem.Mol object at 0x000002011566A520>, <rdkit.Chem.rdchem.Mol object at 0x00000201136A7F40>];CC(C)(C)c1cc(CC2(Cc3cc(C(C)(C)C)cc(C(C)(C)C)c3)C(=O)N(CCCCN)C(=O)N(CCCCN)C2=O)cc(C(C)(C)C)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[4429.389441885855, 4429.389441885855, 4429.389441885855, 4429.389441885855, 4429.389441885855]
