SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
C#CCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1;31705.89610770491;5261;10905;;;nM;SMILES
C#CCN1CCN(c2cc3c(cc2F)c(=O)c(-c2csc(N)n2)cn3CC)CC1;19000.0;6827;8505;;;nM;SMILES
C#CCN1CCN(c2ccc3c4c(cccc24)C(=O)N(CC(O)Cn2c([N+](=O)[O-])cnc2C)C3=O)CC1;13000.0;6648;7296;;;nM;SMILES
C#CCOCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1;14962.668142983248;3148;6005;;;nM;SMILES
C#CCOc1c(OC)cc(/C=C(\C#N)n2cc([N+](=O)[O-])nc2C)c2c1CN1CCc3cc4c(cc3C1C2)OCO4;3000.0;7144;10620;;;nM;SMILES
C#CCOc1c(OC)cc(/C=N/NC(N)=S)c2c1CN1CCc3cc4c(cc3C1C2)OCO4;4000.0;6577;6208;;;nM;SMILES
C#CCSc1nnc(CS(=O)(=O)c2ccc(NC(C)=O)cc2)o1;364247.92762848985;4571;9014;;;nM;SMILES
C#CCn1c(CCCC)nc(Cl)c1C(Nc1ncccn1)P(=O)(OCC)OCC;290985.80534868274;405;748;;;nM;SMILES
C#CCn1c(CCCC)nc(Cl)c1C1NC(=O)NC(C)=C1C(=O)OCC;168927.83613999886;5961;12578;;;nM;SMILES
C#CCn1c(Cn2cnc3c(N4CCOCC4)ncnc32)nc2ccccc21;685555.1389855926;1098;2207;;;nM;SMILES
C#CCn1cc(/C=C(/C(C)=O)n2cc([N+](=O)[O-])nc2C)c2ccccc21;367433.8762551598;4435;8572;;;nM;SMILES
C#CCn1cc(/C=N/Nc2ccc3c4c(cccc24)C(=O)N(C(CO)CO)C3=O)c2ccccc21;34298.184125514184;5209;10753;;;nM;SMILES
C#Cc1cccc(/N=C/c2cc(C(=O)OC)ccc2O)c1;229148.3914857051;4055;7713;;;nM;SMILES
C#Cc1cccc(/N=C/c2cc(CC#N)ccc2O)c1;245873.9281433445;5303;11082;;;nM;SMILES
C#Cc1cccc(/N=C/c2cc(Cl)cc(Cl)c2O)c1;441152.6491561232;4907;9983;;;nM;SMILES
C#Cc1cccc(/N=C/c2cc(F)ccc2O)c1;1070014.9216924626;2427;4679;;;nM;SMILES
C#Cc1cccc(/N=C/c2cc(O)ccc2[N+](=O)[O-])c1;961480.6802475812;5304;11084;;;nM;SMILES
C#Cc1cccc(/N=C/c2cc(OC)ccc2O)c1;509381.77766281314;4906;9982;;;nM;SMILES
C#Cc1cccc(/N=C/c2cc([N+](=O)[O-])cc(Br)c2O)c1;741702.2065640645;2782;5351;;;nM;SMILES
C#Cc1cccc(/N=C/c2cc([N+](=O)[O-])ccc2O)c1;240370.17006189533;127;230;;;nM;SMILES
C#Cc1cccc(/N=C/c2cccc([N+](=O)[O-])c2)c1;63934.27556471946;1183;2407;;;nM;SMILES
C#Cc1cccc(NCc2cc(F)ccc2O)c1;530536.9614324498;1184;2409;;;nM;SMILES
C#Cc1cccc(NCc2cc([N+](=O)[O-])cc(Br)c2O)c1;737395.1516268781;1185;2410;;;nM;SMILES
C#Cc1cccc(NCc2cc([N+](=O)[O-])ccc2O)c1;477127.69129838375;3852;7247;;;nM;SMILES
C#Cc1cccc(NCc2ccc([N+](=O)[O-])cc2O)c1;238563.84564919188;4908;9984;;;nM;SMILES
C/C(=C\C(=O)NC[C@@H]1C[C@@H]2C3C=CC=C4C3C(=CN4C)C[C@H]2N(C)C1)c1ccc(Br)cc1;8089.355015501223;3832;7204;;;nM;SMILES
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O;1022713.4265094508;2496;4821;;;nM;SMILES
C/C(=N\NC(=N)N)c1ccc(-c2ccc(/C(C)=N/Nc3ccccc3Cl)cc2)cc1;62500.0;6578;6272;;;nM;SMILES
C/C(=N\NC(=N)N)c1ccc(/C(C)=N/NC(=N)N)cc1;500000.0;6587;6322;;;nM;SMILES
C/C(=N\NC(=N)N)c1ccc(Oc2ccc(/C(C)=N/NC(=N)N)cc2)cc1;62500.0;6404;3814;;;nM;SMILES
C/C(=N\NC(=N)N)c1ccc2c(c1)Cc1cc(/C(C)=N/NC(=N)N)ccc1-2;500000.0;6637;7183;;;nM;SMILES
C/C(=N\NC(=N)N)c1sc(-c2ccc(C#CC(C)(C)O)cc2)nc1C;180044.84241856486;4884;9881;;;nM;SMILES
C/C(=N\NC(=N)N)c1sc(-c2ccc(C#CC3(O)CCCCC3)cc2)nc1C;161807.38852987863;340;638;;;nM;SMILES
C/C(=N\NC(=N)N)c1sc(-c2ccc(C#Cc3ccc(C)s3)cc2)nc1C;81313.00169486785;5235;10816;;;nM;SMILES
C/C(=N\NC(=N)N)c1sc(-c2ccc(C#Cc3ccc(N)cc3)cc2)nc1C;164736.16473616468;5142;10574;;;nM;SMILES
C/C(=N\NC(=N)N)c1sc(-c2ccc(N3CCCC(C)C3)cc2)nc1C;86363.70996907097;3855;7258;;;nM;SMILES
C/C(=N\NC(=N)N)c1sc(-c2ccc(N3CCCCC3)cc2)nc1C;89761.82261380814;4559;8972;;;nM;SMILES
C/C1=C\[C@H](O)C[C@]2(C)O[C@H]2C[C@@]2(C)OC(=O)C=C(C(C)C)[C@@H]2CC1;47838.87865668427;5232;10811;;;nM;SMILES
