SAN_SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source;ORIGINAL_SMILES;MOL_OBJECT;SMILES
Brc1ccc(-c2csc(NN=C3CCCC3)n2)cc1;[2.0, 12.5];[13312, 18650];['CHEMBL246812', 'CHEMBL246812'];[nan, nan];[nan, nan];['ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles'];['Brc1ccc(-c2csc(NN=C3CCCC3)n2)cc1', 'Brc1ccc(-c2csc(NN=C3CCCC3)n2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569C2D3580>, <rdkit.Chem.rdchem.Mol object at 0x000002569C3AC5E0>];['Brc1ccc(-c2csc(NN=C3CCCC3)n2)cc1', 'Brc1ccc(-c2csc(NN=C3CCCC3)n2)cc1']
Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CC2)cc1;[25.0, 50.0];[27491, 31074];['CHEMBL3414751', 'CHEMBL3414751'];[nan, nan];[nan, nan];['ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles'];['Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CC2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569C506FA0>, <rdkit.Chem.rdchem.Mol object at 0x000002569C584820>];['Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CC2)cc1']
Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CCCCC2)cc1;[50.0, 25.0];[6300, 22926];['CHEMBL3414752', 'CHEMBL3414752'];[nan, nan];[nan, nan];['ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles'];['Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CCCCC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CCCCC2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569C1C4100>, <rdkit.Chem.rdchem.Mol object at 0x000002569C4594C0>];['Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CCCCC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CCCCC2)cc1']
Brc1ccc(-c2nc3sc(-c4ccccc4)nn3c2/C=N/C2CC2)cc1;[50.0, 25.0];[26629, 27492];['CHEMBL3414747', 'CHEMBL3414747'];[nan, nan];[nan, nan];['ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles'];['Brc1ccc(-c2nc3sc(-c4ccccc4)nn3c2/C=N/C2CC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccccc4)nn3c2/C=N/C2CC2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569C4E6AC0>, <rdkit.Chem.rdchem.Mol object at 0x000002569C508040>];['Brc1ccc(-c2nc3sc(-c4ccccc4)nn3c2/C=N/C2CC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccccc4)nn3c2/C=N/C2CC2)cc1']
Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CC2)cc1;[50.0, 25.0];[19167, 25933];['CHEMBL3417870', 'CHEMBL3417870'];[nan, nan];[nan, nan];['ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles'];['Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CC2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569C3C1640>, <rdkit.Chem.rdchem.Mol object at 0x000002569C4CEF40>];['Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CC2)cc1']
Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CCCCC2)cc1;[50.0, 50.0];[30146, 32674];['CHEMBL3417871', 'CHEMBL3417871'];[nan, nan];[nan, nan];['ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles'];['Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CCCCC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CCCCC2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569C56A460>, <rdkit.Chem.rdchem.Mol object at 0x000002569C5C12E0>];['Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CCCCC2)cc1', 'Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CCCCC2)cc1']
Brc1ccc(-n2cc(CN(Cc3cn(-c4ccc(Br)cc4)nn3)c3nc4ccccc4s3)nn2)cc1;[12.5, 6.25];[498, 19335];['CHEMBL2376958', 'CHEMBL2376958'];[nan, nan];[nan, nan];['ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles'];['Brc1ccc(-n2cc(CN(Cc3cn(-c4ccc(Br)cc4)nn3)c3nc4ccccc4s3)nn2)cc1', 'Brc1ccc(-n2cc(CN(Cc3cn(-c4ccc(Br)cc4)nn3)c3nc4ccccc4s3)nn2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569B10F400>, <rdkit.Chem.rdchem.Mol object at 0x000002569C3C8760>];['Brc1ccc(-n2cc(CN(Cc3cn(-c4ccc(Br)cc4)nn3)c3nc4ccccc4s3)nn2)cc1', 'Brc1ccc(-n2cc(CN(Cc3cn(-c4ccc(Br)cc4)nn3)c3nc4ccccc4s3)nn2)cc1']
Brc1ccc(C2=NN(c3ccccc3)[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1;[1.0, 64.0];[133, 3622];['CHEMBL468020', 'CHEMBL468020'];[nan, nan];[nan, nan];['ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles'];['Brc1ccc(C2=NN(c3ccccc3)[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1', 'Brc1ccc(C2=NN(c3ccccc3)[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569B0FDAC0>, <rdkit.Chem.rdchem.Mol object at 0x000002569C156940>];['Brc1ccc(C2=NN(c3ccccc3)[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1', 'Brc1ccc(C2=NN(c3ccccc3)[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1']
Brc1ccc(C2=NN[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1;[4.0, 8.0];[18267, 18272];['CHEMBL457294', 'CHEMBL457294'];[nan, nan];[nan, nan];['ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles'];['Brc1ccc(C2=NN[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1', 'Brc1ccc(C2=NN[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569C39C0A0>, <rdkit.Chem.rdchem.Mol object at 0x000002569C39C1C0>];['Brc1ccc(C2=NN[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1', 'Brc1ccc(C2=NN[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1']
Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1;[31.3, 31.3, 7.8, 31.3, 31.3];[24205, 29975, 29980, 30162, 30765];['CHEMBL4572780', 'CHEMBL4572780', 'CHEMBL4572780', 'CHEMBL4572780', 'CHEMBL4572780'];[nan, nan, nan, nan, nan];[nan, nan, nan, nan, nan];['ug.mL-1', 'ug.mL-1', 'ug.mL-1', 'ug.mL-1', 'ug.mL-1'];['Smiles', 'Smiles', 'Smiles', 'Smiles', 'Smiles'];['Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1', 'Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1', 'Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1', 'Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1', 'Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x000002569C489100>, <rdkit.Chem.rdchem.Mol object at 0x000002569C55EDC0>, <rdkit.Chem.rdchem.Mol object at 0x000002569C55EF40>, <rdkit.Chem.rdchem.Mol object at 0x000002569C56A760>, <rdkit.Chem.rdchem.Mol object at 0x000002569C57D640>];['Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1', 'Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1', 'Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1', 'Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1', 'Brc1ccc(N/N=C/c2ccc(-c3cccc(/C=N/Nc4ccc(Br)cc4)c3)cc2)cc1']
