SAN_SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source;ORIGINAL_SMILES;MOL_OBJECT;SMILES;y_old
Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCCN3)ccc12.O=C(O)C(F)(F)F;0.63;32180;CHEMBL3601416;;;ug.mL-1;Smiles;Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCCN3)ccc12.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002569C5AF400>;Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCCN3)ccc12.O=C(O)C(F)(F)F;[0.63]
C#CCN(C)Cc1cc2cc(OCc3ccccc3)ccc2[nH]1.O=C(O)C(=O)O;32.0;31438;CHEMBL2022927;;;ug.mL-1;Smiles;C#CCN(C)Cc1cc2cc(OCc3ccccc3)ccc2[nH]1.O=C(O)C(=O)O;<rdkit.Chem.rdchem.Mol object at 0x000002569C592E20>;C#CCN(C)Cc1cc2cc(OCc3ccccc3)ccc2[nH]1.O=C(O)C(=O)O;[32.0]
CC(=O)O.CC(=O)O.NC(=N\CCCCCC/N=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1;4.5;12844;CHEMBL486819;;CHLORHEXIDINE DIACETATE;ug.mL-1;Smiles;CC(=O)O.CC(=O)O.NC(=N\CCCCCC/N=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1;<rdkit.Chem.rdchem.Mol object at 0x000002569C2C19A0>;CC(=O)O.CC(=O)O.NC(=N\CCCCCC/N=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1;[4.5]
CC(=O)O.COC(=O)[C@@H]1[C@@H](O)C[C@@]2(O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)C[C@@H]1O2;30.0;31697;CHEMBL5090318;;;ug.mL-1;Smiles;CC(=O)O.COC(=O)[C@H]1[C@@H]2C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@](O)(C[C@@H]1O)O2;<rdkit.Chem.rdchem.Mol object at 0x000002569C59E400>;CC(=O)O.COC(=O)[C@H]1[C@@H]2C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@](O)(C[C@@H]1O)O2;[30.0]
CC(=O)O.C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)NCCO)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2;5.0;31388;CHEMBL5082547;;;ug.mL-1;Smiles;CC(=O)O.C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)NCCO;<rdkit.Chem.rdchem.Mol object at 0x000002569C591E80>;CC(=O)O.C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)NCCO;[5.0]
CC(=O)O.c1cc2cc(-c3ccc(-c4c[nH]c5cc(C6=NCCCN6)ccc45)cc3)[nH]c2cc1C1=NCCCN1;0.25;32181;CHEMBL3601417;;;ug.mL-1;Smiles;CC(=O)O.c1cc2cc(-c3ccc(-c4c[nH]c5cc(C6=NCCCN6)ccc45)cc3)[nH]c2cc1C1=NCCCN1;<rdkit.Chem.rdchem.Mol object at 0x000002569C5AF460>;CC(=O)O.c1cc2cc(-c3ccc(-c4c[nH]c5cc(C6=NCCCN6)ccc45)cc3)[nH]c2cc1C1=NCCCN1;[0.25]
CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5o4)cc3)[nH]c2cc1C1=NCCCN1;0.5;2057;CHEMBL3601422;;;ug.mL-1;Smiles;CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5o4)cc3)[nH]c2cc1C1=NCCCN1;<rdkit.Chem.rdchem.Mol object at 0x000002569C11CB20>;CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5o4)cc3)[nH]c2cc1C1=NCCCN1;[0.5]
CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5o4)cn3)[nH]c2cc1C1=NCCCN1;0.5;2058;CHEMBL3601423;;;ug.mL-1;Smiles;CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5o4)cn3)[nH]c2cc1C1=NCCCN1;<rdkit.Chem.rdchem.Mol object at 0x000002569C11CB80>;CC(=O)O.c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5o4)cn3)[nH]c2cc1C1=NCCCN1;[0.5]
CC(=O)O.c1cc2cc(-c3ccc(-c4ccc5cc(C6=NCCCN6)oc5c4)cc3)[nH]c2cc1C1=NCCCN1;0.25;16768;CHEMBL3600902;;;ug.mL-1;Smiles;CC(=O)O.c1cc2cc(-c3ccc(-c4ccc5cc(C6=NCCCN6)oc5c4)cc3)[nH]c2cc1C1=NCCCN1;<rdkit.Chem.rdchem.Mol object at 0x000002569C35C760>;CC(=O)O.c1cc2cc(-c3ccc(-c4ccc5cc(C6=NCCCN6)oc5c4)cc3)[nH]c2cc1C1=NCCCN1;[0.25]
CC(=O)O.c1cc2cc(-c3ccc(-c4ccc5nc(C6=NCCCN6)cn5c4)cc3)[nH]c2cc1C1=NCCCN1;0.5;32183;CHEMBL3600900;;;ug.mL-1;Smiles;CC(=O)O.c1cc2cc(-c3ccc(-c4ccc5nc(C6=NCCCN6)cn5c4)cc3)[nH]c2cc1C1=NCCCN1;<rdkit.Chem.rdchem.Mol object at 0x000002569C5AF520>;CC(=O)O.c1cc2cc(-c3ccc(-c4ccc5nc(C6=NCCCN6)cn5c4)cc3)[nH]c2cc1C1=NCCCN1;[0.5]
