ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;CHEMBL261974;C/C=C1/NC(=O)[C@H]([C@H](C)O)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CCN)NC(=O)[C@@H](NC(=O)C[C@H](O)CCCCCCCCCCCCC)COC(=O)[C@H]([C@H](O)CCl)NC(=O)[C@H]([C@H](O)C(=O)O)NC1=O;0.312;;PSEUDOMYCIN C;ug.mL-1;Smiles
1;CHEMBL3422940;O=C(O)C(OC(Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccccc1Cl;0.06;;nan;ug.mL-1;Smiles
2;CHEMBL1834819;N#CC1=C(N)Oc2cc(O)ccc2C1c1cc2ccccc2nc1N1CCOCC1;1000.0;;nan;ug.mL-1;Smiles
3;CHEMBL1834824;COc1ccc2nc(N3CCOCC3)c(C3C(C#N)=C(N)OC4=C3C(=O)CCC4)cc2c1;500.0;;nan;ug.mL-1;Smiles
4;CHEMBL1835188;N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1cc2ccccc2nc1N1CCOCC1;500.0;;nan;ug.mL-1;Smiles
5;CHEMBL26961;C=C(c1cc(Cl)ccc1OC(C)c1ccccc1)n1ccnc1;25.0;;nan;ug.mL-1;Smiles
7;CHEMBL1797613;CCCCCCC(CCC(=O)O)OC;625.0;;nan;ug.mL-1;Smiles
10;CHEMBL3422939;OCc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1;0.12;;nan;ug.mL-1;Smiles
11;CHEMBL3422940;O=C(O)C(OC(Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccccc1Cl;0.25;;nan;ug.mL-1;Smiles
12;CHEMBL3422940;O=C(O)C(OC(Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccccc1Cl;0.12;;nan;ug.mL-1;Smiles
13;CHEMBL3422940;O=C(O)C(OC(Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccccc1Cl;0.12;;nan;ug.mL-1;Smiles
14;CHEMBL3422940;O=C(O)C(OC(Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccccc1Cl;0.5;;nan;ug.mL-1;Smiles
15;CHEMBL64391;CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O;0.06;;ITRACONAZOLE;ug.mL-1;Smiles
16;CHEMBL64391;CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O;0.06;;ITRACONAZOLE;ug.mL-1;Smiles
17;CHEMBL22175;C/C=C/C=C(\C)C(=O)O[C@H]1[C@H](O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC;0.25;;nan;ug.mL-1;Smiles
19;CHEMBL284971;C=C(C(=O)c1ccco1)n1cncn1;0.8;;nan;ug.mL-1;Smiles
20;CHEMBL64391;CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O;0.0625;;ITRACONAZOLE;ug.mL-1;Smiles
21;CHEMBL822;CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12;16.0;;TERBINAFINE;ug.mL-1;Smiles
22;CHEMBL1254879;CC(C)N(Cc1cn(Cc2ccc(Cl)cc2)nn1)CC(O)(Cn1cncn1)c1ccc(F)cc1F;0.0625;;nan;ug.mL-1;Smiles
23;CHEMBL267345;C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O;0.24;;AMPHOTERICIN B;ug.mL-1;Smiles
24;CHEMBL47518;C=C(CF)CN1C[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@@H](OC)C1;0.5;;nan;ug.mL-1;Smiles
26;CHEMBL3142869;C[C@@H](O)[C@@H]1NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](NC(=O)CCCCCCCCCCOc2ccc(-c3ccccc3)cc2)C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C1=O;0.02;;nan;ug.mL-1;Smiles
27;CHEMBL1254626;Cc1ccccc1Cn1cc(CN(CC(O)(Cn2cncn2)c2ccc(F)cc2F)C2CC2)nn1;0.0625;;nan;ug.mL-1;Smiles
28;CHEMBL1271748;C/C=C/COc1c(OC)ccc2c(Cc3ccc(C(C)C)cc3)c3[n+](cc12)CCc1cc2c(cc1-3)OCO2.[Cl-];0.5;;nan;ug.mL-1;Smiles
29;CHEMBL1269242;COc1ccc2c(Cc3ccc(C(C)C)cc3)c3[n+](cc2c1OCc1ccc(C(F)(F)F)cc1)CCc1cc2c(cc1-3)OCO2.[Cl-];2.0;;nan;ug.mL-1;Smiles
30;CHEMBL149661;C[N+]1(CCCCCCCCCCCC[N+]2(C)CCCC2)CCCC1.[Br-].[Br-];175000.0;;nan;nM;Smiles
31;CHEMBL157636;CN(CCC#CC(C)(C)C)CCc1cccc2ccccc12;200.0;;nan;ug.mL-1;Smiles
32;CHEMBL410839;CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(CO[C@@H]2O[C@H](C)CN(Cc4cccs4)C[C@@H]2O)[C@]13C(=O)O;2.0;;nan;ug.mL-1;Smiles
35;CHEMBL267345;C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O;0.63;;AMPHOTERICIN B;ug.mL-1;Smiles
37;CHEMBL199305;COc1cccc(/N=c2\oc3c(C)ncc(CO)c3cc2C(=O)Nc2ccc(C)cc2)c1;50.0;;nan;ug.mL-1;Smiles
38;CHEMBL377790;Fc1ccc(B2OCc3cc(F)ccc32)cc1;1.0;;nan;ug.mL-1;Smiles
39;CHEMBL170288;CC(C)[C@@H](C)/C=C/[C@@H](C)C1CCN[C@@]2(C)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C;1.6;;nan;ug.mL-1;Smiles
41;CHEMBL541335;Cl.Fc1ccc(/C=N/OC(Cn2ccnc2)c2ccc(F)cc2F)c(F)c1;16.0;;nan;ug.mL-1;Smiles
42;CHEMBL265302;C=C(C)CN1C[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@@H](OC)C1;0.5;;nan;ug.mL-1;Smiles
45;CHEMBL262934;CC(C)CCn1cc(NC(=O)c2cc(NC(=O)c3cc([N+](=O)[O-])cn3C)cn2C)cc1C(=O)Nc1cc(C(=O)NCCCN(C)C)n(C)c1;15800.0;;nan;nM;Smiles
46;CHEMBL155063;CCC(C)(C)C#CCCN(C)Cc1cccc2ccccc12;50.0;;nan;ug.mL-1;Smiles
47;CHEMBL85019;OCC1=CC=C(COc2ccccc2F)SS1;3.1;;nan;ug.mL-1;Smiles
48;CHEMBL152833;Clc1ccc(-c2nnn(CC#CI)n2)cc1;0.78;;nan;ug.mL-1;Smiles
49;CHEMBL304723;CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C2CCCC2)cn1C;75300.0;;nan;nM;Smiles
50;CHEMBL148474;CC(C)C1=CC2CC3(C=O)C4CC[C@@H](C)C4CC2(CCOC(=O)c2ccc(C#N)cc2)C13C(=O)O;8.0;;nan;ug.mL-1;Smiles
51;CHEMBL1083198;O=[N+]([O-])c1c(CBr)nc2sccn12;125.0;;nan;ug.mL-1;Smiles
53;CHEMBL556346;Br.Oc1ccc2c(c1)CCC(Nc1ccccc1)C2;64000.0;;nan;nM;Smiles
54;CHEMBL558591;Br.CCCCCCCCCCCCCCNC1CCc2cccc(O)c2C1;16000.0;;nan;nM;Smiles
56;CHEMBL3143828;COC(=O)/C=C/C(=O)NCC(N)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CNC(=O)/C=C/C(=O)OC)C(=O)O;0.25;;nan;ug.mL-1;Smiles
57;CHEMBL406694;CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2ccc(-c3ccc(CC)cc3)cc2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O;0.78;;nan;ug.mL-1;Smiles
58;CHEMBL264644;CCCCC/C=C/C=C/[C@@H](O)C/C=C/C=C/C(=O)O[C@@H]1[C@@H](O)[C@H](c2c(O)cc(O)cc2CO)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](COC(=O)c2cccc(-c3ccc(OC)cc3)c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O;100.0;;nan;ug.mL-1;Smiles
59;CHEMBL11314;C=C1C(=O)c2ccccc2OC1c1ccc(C#N)cc1;50.0;;nan;ug.mL-1;Smiles
60;CHEMBL294128;CN1O[C@H](c2ccccc2Cl)C[C@@]1(Cn1ccnc1)c1ccc(Cl)cc1;0.7;;nan;ug.mL-1;Smiles
61;CHEMBL440181;IC(I)=C(I)Cn1ccnn1;3.13;;nan;ug.mL-1;Smiles
64;CHEMBL134654;Clc1ccc(C2(Cn3ccnc3)OCc3c(Cl)cc(Cl)cc32)c(Cl)c1;4.0;;nan;ug.mL-1;Smiles
66;CHEMBL106;OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F;0.12;;FLUCONAZOLE;ug.mL-1;Smiles
68;CHEMBL199842;Cc1cccc(NC(=O)c2cc3c(CO)cnc(C)c3o/c2=N\c2ccccc2)c1;12.5;;nan;ug.mL-1;Smiles
69;CHEMBL200042;Cc1ccc2nc(-c3ccc(/N=c4\oc5c(C)ncc(CO)c5cc4C(=O)Nc4ccccc4)cc3)sc2c1;50.0;;nan;ug.mL-1;Smiles
70;CHEMBL339757;C[C@H]1N(C(=O)c2ccc(OCC(F)(F)C(F)F)cc2)C[C@H](O)O[C@@]1(Cn1cncn1)c1ccc(F)cc1F;5.0;;nan;ug.mL-1;Smiles
71;CHEMBL265632;C/C=C1\NC(=O)[C@H]([C@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)NCCCCCC)NC(=O)[C@@H](CCN)NC(=O)[C@@H](NC(=O)C[C@H](O)CCCCCCCCCCC)COC(=O)[C@H]([C@H](O)CCl)NC(=O)[C@H]([C@H](O)C(=O)O)NC1=O;5.0;;nan;ug.mL-1;Smiles
72;CHEMBL454066;C/C=C/C=C/C=C/C1=CC2=CC(=O)[C@](C)(OC(=O)C[C@H](C)O)C(=O)C2=CO1;3.13;;nan;ug.mL-1;Smiles
74;CHEMBL188801;Cn1cc(-c2ccc(Cl)cc2Cl)c(C(c2ccccc2)N2C=CNC2)c1;0.46;;nan;ug.mL-1;Smiles
76;CHEMBL64391;CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O;0.096;;ITRACONAZOLE;ug.mL-1;Smiles
77;CHEMBL363134;O=C1C(Nc2ccc(I)cc2)=C(Cl)C(=O)c2sc(CO)cc21;50.0;;nan;ug.mL-1;Smiles
78;CHEMBL3138232;CC(C)CCC[C@@H](C)C1CC[C@H]2[C@@H]3[C@@H](N)CC4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;1.5;;nan;ug.mL-1;Smiles
81;CHEMBL106;OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F;64.0;;FLUCONAZOLE;ug.mL-1;Smiles
82;CHEMBL28693;CC(C)=C(c1cc(Cl)ccc1OCc1ccc(C)cc1)n1ccnc1;25.0;;nan;ug.mL-1;Smiles
83;CHEMBL1269241;COc1ccc2c(Cc3ccc(C(C)C)cc3)c3[n+](cc2c1OCc1ccc(C(C)(C)C)cc1)CCc1cc2c(cc1-3)OCO2.[Cl-];1.0;;nan;ug.mL-1;Smiles
84;CHEMBL302898;O=C1C=C(Nc2ccc(I)cc2)C(=O)c2[nH]c(-c3ccccn3)nc21;50.0;;nan;ug.mL-1;Smiles
86;CHEMBL157101;CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1;0.064;;KETOCONAZOLE;ug.mL-1;Smiles
87;CHEMBL19980;C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1;8.0;;BREFELDIN A;ug.mL-1;Smiles
93;CHEMBL100239;Nc1nc(N)c2c(Sc3ccccc3)cccc2n1;0.05;;nan;ug.mL-1;Smiles
94;CHEMBL400808;COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccn1;16.0;;nan;ug.mL-1;Smiles
95;CHEMBL330350;Cc1coc(CN2C[C@@H](C)O[C@@H](OCC34C[C@@H]5[C@H](C)CC[C@H]5C5(C=O)CC3C=C(C(C)C)[C@@]45C(=O)O)[C@@H](O)C2)c1;2.0;;nan;ug.mL-1;Smiles
96;CHEMBL106;OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F;32.0;;FLUCONAZOLE;ug.mL-1;Smiles
97;CHEMBL106;OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F;64.0;;FLUCONAZOLE;ug.mL-1;Smiles
98;CHEMBL1254062;COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3-c3[nH]c4ccc(F)cc4c3[C@@H]12;62.5;;nan;ug.mL-1;Smiles
99;CHEMBL290721;O=C1C=C(Nc2ccc(OC(F)(F)F)cc2)C(=O)c2scnc21;12.5;;nan;ug.mL-1;Smiles
100;CHEMBL232591;COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)OC)n1;32.0;;nan;ug.mL-1;Smiles
101;CHEMBL232591;COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)OC)n1;32.0;;nan;ug.mL-1;Smiles
102;CHEMBL328714;CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(CS[C@@H]2C[C@H](C)N(Cc4ccccc4)C2)C13C(=O)O;4.0;;nan;ug.mL-1;Smiles
103;CHEMBL27289;C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1;12.5;;CROCONAZOLE;ug.mL-1;Smiles
104;CHEMBL279848;CCCCCCO[C@H]1[C@H](O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC;4.0;;nan;ug.mL-1;Smiles
105;CHEMBL279848;CCCCCCO[C@H]1[C@H](O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC;2.0;;nan;ug.mL-1;Smiles
106;CHEMBL400808;COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccn1;32.0;;nan;ug.mL-1;Smiles
107;CHEMBL400808;COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccn1;8.0;;nan;ug.mL-1;Smiles
109;CHEMBL267345;C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O;0.94;;AMPHOTERICIN B;ug.mL-1;Smiles
111;CHEMBL90158;COC(=O)c1cccc(OCC2=CC=C(CO)SS2)c1;3.1;;nan;ug.mL-1;Smiles
