SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
BrC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2;4.0;13201;CHEMBL313726;;;ug.mL-1;Smiles
BrCCCCCCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12;4.0;19595;CHEMBL4130039;;;ug.mL-1;Smiles
BrCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12;4.0;33723;CHEMBL4127067;;;ug.mL-1;Smiles
BrCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12;4.0;32737;CHEMBL4128115;;;ug.mL-1;Smiles
BrCCc1c[nH]c2ccccc12;2.0;24471;CHEMBL87532;;;ug.mL-1;Smiles
Brc1c(-c2ccccc2)nc2sc(Cc3noc4ccccc34)nn12;3.0;3002;CHEMBL564198;;;ug.mL-1;Smiles
Brc1cc(-c2nnc(-c3cc(Br)c(Br)[nH]3)o2)[nH]c1Br;1.56;9167;CHEMBL2151450;;;ug.mL-1;Smiles
Brc1cc(-c2nnc(-c3ccccc3)o2)[nH]c1Br;12.5;7953;CHEMBL2151451;;;ug.mL-1;Smiles
Brc1cc(-c2nnc(-c3ccncc3)o2)[nH]c1Br;12.5;20115;CHEMBL2151453;;;ug.mL-1;Smiles
Brc1cc(-c2nnc(/C=C/C3=COc4ccccc4C3)o2)[nH]c1Br;12.5;13033;CHEMBL2151454;;;ug.mL-1;Smiles
Brc1cc(-c2nnc(/C=C/c3ccccc3)o2)[nH]c1Br;12.5;18426;CHEMBL2151446;;;ug.mL-1;Smiles
Brc1cc(-c2nnc(Sc3ccccc3)o2)[nH]c1Br;6.25;13926;CHEMBL2151458;;;ug.mL-1;Smiles
Brc1cc(Br)c[n+](CCc2c[nH]c3ccccc23)c1;100.0;19909;CHEMBL4203684;;;ug.mL-1;Smiles
Brc1cc2c(cc1C1CC(c3cccs3)=NN1c1nc(-c3ccccc3)cs1)OCO2;125.0;11356;CHEMBL3589310;;;ug.mL-1;Smiles
Brc1ccc(-c2cn3nc(Cc4noc5ccccc45)sc3n2)cc1;2.0;23202;CHEMBL564251;;;ug.mL-1;Smiles
Brc1ccc(-c2csc(N/N=C/c3ccccc3)n2)cc1;12.5;20002;CHEMBL1076869;;;ug.mL-1;Smiles
Brc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1;12.5;2189;CHEMBL1087403;;;ug.mL-1;Smiles
Brc1ccc(-c2nc(-c3cc4ccccc4nc3N3CCOCC3)no2)cc1;1115000.0;5182;CHEMBL4088061;;;nM;Smiles
Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CCCCC2)cc1;50.0;[32674, 30146];CHEMBL3417871;[nan, nan];;ug.mL-1;Smiles
Brc1ccc(-c2nc3sc(Cc4noc5ccccc45)nn3c2Br)cc1;2.5;13938;CHEMBL556285;;;ug.mL-1;Smiles
Brc1ccc(/C(Cn2nnc3ccccc32)=N\Nc2nc(-c3ccc(Br)cc3)cs2)cc1;32.0;15076;CHEMBL2024474;;;ug.mL-1;Smiles
Brc1ccc(/N=N/c2c[nH]c3ccccc23)cc1;25000.0;22425;CHEMBL1808784;;;nM;Smiles
Brc1ccc(CNC2CCCCC2NCc2ccc(Br)cc2)cc1;0.125;2035;CHEMBL1668192;;;ug.mL-1;Smiles
Brc1ccc(CN[C@H]2CCCC[C@@H]2NCc2ccc(Br)cc2)cc1;0.065;6383;CHEMBL1668207;;;ug.mL-1;Smiles
Brc1ccc(COC(Cn2cnc3ccccc32)c2ccccc2)cc1;25.0;6184;CHEMBL400425;;;ug.mL-1;Smiles
Brc1ccc(COc2ccc(C(C3CC3)n3ccnc3)cc2)cc1;1.56;20715;CHEMBL2441324;;;ug.mL-1;Smiles
